,p_name,p_address,p_rating,p_category,p_tag,p_review,p_url
0,태화강,울산 남구 신정동 1468,4.4,강,"['#나들이', '#유채꽃']",./kakao_reviews/울산 명소/태화강.csv,https://place.map.kakao.com/8621794
1,태화강,울산 중구 옥교동,0.0,강,태그 없음,리뷰 없음,https://place.map.kakao.com/25730496
2,달빛은하수,울산 남구 신정로203번길 69,3.0,게스트하우스,"['#독채펜션', '#물놀이', '#바베큐장', '#복층펜션', '#어메니티제공', '#온천호텔', '#조식서비스']",./kakao_reviews/울산 숙소/달빛은하수.csv,https://place.map.kakao.com/1941348111
3,한옥 수연이네,울산 중구 새즈믄해거리 47,5.0,게스트하우스,"['#가족펜션', '#독채펜션', '#물놀이', '#바베큐장', '#불멍', '#온돌룸', '#한옥펜션']",리뷰 없음,https://place.map.kakao.com/431795702
4,게스트하우스유,울산 남구 대학로15번길 6 문수빌라 102호,0.0,게스트하우스,태그 없음,리뷰 없음,https://place.map.kakao.com/19889650
5,울산게스트하우스 앤마이홈,울산 중구 옥골샘6길 9-1,5.0,게스트하우스,태그 없음,./kakao_reviews/울산 숙소/울산게스트하우스 앤마이홈.csv,https://place.map.kakao.com/1514064403
6,심청골,울산 북구 양정동,4.0,계곡,태그 없음,리뷰 없음,https://place.map.kakao.com/11110570
7,천전리각석계곡,울산 울주군 두동면 천전리,0.0,계곡,태그 없음,리뷰 없음,https://place.map.kakao.com/12639217
8,배내골,울산 울주군 상북면 이천리,0.0,계곡,['#물놀이'],리뷰 없음,https://place.map.kakao.com/25247099
9,철구소 계곡,울산 울주군 상북면 이천리 829,4.6,계곡,"['#나들이', '#물놀이']",./kakao_reviews/울산 명소/철구소 계곡.csv,https://place.map.kakao.com/25086316
10,소호계곡,울산 울주군 상북면 소호리,0.0,계곡,태그 없음,리뷰 없음,https://place.map.kakao.com/27051189
11,철구소 계곡,울산 울주군 상북면 이천리 829,4.6,계곡,태그 없음,./kakao_reviews/울산 명소/철구소 계곡.csv,https://place.map.kakao.com/25086316
12,주암계곡,울산 울주군 상북면 이천리,0.0,계곡,태그 없음,리뷰 없음,https://place.map.kakao.com/27052201
13,석남사계곡,울산 울주군 상북면 덕현리,5.0,계곡,태그 없음,리뷰 없음,https://place.map.kakao.com/7946682
14,고무재골,울산 울주군 언양읍 어음리 11,0.0,계곡,태그 없음,리뷰 없음,https://place.map.kakao.com/25177223
15,재약산 주암계곡,울산 울주군 상북면 이천리 산 143-2,0.0,계곡,태그 없음,./kakao_reviews/울산 명소/재약산 주암계곡.csv,https://place.map.kakao.com/25449972
16,작천정계곡,울산 울주군 삼남읍 교동리,4.0,계곡,태그 없음,./kakao_reviews/울산 명소/작천정계곡.csv,https://place.map.kakao.com/8071217
17,앞들,울산 울주군 두서면 인보리,0.0,계곡,태그 없음,리뷰 없음,https://place.map.kakao.com/25312296
18,작천정계곡,울산 울주군 삼남읍 교동리,4.0,계곡,"['#나들이', '#물놀이', '#벚꽃명소']",./kakao_reviews/울산 명소/작천정계곡.csv,https://place.map.kakao.com/8071217
19,내원암계곡,울산 울주군 온양읍 운화리,4.5,계곡,태그 없음,리뷰 없음,https://place.map.kakao.com/11353465
20,모골,울산 북구 신현동,0.0,계곡,태그 없음,리뷰 없음,https://place.map.kakao.com/25232285
21,애기소폭포,울산 울주군 온양읍 운화리,2.5,계곡,태그 없음,리뷰 없음,https://place.map.kakao.com/8010263
22,풍암골,울산 중구 성안동,0.0,계곡,태그 없음,./kakao_reviews/울산 명소/풍암골.csv,https://place.map.kakao.com/25388842
23,작괘천계곡,울산 울주군 삼남읍 교동리 1551,4.0,계곡,태그 없음,리뷰 없음,https://place.map.kakao.com/18257327
24,매봉재,울산 북구 연암동,3.0,고개,['#억새밭'],리뷰 없음,https://place.map.kakao.com/25229665
