title,rate,tags,address,url
방이편백육분삼십 울산태화점,3.8,"육류,고기",울산 중구 신기9길 62 1층 (우)44456,https://place.map.kakao.com/1498733640
요리사의집 느티나무,4.1,삼계탕,울산 북구 진장1길 30 1층 (우)44251,https://place.map.kakao.com/24710626
애월목수,4.0,"호프,요리주점",울산 남구 달삼로 58 1층 (우)44721,https://place.map.kakao.com/1281670667
언양원조불고기,4.2,"불고기,두루치기",울산 울주군 언양읍 남천로 200 (우)44945,https://place.map.kakao.com/20955677
발리정원,3.7,카페,울산 울주군 온양읍 선양골길 105-16 (우)44976,https://place.map.kakao.com/127518725
미강,2.5,한정식,울산 남구 번영로84번길 5 (우)44721,https://place.map.kakao.com/24653591
환장라멘,4.6,일본식라면,울산 북구 박상진3로 25 한양수자인 109동 지하1층 101호 (우)44236,https://place.map.kakao.com/1104806887
백림,3.8,디저트카페,울산 남구 돋질로251번길 15 (우)44701,https://place.map.kakao.com/496034049
명촌순두부보쌈,2.0,"족발,보쌈",울산 북구 명촌로 7 (우)44254,https://place.map.kakao.com/26072562
착한물고기,1.8,한정식,울산 남구 삼산중로 24 (우)44720,https://place.map.kakao.com/2077973837
생식본능,4.1,"곱창,막창",울산 중구 유곡로 62 1층 (우)44466,https://place.map.kakao.com/595402281
스페이스오드,3.8,카페,울산 울주군 삼동면 대암둔기로 193 2층 215호 (우)44958,https://place.map.kakao.com/115355013
금강산삼계탕,3.6,삼계탕,울산 남구 번영로150번길 27 (우)44703,https://place.map.kakao.com/8204148
라오,3.3,중국요리,울산 북구 송정15길 10 1층 (우)44236,https://place.map.kakao.com/2089639463
진하꽃게전문점,4.6,"게,대게",울산 울주군 서생면 진하길 30 (우)45013,https://place.map.kakao.com/145603772
육일횟집,3.3,회,울산 동구 주전해안길 278 (우)44013,https://place.map.kakao.com/23330696
콩나물교실해장국 울산본점,3.9,해장국,울산 남구 꽃대나리로 59 2층 (우)44721,https://place.map.kakao.com/8996363
스타벅스 울산성안점,4.7,스타벅스,울산 중구 성안1길 133 (우)44418,https://place.map.kakao.com/2146368184
백년본가김치찜,4.1,한식,울산 동구 일산진6길 39 B동 (우)44056,https://place.map.kakao.com/1502559188
청기와숯불갈비,4.0,갈비,울산 남구 삼산로29번길 19 (우)44677,https://place.map.kakao.com/860226688
마운트,4.3,카페,울산 울주군 범서읍 대리3길 10-14 1층 (우)44922,https://place.map.kakao.com/1942471830
원터가든 명촌점,0,오리,울산 북구 명촌15길 5-2 (우)44254,https://place.map.kakao.com/15523827
호재래,3.1,양꼬치,울산 중구 중앙길 77 (우)44529,https://place.map.kakao.com/15969236
고반식당 삼산점,4.2,고반식당,울산 남구 달삼로 41 1층 (우)44718,https://place.map.kakao.com/402108260
등대갈비,3.2,갈비,울산 동구 등대2길 18 (우)44059,https://place.map.kakao.com/541723481
모노컬러,4.0,다방,울산 남구 삼호로23번길 10-25 1층 (우)44635,https://place.map.kakao.com/804371271
토지보리밥,4.4,한식,울산 남구 삼산로301번길 12-14 (우)44713,https://place.map.kakao.com/9545010
여행가다,4.6,카페,울산 북구 동해안로 972 (우)44235,https://place.map.kakao.com/557361717
카페 베르츠율리,3.5,카페,울산 울주군 청량읍 상보두현길 75 (우)44960,https://place.map.kakao.com/1319432411
코모레비,3.9,회,울산 동구 해수욕장9길 36 1층 (우)44057,https://place.map.kakao.com/649507404
대가야삼계탕 울산점,4.8,삼계탕,울산 남구 번영로150번길 21 (우)44703,https://place.map.kakao.com/7815165
달동생아구,4.8,아구,울산 남구 번영로156번길 12 1층 (우)44703,https://place.map.kakao.com/529776911
랑콩뜨레 울산직영점,3.6,"제과,베이커리",울산 울주군 범서읍 점촌3길 5 (우)44923,https://place.map.kakao.com/25744444
산동만두,4.1,중국요리,울산 남구 신정로40번길 8-1 1층 (우)44725,https://place.map.kakao.com/23641367
떡나래,4.2,"떡,한과",울산 남구 중앙로128번길 61 1층 (우)44722,https://place.map.kakao.com/8934551
보리꽃,3.0,한식,울산 동구 해수욕장10길 74 (우)44057,https://place.map.kakao.com/1206112401
이모집,4.3,한식,울산 중구 젊음의1거리 38 1층 (우)44532,https://place.map.kakao.com/13561163
리플렉티브,4.6,카페,울산 남구 문수로335번길 8-1 (우)44646,https://place.map.kakao.com/1231833397
풍로옥,4.2,냉면,울산 남구 돋질로239번길 6 1층 (우)44701,https://place.map.kakao.com/1058912940
컴포트,5.0,카페,울산 중구 젊음의2거리 11 4층 (우)44532,https://place.map.kakao.com/1666793214
해마지,3.5,"굴,전복",울산 동구 동해안로 671 (우)44013,https://place.map.kakao.com/27227850
숙성도마 울산삼산점,4.6,"육류,고기",울산 남구 달삼로 43-1 1층 (우)44718,https://place.map.kakao.com/704993279
이어도,3.2,복어,울산 남구 달삼로76번길 5 (우)44720,https://place.map.kakao.com/9954005
거부돌곱창,2.6,"곱창,막창",울산 남구 봉월로8번길 9-1 (우)44678,https://place.map.kakao.com/8678386
골든드롭,3.9,카페,울산 중구 성안1길 139 1~2층 (우)44418,https://place.map.kakao.com/1791716962
봉계한우마을,4.5,"육류,고기",울산 남구 달삼로 16 1층 (우)44721,https://place.map.kakao.com/21379837
하와이새우트럭 간절곶점,4.5,"해물,생선",울산 울주군 서생면 해맞이로 1193 (우)45015,https://place.map.kakao.com/25812023
태번159,3.7,카페,"울산 북구 매곡로 159 1, 2층 (우)44215",https://place.map.kakao.com/1619209066
복산육관,4.8,"육류,고기",울산 중구 평산2길 20 (우)44472,https://place.map.kakao.com/91267846
어니스트케이프,3.6,카페,울산 울주군 서생면 간절곶2길 11 (우)45015,https://place.map.kakao.com/1468547878
신가네밀면,4.5,냉면,울산 남구 옥현로 47 (우)44611,https://place.map.kakao.com/1447064422
와사비,4.3,일식집,울산 남구 정동로 117 (우)44709,https://place.map.kakao.com/8015953
라멘집입니다 울산무거점,3.3,일본식라면,울산 남구 문수로75번길 21 1층 (우)44614,https://place.map.kakao.com/2083994283
숙성창고,5.0,일본식주점,울산 남구 신복로22번길 28 현대프리빌 1층 (우)44603,https://place.map.kakao.com/36897171
공주분식,3.2,분식,울산 동구 미포1길 56 1층 (우)44007,https://place.map.kakao.com/1351899794
카페발코니,5.0,카페,"울산 남구 번영로75번길 25 1,2층 (우)44728",https://place.map.kakao.com/276773612
노아레스토랑,4.7,양식,울산 남구 삼산중로100번길 22 4층 (우)44705,https://place.map.kakao.com/1351880095
사랑채,3.7,오리,울산 중구 내약길 62 (우)44545,https://place.map.kakao.com/16224027
교동식당,4.6,삼겹살,울산 중구 옹수골길 119 1층 (우)44468,https://place.map.kakao.com/768757481
미락한우명가,5.0,"육류,고기",울산 중구 화진4길 7 (우)44452,https://place.map.kakao.com/27312824
홍익돈까스 울산동구일산점,3.4,"돈까스,우동",울산 동구 일산진3길 27 (우)44056,https://place.map.kakao.com/27481504
탕화쿵푸마라탕 삼산점,4.2,중식,울산 남구 삼산중로 90 (우)44705,https://place.map.kakao.com/890808648
진호관,4.4,곰탕,울산 남구 중앙로213번길 10 (우)44674,https://place.map.kakao.com/18338290
삿뽀로 울산점,2.9,일식집,울산 남구 산업로 595 (우)44716,https://place.map.kakao.com/8353819
함경면옥,2.6,냉면,울산 남구 돋질로183번길 24 (우)44687,https://place.map.kakao.com/20308398
소진담,2.4,카페,"울산 북구 동해안로 1740 1,2층 (우)44264",https://place.map.kakao.com/1585917160
진주횟집,2.1,회,울산 동구 중진길 55 (우)44109,https://place.map.kakao.com/10767126
수림복국,3.4,복어,울산 중구 종가6길 26 유성프라자 8층 (우)44542,https://place.map.kakao.com/275125478
더바베큐캠프,4.8,한식,울산 중구 젊음의거리 29-5 2층 (우)44532,https://place.map.kakao.com/27597371
밀면전문점,3.0,국수,울산 남구 번영로234번길 10 (우)44696,https://place.map.kakao.com/21321288
대한상회 울산삼산점,2.5,"육류,고기",울산 남구 달삼로 35 (우)44718,https://place.map.kakao.com/27214064
더짬뽕,4.6,중국요리,울산 남구 달삼로23번길 12 (우)44718,https://place.map.kakao.com/594750820
24시언양돼지국밥,3.5,국밥,울산 울주군 언양읍 언양로 127 (우)44940,https://place.map.kakao.com/23736995
랑콩뜨레 달동점,3.6,"제과,베이커리",울산 남구 도산로101번길 4-2 (우)44728,https://place.map.kakao.com/587362161
카페이소,4.6,갤러리카페,울산 울주군 온산읍 강양길 77-8 (우)45008,https://place.map.kakao.com/241188044
장군참치,3.0,참치회,울산 남구 정동로80번길 19 (우)44712,https://place.map.kakao.com/2008161945
유객주,4.1,"호프,요리주점",울산 남구 신복로16번길 3 (우)44606,https://place.map.kakao.com/14755137
브루센트,4.8,카페,울산 남구 꽃대나리로 59 3층 (우)44721,https://place.map.kakao.com/332981636
대구짬뽕정,3.7,중국요리,울산 동구 대송로 4 1층 (우)44052,https://place.map.kakao.com/446194462
화공,2.9,중국요리,울산 중구 종가25길 31 1층 (우)44548,https://place.map.kakao.com/626572556
동해반점,3.3,중국요리,울산 울주군 언양읍 읍성로 109 (우)44938,https://place.map.kakao.com/16729279
정자참가자미,3.6,"해물,생선",울산 남구 왕생로45번길 3 (우)44718,https://place.map.kakao.com/16786024
언양불고기식당,3.2,"불고기,두루치기",울산 울주군 언양읍 읍성로 179 (우)44939,https://place.map.kakao.com/1998232536
금화불고기,4.6,"불고기,두루치기",울산 울주군 언양읍 성리길 1 (우)44938,https://place.map.kakao.com/9735663
스컹크웍스 신정점,4.8,카페,울산 남구 문수로423번길 18-16 (우)44655,https://place.map.kakao.com/1432300903
서생집,4.5,한식,울산 울주군 서생면 용연길 148 (우)45012,https://place.map.kakao.com/1895884073
고집센그집갈비탕 울산본점,3.9,갈비,울산 동구 대학길 133 (우)44069,https://place.map.kakao.com/13567658
함양집,2.4,한식,울산 남구 돋질로312번길 10 (우)44705,https://place.map.kakao.com/8637961
무라카데칼국수,3.0,국수,울산 울주군 청량읍 율리영해1길 104-5 (우)44959,https://place.map.kakao.com/18056479
샤브나인,4.0,샤브샤브,울산 중구 태화강국가정원길 17 (우)44439,https://place.map.kakao.com/257177871
용궁해물탕,3.9,"매운탕,해물탕",울산 동구 대송로 26 (우)44052,https://place.map.kakao.com/9942897
퐁당퐁당 본점,4.4,샤브샤브,울산 중구 태화강국가정원길 127 1층 (우)44437,https://place.map.kakao.com/590733593
복산돈까스,4.8,"돈까스,우동",울산 중구 손골2길 17-6 (우)44430,https://place.map.kakao.com/1355134917
화봄,4.9,커피전문점,울산 북구 화봉로 125 1층 (우)44245,https://place.map.kakao.com/1601769845
뜨락전통손칼국수,3.7,국수,울산 울주군 서생면 해맞이로 1257 (우)45015,https://place.map.kakao.com/15742623
안주일체,4.3,"호프,요리주점",울산 남구 왕생로46번길 15 (우)44718,https://place.map.kakao.com/920151073
게스트로,4.0,이탈리안,울산 남구 삼산중로84번길 11-13 1층 (우)44705,https://place.map.kakao.com/234444798
홍이,3.7,"육류,고기",울산 중구 염포로 19 (우)44516,https://place.map.kakao.com/15209391
경아식당,3.4,일본식주점,울산 남구 삼산로29번길 13-1 1층 (우)44678,https://place.map.kakao.com/27503446
리코파스토,3.5,이탈리안,울산 중구 종가1길 14 1층 (우)44539,https://place.map.kakao.com/118069697
곱간 울산본점,3.3,"곱창,막창",울산 남구 삼산중로48번길 5 1층 (우)44719,https://place.map.kakao.com/26555540
이너리트,4.3,카페,"울산 울주군 삼남읍 수남벚꽃길 9 1, 2층 (우)44951",https://place.map.kakao.com/740091706
은린,5.0,카페,울산 북구 아름1길 11 (우)44235,https://place.map.kakao.com/932725370
구룡,4.6,중국요리,"울산 남구 달삼로84번길 10 1,2층 (우)44720",https://place.map.kakao.com/10785087
스타벅스 울산간절곶점,2.4,스타벅스,울산 울주군 서생면 간절곶1길 33 (우)45015,https://place.map.kakao.com/27075990
마녀족발 울산삼산점,3.1,"족발,보쌈",울산 남구 달삼로 56 1층 (우)44721,https://place.map.kakao.com/1828936677
카페0732,2.2,카페,울산 울주군 서생면 간절곶1길 25-6 1~3층 (우)45015,https://place.map.kakao.com/27504541
종로쭈꾸미 성안점,4.5,"해물,생선",울산 중구 성안로 201 (우)44416,https://place.map.kakao.com/27269953
숯불의향기 명촌점,4.0,"육류,고기",울산 북구 명촌15길 5-1 1층 (우)44254,https://place.map.kakao.com/2001616781
고래고기원조할매집 본점,2.7,"해물,생선",울산 남구 장생포고래로 135 (우)44780,https://place.map.kakao.com/8230676
