place_id,user_id,score,comment
OK목장,Reason,4.0,침착맨이 밥먹은곳
OK목장,마스터,5.0,와 첨와봣는데 졸라맛잇음!!갈매기살 갈매기살
OK목장,심랑,2.0,22년8월13일 현재.돼지고기는 고기가 없어 오리만 한답니다.전화 한번 해보고 가시면 저처럼 헛탕 안칩니다.
OK목장,sEkoMLemOn,1.0,4명이서 갈치찌개랑 목살구이4인분 먹었는데 밥 나오냐고 물으니 갈치찌개에 나온다고 서빙하시는 분이 말씀을 하시더라구요...근데 일인당 식사3000원을 다 쳐서 공기밥4개와 된장하나 나오더니 밥비를 12000받네요...우리는 갈치찌개랑 밥 먹으려구 한건데...어의상실!!!참 그리고 반찬들이 다 소태!!! 옛날에 맛있어서 오랜만에 갔더니...감정상하고 입만 짜네요
OK목장,d,5.0,존맛탱
OK목장,신동호,4.0,
OK목장,최상복(sangbok),4.0,신선한 채소와 맛있는 밥 그리고 고기도 건강한 집 이네요.
OK목장,bittersweet,5.0,물놀이후 정말 밥도둑 같은 생선구이와 된장 등 너무 맛있군요
OK목장,장보희,1.0,"생선구이 별로 다타고 뭐 어린이 식사 않시켜다고 상차림 한명당 3,000원 별도로 받네요 ㅋ ㅋ 참고하시길"
OK목장,장지복,1.0,생각이 많아지는집...
OK목장,바디걸즈,4.0,
