place_id,user_id,score,comment
가무댕댕,jo.,1.0,식당아줌마 기본적 매너가 없으심주문후 스프 어디있냐고  물어봤는데 아직도 주문안했냐고 아주성질내고식당갔다 기분잡치고 나옴(아래 댓글에 아줌마 싸가지 없다 적혔는데 진짜 최악이에요)
가무댕댕,성슐랭,3.0,[지극히 개인적인 평][별점은 단순 맛의 기준]극한의 기본에 충실한 돈까스라 생각함경양식 돈까스를 좋아하지 않는 본좌는 먹기 힘들었으나 맛은 괜찮음결론 - 괜찮음
가무댕댕,ㅇㅇ,1.0,옛날만큼의 맛도 안나고 알바나 주인 아주머니나 싸가지가 겁나 없음 보통 손님이 들어가면 인사나 자리 안내를 하던가 해야되는데 걍 쌩깜ㅋ2층 올라가고 있으면 편한자리 앉아라고 얘기함ㅋㅋㄱㄱㅋ손님 응대에 민감한 사람은 절대 가지마셈최근 3번 방문했을때 3번 다 저렇게 응대해서 맛도 예전같지 않아서 이제 걍 걸렀음ㅋ
가무댕댕,Evanee,3.0,변함없눈 맛이긴 하죵...10년째 다니고 있는데계산할때는 아무말 안하는거 항상 이해 못하고 있는 1인저만 그럴까요?? ㅎㅎ
가무댕댕,찬우,5.0,맛있으니까 토달지말고 묵자 그냥
가무댕댕,노선영,5.0,
가무댕댕,4064,5.0,
가무댕댕,픈주,1.0,소스가 짜요
가무댕댕,김치킨,5.0,맘스충들 작작 악플다세요...스프는사드시오
가무댕댕,먹방요죵,5.0,옛날 돈까스가 생각나서 왔는데 딱 기대하던 맛이예요. 치즈오븐스파게티도 맛있네요.그리고 깍두기가 생각지도 않게 너무 맛있어요~ 가져가고싶네요.
가무댕댕,우s,1.0,맛이고 나발이고 직원들 마스크좀 제발열체크 하라면서 턱마스크 하고있는건 무슨짓?마스크 벗고 주문받으러 다가오지마세요
가무댕댕,얍,5.0,변치않는 추억의맛!
가무댕댕,Moon,2.0,추억으로 먹는 맛.(사진 : 한입 먹은 킹사이즈)
가무댕댕,U.S_Jobboo,1.0,오늘 아기를데리고 방문을했습니다.아기짐이많아서 홀에 손님이 별로없길래 옆테이블 의자를 하나빼서 쓰려니 아기짐가방이라서 조심으러운데 바닥에 내려놓으라고 하더라구요. 그래서 기분이 조금 상했는데 아기 조금 더 주려고 스프를 혹시 하나만 더 주실수 없냐고 여쭤보니 천원이나 주고 추가를 하라고 하시더라고요 보통 식당가면 반찬 추가나  밥한그릇 정도는 서비스로 하나정도는 줄수 있을텐데 많이 실망스러웠어요..돈까스가 엄청 맛있는편도 아니던데  손님한테 이렇게 서비스가 엉망인 곳은 앞으로 다시는 가고싶지않네요.
가무댕댕,ㄱㅁㄱㅁ,5.0,치즈돈까스 포장주문해서 먹었는데 퀄리티도 좋았고 맛도 있네요
가무댕댕,포동포동,3.0,
가무댕댕,김병진,1.0,갈때마다 주문이 안되노?
가무댕댕,초이스,4.0,먹기전에 스프줌. 이젠 맛이 아니라 추억으로 가는집. 옛날 디자인과 음식맛이 정겹다.
