place_id,user_id,score,comment
고래고기원조할매집 본점,QMCK🤔,3.0,호기심에 고래고기 먹어 봅니다. 맛은 개인에 따라 다를 수 있어요^^
고래고기원조할매집 본점,Wonbaek,1.0,"처음 먹는 고기라 호기심 가득 방문했지만, 여러 맛이 나는 부위는 새로운 경험이었지만 특별함은 없었습니다. 9시까지 영업으로 알고 방문했는데, 8시 45분쯤 마감시간 한참 지났다고 나가라고 하네요. 나오면서 물어보니 다른 아주머니가 9시까지라고 ㅎㅎㅎ 손발이 안맞으셨네요."
고래고기원조할매집 본점,박종범,5.0,이전에 리뷰 작성하신 분들 말씀처럼 직원분께서 그리 살갑진 못하지만 평소에 접해보기 힘든 고래고기를 맛볼 수 있는 곳이라 특별했습니다.모듬 중사이즈를 시켜 먹었는데 일행중 너무 비려서 중도포기 한 사람이 있었지만 평소 생선회도 잘 못먹었던 사람인지라 그러려니 했습니다.저는 비리다는 표현보단 고래만의 독특한 향이라고 말하고 싶네요.생선의 비린맛과는 또다른 풍미였습니다. 특히 꼬리에서 그 향도 잘 느껴지고 식감도 신기해서 정말 맛있게 잘 먹었습니다. 전체적인 식감은 매우 부드러운 소고기같았습니다.울산에 올 때 마다 먹고싶은 음식입니다^^
고래고기원조할매집 본점,막장업체 저주🎁,1.0,"요즘 고래고기의 합법적인 경로는 사고사한 고래에서 얻는 게 전부인데, 고기 수요를 진짜 고래로 채우는 건 불가능. 그래서 식당에서 고래고기라며 내놓는 고기의 상당수는 돌고래 고기.고래고기는 기름기가 상당해서 고추장을 많이 찍어도 느끼하다니 참고. 가뜩이나 멸종 위기인 고래, 맛도 없다니 먹지 마세요."
고래고기원조할매집 본점,ㄱㄴㄷ,1.0,고래 잡는건 불법인데 그렇다고수입도 안되고 어디서 가지고와서 파시는건지?불법이 아닌가 싶네요? ㅎ
고래고기원조할매집 본점,dreamsdh,1.0,핵노맛...점원분도 너무 불친절..밥이 없대요 수육 대 8만원짜리 시켰는데 플레이팅은 시장에서 먹는 것처럼 나왔고 특유의 비린맛을 잡아주지도 못함...기분 팍 상한 집!!
고래고기원조할매집 본점,myks,3.0,20171006
고래고기원조할매집 본점,권진무,4.0,소주가 막 막  들어간다
고래고기원조할매집 본점,대장금,3.0,한번은 가볼만 한집
고래고기원조할매집 본점,세상밖한걸음,3.0,모듬 15만원에생고기 육회무침 우네 오배기 수육을다양하게 맛볼 수 있다어지간한 삼겹살 횟집에서 일인당 비용을 감안하면희소성에 비해서 싸게 먹는 편이다어설픈 집들에서 얄팍한 수육으로 감질나느니바람쐬러 다녀오면 좋을듯
고래고기원조할매집 본점,Ryu용환,5.0,울산 장생포 원조 할매집 밍크 고래고기 모듬 ^^고래고기탕은 소고기 국밥? ㅎㅎㅎ무 봐라 킄 2015.5.16 추가 카스 참조
