place_id,user_id,score,comment
고집센그집갈비탕 울산본점,한승수,5.0,Best Galbi-tang ever
고집센그집갈비탕 울산본점,산하,5.0,"걸어와서 주차는 잘 모르겠는데 진짜 맛있어요!! 깍두기, 김치, 겉절이 전부 다 맛있고 고기도 부드럽고 국물이 끝내줍니다."
고집센그집갈비탕 울산본점,허영우,4.0,멀리서 찾을만큼 맛있지는않네요그래도 지나가다 한번쯤 먹어볼만한 갈비탕
고집센그집갈비탕 울산본점,동해,1.0,영업시간 11시인데 2분전 전화로 내일 영업하시냐고 문의하니 5초간 정적후 소진 다되어서 영업 끝났다고 전화 끊는 사장님.하지만 12시 지나서 배민 조회하니 배달주문이 가능하다고 나오네요.이제껏 자주 이용하고 했는데 신뢰가 없어져 다신 안가려구요. 바쁜건 이해하는데 초심을 잃지 않으시길 바랍니다.
고집센그집갈비탕 울산본점,씽씽,3.0,원재료 인상으로 가격인상...아...그래서 1년만에 9천원에서 3천원 올랐구나...
고집센그집갈비탕 울산본점,애도가와 코난,5.0,진짜로 맛있어요. 최고!!!!
고집센그집갈비탕 울산본점,dtt,5.0,특별하지는 않지만 고기도 많고 맛있어요.  점심에 웨이팅있습니다.
고집센그집갈비탕 울산본점,울산고슴도치,5.0,여자친구랑 맛있게 먹고 갔습니다고기도 많이 주시고 국물도 굿 !
고집센그집갈비탕 울산본점,me,3.0,이집 갈비탕을 처음 생길때부터 먹었는데 사장님이 안 계신 이후로 맛이  슴슴해졌어요.반찬맛은 그대로인데뭔가가 달라졌어요
고집센그집갈비탕 울산본점,오현재,5.0,맛있어요
고집센그집갈비탕 울산본점,고독한고양이,5.0,서비스도 좋고 맛도 좋네요~! 여기 오세요 짱입니다~~ 양도 정말 많아요~양 넘 많네....
고집센그집갈비탕 울산본점,김인겸,4.0,
고집센그집갈비탕 울산본점,.,1.0,불친절
고집센그집갈비탕 울산본점,옥,5.0,여태까지 먹어본 갈비탕 중에 제일 맛있었어요 JMT~!!
고집센그집갈비탕 울산본점,맛집좋긔!,5.0,이집은  인정  일찍가서  줄서서 먹을만함
고집센그집갈비탕 울산본점,CH PARK,5.0,"이 가격에 이 맛이면 5점 받아야지13000원정도 받는 타식당 갈비탕과 비교해도 고기양, 맛 모두 부족함이 없다"
고집센그집갈비탕 울산본점,아트리,2.0,
고집센그집갈비탕 울산본점,NORSKE,3.0,자극적이지않고 맛있네요..
