place_id,user_id,score,comment
대왕암암소갈비,민초,2.0,분위기 좋고 고기가 무난무난하니 나쁘지 않아서 중요한 손님들 대접할때 가끔 갔었는데 마지막으로 갔을때 기본 반찬인 잡채는 떡이 져있고 고기 상태는 너무 안좋고... 실망하고 이제는 안갑니다 갈때마다 사람이 많이 없던데 건물이 커서 손님이 안보이는건지 진짜 회전율이 낮은건지 모르겠지만... 음식 퀄리티를 유지할 수 있도록 고민 좀 하셔야겠어요 그렇게 해서는 악순환만 됩니다
대왕암암소갈비,김종범,1.0,꽃등심의 꽃은 빨간 장미꽃이었슴.
대왕암암소갈비,삐에로,1.0,세련된 인테리어 그리고 식사후 고기 냄새가 옷에서 나지 않아 좋았습니다 고기도 맛나고 좋았지만 스프맛 나는 냉면 그리고 쉰어버린 파절임 무침~~ 쉰내가 나서 돌려보냈는데 사과한마디 없으시고 손님앞에서 아르바이트생을 혼내는 모습 정말 최악의 식사 시간이였습니다
대왕암암소갈비,아카시아,1.0,
대왕암암소갈비,맛집감별사,5.0,음.. 소양념갈비 맛있습니다. 고기에 양념이 잘 배어있고 식사메뉴나 밑반찬 꽤나 퀄리티 있어요. 굿굿
대왕암암소갈비,맛집다내꼬야,5.0,소갈비 짱맛!! 밑반찬 잘나오고 쾌적해요 기다린 보람이 있어요
대왕암암소갈비,손오반,4.0,
대왕암암소갈비,김강현,5.0,저도 검색해서 점수만 보고 갔는데분위기 좋고 맛좋고 기분좋아짐
대왕암암소갈비,김호영,5.0,굿
대왕암암소갈비,오댕,5.0,우연찮게 급하게 검색해서 들였는데 존맛탱입니다. 소고기는 여깁니다. 밑반찬도 죽여줍니다. 아이 데코갔는데 먹일거 많아요 굿
대왕암암소갈비,먹킷리스트,5.0,새로 리뉴얼해서 깔끔해요룸으로 되어서 프라이빗 굿
대왕암암소갈비,바다,5.0,갈비맛있어서 자주 가는데 갈때마다 맛있게 먹고 옵니다. 고기집이라기보다 분위기 좋은 레스토랑같아 왠지 더 기분 좋은 식사합니다. 직원분들도 친절하고 잔잔하게 들려오는 클래식 음악소리도 좋아요.
대왕암암소갈비,명훈,5.0,
