place_id,user_id,score,comment
마당,맛있는거,2.0,"비싼데 맛은 그냥 조리법대로 하는것 같아요 ㅜㅜ 그래도 분위기 좋고, 고양이 웨이터가 있어서 잘있다 가요!"
마당,OSCAR,1.0,올해 가본 곳 중에 정말 최악의 식당.  햄버거 먹는데 털이 나와서 처음에는 그냥 버렸는데 계속 나와서 문의하니까 키우는 고양이 털이라고 합니다:: 고양이 싫어하는데 별 대수롭지 않게 애기하셔서 약간 화났음. 환불해주긴 했지만 주방에 고양이가 들어가는 것도 이해가 안갈 뿐더러 솔직히 햄버거랑 리조또도 추천할 만큼의 맛도 아니었고 비싼 느낌이 있음. 그냥 빛좋은 개살구 같은 느낌.... 비추합니다
마당,상오드리,5.0,Good
마당,ㄹㅇ,2.0,샐러드 별로피자 패스츄리도우라 충격 및 치즈가 정말 별로그냥 동네 인스타 감성 카페정도로 생각하면 편할듯
마당,986,4.0,피자도우가 페스츄리처럼 맛있었습니다 샐러드는 별로.....
마당,김김이,4.0,"가야는이유: 카페, 브런치, 펍 모두 가능. 메뉴가 전체적으로 다 맛있다. 다양한 생맥주. 통유리맛집. 분위기좋음. 안가는이유: 다소 비쌈"
마당,다디달다,4.0,
마당,오전필,5.0,
마당,💐🌈☃️💛❤,4.0,파스타랑 피자 둘다 맛있었어요 !
마당,1234,1.0,감바스 개노맛 왜 평점 좋은지 모르겠음
마당,wjrhtkadldpdy,5.0,양도 많고 분위기도 좋고파스타랑 음료도 맛있어서 너무 좋았어염
마당,9구르미,4.0,
