place_id,user_id,score,comment
마운트,춘식이분모자,5.0,진짜 왜이리 맛있나요 샌드위치가 ㅠ
마운트,식객 꾸무새,4.0,쾌적한 환경 속 깔끔하고 건강한 음료를 즐길 수 있는 곳.
마운트,맛스터,4.0,샌드위치 엄청 맛있음 개취로 파니니 샌드위치가 더 맛있었음 커피도 먹을만 함
마운트,BoBo,5.0,치아바타 샌드위치 담백하니 맛있고요 커피는 고소한맛 산미있는맛 고를수 있어요 그리고 냉장고에 있는 꿀이랑 버터 같이 있는 2000원짜리 그거랑 모짜렐라 번? 그거랑 같이 먹으면 천상 극락 그 어디쯤? 잠깐 맛볼수있어요! 앞으로도 자주 가볼 생각입니당 ㅎㅎ
마운트,비치,4.0,샌드위치 완전 맛나요... 서브웨이 이제 못 먹겠음 ㅠㅠ
마운트,김수미,5.0,샌드위치 너무 맛있네요. 6살 딸아이도 잘 먹네요
마운트,어지은,2.0,아무리 바쁘신건 알겠지만.. 테이블 갈때마다 흔들려서 음료 쏟을까 불안하고… 이번에 갔을때는 세트메뉴 시키는데 원두 종류도 안물어봐주시고…  주말에 차로 20분씩 가던곳인데 ㅋㅋ 좀 많이 실망스럽습니다
마운트,깜짝맘,5.0,
마운트,딸기가좋아,5.0,
마운트,rim8028,4.0,잠봉뵈르 샌드위치
