place_id,user_id,score,comment
미림숯불갈비,🐇,1.0,"최악 중에 최악. 단체석 해주신대서 더 늦게 온 손님들한테 다 양보하고 30분 기다렸는데. 본인이 사장이니까 테이블 두개 힘들다고. 장사 잘 되서 한 테이블이라도 아까워서 안 된다던 최악의 사장님. 초심잃고 사장님도 바꼈다던데 정말 최악이었습니다. 사장님 요즘 맛집도 많은데 그런 태도와 행동, 말로 장사하시면 손님 다 떠납니다^^ 덕분에 추운날에 아주~~~~~~ 기분 안좋았네요^^ 두 테이블 안되는거면 처음부터 단체 안된다고 말씀해주시는게 맞는것같습니다. 그 좁은 원형테이블에 남자 7명까지도 앉게했다는말씀... 너무 충격적이네요."
미림숯불갈비,리뷰몰아쓰기,4.0,울산 갈비집 중 가장 나음
미림숯불갈비,.,2.0,"변했음,,, 초심 잃었음 ㅠㅠ"
미림숯불갈비,화이트컨슈머,4.0,맛있음 ~~ 아쉬운건 너어어무 달다..ㅋ된찌는 최고 ㅋ
미림숯불갈비,호호,5.0,짱맛있었어요 된장찌개가 엄청유명해서 꼭 시켜먹으라길래 먹어봤는데 첨엔 음..? 했는데 남편은 엄청좋아하고 맛있다하더라구요 먹다보니 맛있었어용 ㅎㅎ 갈비최고
미림숯불갈비,불친절탐지로봇,5.0,맛남 ㅎㅎ
미림숯불갈비,근돼미식가,5.0,와 사람이 겁나많길래 궁금했는데많을만큼 맛있네요 !! 된장찌개도 얼큰하이 쥑이네요안타까운건 냉면도 팔면 좋을텐데 ㅎㅎㅎ
미림숯불갈비,Youb,3.0,단짠 단짠(고기도 평균이상) ~ 해물된장에  오징어가 들어있는데 ㅎ 달달싼만큼 양은 조금작음 2인 5인분은 필수인 듯^가볼만 해요!!^
미림숯불갈비,🐻,5.0,가격도 맛도 좋아요 ! 무엇보다 바쁘신와중에도 직원분들 모두 친절하세요 ! ㅎㅎ
미림숯불갈비,하나로.,5.0,고기가 연하고 맛 있습니다.바쁜데도 일하시는 분들 친절하시고 잘 먹고 왔어요. 주차가 조금 힘드네요
미림숯불갈비,맛있으면 우는 신생아,5.0,으~~~~어~~~흐어~~~
미림숯불갈비,서정욱,5.0,
미림숯불갈비,맛집찾기,5.0,짱이에요 여긴 꼭 가야해
미림숯불갈비,울라푸,5.0,가성비 갑... 저녁시간엔 일찍가야함.. 찌개도 넘 맛있음..
미림숯불갈비,손오반,5.0,"웨이팅, 좁은자리 감안해도 5점"
