place_id,user_id,score,comment
미진돌곱창,하늘,1.0,곱창 질기고 아줌마들 싸가지없음
미진돌곱창,일레이엇 투자상담,5.0,이렇게 맛있는~
미진돌곱창,CHAE,3.0,
미진돌곱창,뻑,4.0,일단 내가 가본 집중에서는 가장 맛있음주차공간 넓고 구이도 맛있고 전골도 맛있었어요
미진돌곱창,jmjmjm,4.0,
미진돌곱창,친절불친절 표시맨,1.0,코로나환기불량 싸가지없음
미진돌곱창,횃불동방,2.0,돼지 특유의 누린내가 나서 별로였음.특히 전골에서.가격도 비쌈.돼지곱창이 1인분에 12000원이라니.양도 적고.실망.
미진돌곱창,채혁,4.0,맛은 있으나 비싸고 양이 작음
미진돌곱창,맛탐정,2.0,곱창 고소하고 맛있음.냄새없음. 양은 2인분300g이 맞는지 저울생각남.선지국은 뚝배기 팔팔은 안되어도 뜨끈은해야는데 미지근함. 기타 반찬들은 평범.
미진돌곱창,또장이,5.0,
미진돌곱창,jy,2.0,구이는 기름이 많고 곱창전골은 달달해서 별로였어요
미진돌곱창,MJ❤,1.0,
미진돌곱창,유리,5.0,맛있당 둘이 3인분 시키고 곱창전골 시키면 딱 일 것 같아요 전 5인시켜서 조금 느끼했어요
미진돌곱창,어뮤즈,2.0,이상하네..제가 곱창에 대해 잘몰라 그런가요?3인분 시켜도.혼자먹어도 모자랄 양인대?반찬은 당연히 ....그렇다고 곱창이 그렇게 좋은것은 아닌듯한데?왜 평점이 좋은건지?옆가게들은 파리 날리고  여기는 손님많고..이해가 안가는 한곳이다 ㅋㅋ
미진돌곱창,.....,4.0,
미진돌곱창,김진수,4.0,맛있기는 한데 양이 너무 적어요
미진돌곱창,내 기준,4.0,곱창 맛 모를 땐 별로였는데 좋아하고 나서 먹으니까 맛있음 근데 기대 안하고 먹어야 함 ㅋㅋ 전골은 비추
미진돌곱창,송송이,5.0,"맛나고, 또 맛나고.."
미진돌곱창,징징이,4.0,양이 작아진 느낌......? 그래도 선지국밥에 곱창은 사랑이네요ㅋㅋ
미진돌곱창,쀼뚜미,5.0,별로에요....나만의 별로...우리만 가고싶으니까 아무도 가지마
미진돌곱창,ㅇㅇ,5.0,최애 곱창집
미진돌곱창,etp09,4.0,자주가는 집인데 구이는 맛있지만 전골에 곱창이 너무 너무 조금 들어있어서 아쉬워요.
미진돌곱창,정복하겠다,1.0,양 개적음 둘이 4인분 먹고 다른데서 밥 또먹음
미진돌곱창,이창재,4.0,맛..은 최고..
미진돌곱창,Neky,2.0,"가격 대비 양이 너무 적습니다. 그 적은 양에 대창 등이 같이 섞여 나오는데, 가성비를 챙긴다면 여기는 비추천. 특히 전골은 정말 별로입니다."
미진돌곱창,.,1.0,맛-보통가성비-최악
미진돌곱창,솔직러,3.0,"주차 편리! 주차장 큽니다...맛은 그냥저냥,,  친절하지도 않고 불친절하지도 않고, 그냥저냥... 전골은 별로 맛이 없고... 구이는 비싼편"
미진돌곱창,오전필,5.0,
미진돌곱창,헤헷,5.0,기름 터지는 고소한맛!곱창 안좋아하는데 홀릭되게 만든곳!양이 적어 가격이 많이 나오지만 그래도 존맛탱
미진돌곱창,정호,1.0,곱창전골이 아니라소 대창 전골인거 같아요질기고 소기름 잔뜩 묻어있고정말 최악이고가격이 싼게 아닙니다.양 이 너무적어요
미진돌곱창,김명수(義血男兒),1.0,작아도 작아도 가격대비 너무 양이 작습니다. 2인 최소 4인분. 그리고 곱창시켰는데 곱창은 별로 없고 다른부위가 잔뜩. 메뉴표에 모듬이라고 적어 놓던지. 음식 가리지 않는데 소문난 잔치에 먹을거 없다고 정말 실망함.  별1개도 안까울 수준
미진돌곱창,tony321123,5.0,맛남
미진돌곱창,바디걸즈,4.0,
미진돌곱창,포동포동,3.0,
미진돌곱창,건강한약국(양진환),5.0,
