place_id,user_id,score,comment
미풍해장국 강동산하점,가본곳만별점남김,5.0,시원하게 좋네요
미풍해장국 강동산하점,카카오맵굿,5.0,울산 놀러와서 제일 만족한 식당입니다. 강추
미풍해장국 강동산하점,긍정왕,5.0,친절하시고 선지랑 국물 끝내줌 입맛에 맞추어 끓여주는점이 좋았음 돔베고기도 저렴한데 맛있음
미풍해장국 강동산하점,커피여행자,1.0,서비스 구림.. 먹고 다음날 배탈까지.. 다시는 안 갈 집...
미풍해장국 강동산하점,빛나는 청춘⭐️,5.0,"마늘 넣은 해장국 너무 맛있습니다. 가격은 해장국은 1만원, 맛보기 1.2만원으로 변경이 있네요!"
미풍해장국 강동산하점,리리,5.0,크 우연히 알고갔는데 넘 맛있고 든든하게 잘먹었어요!!강추합니다!!!
미풍해장국 강동산하점,양혜정,5.0,입니다. 유쾌 하신 사장님.
미풍해장국 강동산하점,Park TabS6,3.0,보통. 밥은 더 달라고하면 더줘요. 설명을 안해주지만...
미풍해장국 강동산하점,나비효과,4.0,
미풍해장국 강동산하점,은우앱,3.0,
