place_id,user_id,score,comment
베테랑바베큐,근돼미식가,1.0,맛없엇음…ㅠ
베테랑바베큐,야호,1.0,"테이블이 불편하고 수입산 소고기를 이 돈 주고 먹고싶,,은가요,,,,,? 울산 사람들은 뭘 먹고 사나요 도대체,,"
베테랑바베큐,ARFU,2.0,"일단 환기가 전혀 안 되는 수준입니다. 사람 적을 때는 잘 모르지만 테이블이 늘어날수록 실내에 연기가 가득차서 거슬립니다. 굉장히 시끄러워서 앞사람과 대화하면서 밥먹기 힘들정도였네요. 테이블 높이가 애매하게 낮은편이라 의자보다 조금 더 높은 정도인데 식사만 놓고보면 불편했습니다.그래도 식당이니 음식얘기를 하자면 고기는 맛은 있어요. 분명 맛은 있는데 뭔가 많이 먹을 고기는 아닌느낌. 저 위치에 저 가격에 저 환경에서 먹는걸 고민한다면...글쎄요데이트로 한 번쯤 가는 것은 추천, 가족단위로 식사로 가시는건 개인적으론 비추"
베테랑바베큐,불친절탐지로봇,1.0,울산은 이정도가 맛집인가요….? ㅠ
베테랑바베큐,센스민트오빠,2.0,간절곶 가다 야간 조명이 이뻐 빨려 들어갔다너무 실망하고 나온 곳..처음 화장실 지저분해서약간 이상하다 싶었는데내부 들어가보니가득찬 연기와 바닥 흙 먼지를 보고고개를 끄덕였다외부 조경엔 신경을 좀 쓴거 같은데내부 인테리어는 전혀 손을 안댄 느낌이다.
베테랑바베큐,맛집다내꺼,5.0,굿굿
베테랑바베큐,그레이,3.0,모든 메뉴 하나씩 다 먹었어요.본갈비는 두꺼워서 스킬없이 굽기 힘들던데 잘 굽는 방법 같은거 메뉴판과 함께 제공되었으면 좋겠습니다. 안거미가 가장 맛있었어요. 본갈비 외에는 양념 돼서 나오는데 양념맛이 강하지 않아요.  자리도 편하진 않습니다. 다 먹고 나니 허리가 아팠어요.고기보다 사이드 메뉴(메밀면은 좀 달았고 쌈장찌개가 JMT)가 맛있었어요.재방문은 안할 것 같습니다.
베테랑바베큐,재이재이,3.0,"홀 안에 매케한 연기가 자욱(환기안됨),먹다보면 재가 엄청날림... 폰위에 하얀 재가 수두룩함맛은 뭐 괜춘하고 친절하십니다"
베테랑바베큐,아기락스타,3.0,찌개 맛집입니다.아무래도 야외?이다 보니 벌레 꽤 많고 위생도 딱히 좋은 것 같진 않아요.
베테랑바베큐,dkienp,4.0,고기 맛 좋습니다!! 날씨 좋을때 가야해요!
베테랑바베큐,CHAE,3.0,"맛은 괜찮았는데 가격과 양, 내부 환기가 만족스럽지 못했어요"
베테랑바베큐,으잌,4.0,고기 자체가  좋은 고기라고는 느껴지지 않음 고기의 양은 적절한거 같음 짜피 일상적으로 가는곳은 아니고 어쩌다 기분내러 가는건데 연못과 어울러진 풍광은 좋음 근데 고기 그 자체가 목표라면 추천하지 않음 기장 철마나 울진을 가는게 고기의 질이 훨씬 좋음(대신 여기보다 비쌈)
베테랑바베큐,이동현,1.0,........할말이 없네요.....
베테랑바베큐,멋진인생,5.0,집밥이 싫증나고 바람쐬고 싶을때간절곶으로 바닷바람맞으며드라이브도 즐기고 출출한 배도 채울수 있는곳.넓은 연못과 어우러진식당에서 풍경을 즐기며고기도 맛볼수있어서 좋습니다.본갈비는 비추(누린내심함)고기식후 쌈장갈비는 강추(땡초팍팍 넣어야됨.)
베테랑바베큐,콩콩,5.0,진짜 너무 최고 ....
베테랑바베큐,plage06,4.0,
베테랑바베큐,정윤호+세분,4.0,전화번호가 틀리네요 052-239-5515오픈시간도 12시부터 압니다.
베테랑바베큐,박종현,2.0,직원 불친절.화장실 졸 더러움. 우엑.고기맛이랑 경치만 좋음.백러사실.
베테랑바베큐,HR stuff,5.0,리뷰 보고 간 보람 있어요. 육즙팡팡~본갈비가 특히나 맛있었답니다. 맛좋고 분위기 좋고~기분전환 외식하러 가기에 딱 좋았어요!
베테랑바베큐,柳明秀,5.0,양많고..젊은이들 서빙이 빠르고 친절합니다..단..창고형 박스타입 건물이 너무 쾡해서 분위기 찾는 연인들에겐 비추..오로지 미각과 풍성한 먹거리 위주의 탐식가들에겐 강추..
베테랑바베큐,9구르미,4.0,본갈비2+찌개+밥.
베테랑바베큐,b.b.wrighter,4.0,"바닷가에서 먹는 바베큐, 맛도 최고!"
베테랑바베큐,권진무,4.0,분위기 좋고 고기도 좋고~~
베테랑바베큐,포동포동,5.0,
