place_id,user_id,score,comment
복산돈까스,yum,5.0,울산 돈가스 탑클래스 인정... 경양식이 특히 엄청 부드럽고 촉촉해요 두꺼운데도... 소스도 독특하면서 입에 착 붙는 달콤한 맛이라 누구나 맛있게 먹을 듯! 양도 많아서 한 메뉴 다 먹고나면 아주 배부릅니다 ㅎㅎ 사장님도 친절하시고 손님들 한 분 한 분 꼼꼼히 살피시는 모습도 대단했습니다~~
복산돈까스,정민,5.0,여기보다 맛있는 돈까스집 없음
복산돈까스,빈,5.0,진짜 정말정말 맛있어요.. 주차가 불편하긴 해도 그런 거 다 감수하고 갈만큼 맛있어요 안심돈까스 일식돈까스 메밀소바 다 맛있고 김치돈이 진짜 너무너무 맛있어요..ㅠㅠ 이 맛이면 김치찌개 집을 하셨어도 성공했겠다 싶은.. 고기도 부드럽고 특유의 식감도 맛있어요ㅠㅠ 그리고 직원분들도 진짜 친절하시고 분위기도 좋아요!! 항상 들어오고 나갈 때 인사 크게 해주시고 저희가 라스트오더보다 3분? 정도 늦게 갔는데 마지막 주문으로 받아주시고 끝나실 때 정리한다고 계속 왔다갔다 해서 죄송하다고 콜라도 서비스로 주셨어요 오히려 죄송한 건 저희였는데.. 진짜 최고의 돈까스...
복산돈까스,대구 촌놈,5.0,인생 돈가츠. 진짜 고기 최강!
복산돈까스,정순형,3.0,"맛에 비해 너무 비쌈. 1인당 13,000원아파트 단지 내에 위치. 주차 불편. 너무 긴 웨이팅시간.."
복산돈까스,🌹sყ,5.0,와.... ☆웨이팅 싫어하는 기준☆ 30분까지 인정30분 이상 기다리면 안기다리고 다른 곳 갈거같고30분까지는 기다릴 맛
복산돈까스,1,5.0,
복산돈까스,박치훈,5.0,
복산돈까스,구가,5.0,이때까지 먹어본 중에 최고!!!
복산돈까스,죠스바,5.0,
복산돈까스,ㅇㅇ,5.0,
복산돈까스,KOO,5.0,"안심돈까스 먹었는데 돼지고기도 이렇게 부드러울 수 있고, 육즙이 가득하며 좋은 육향이 날 수 있다는 걸 처음 알게 되었습니다. 전 고기맛 그대로 느낄 수 있는 소금찍어먹기가 젤 좋더군요. 언제 다시 울산을 가볼 수 있을지 잘 모르겠지만 오래 운영하셔서 다시 또 맛볼 수 있으면 좋겠습니다~"
복산돈까스,먹고노는게제일좋아,4.0,육향 있고 씹는 맛도 있고... 맛있어요! 홀 보시는 분도 너무 친절하셨어요 테이블에 부족한 거 있는지 계속 살피시는 것 같더라고요 여기서 돈까스 먹고 공항가니 완벽
