place_id,user_id,score,comment
삿뽀로 울산점,_____,5.0,"기념일이라 예약하고 갔습니다. 다른 분들 리뷰를 보고 부정적인 평판이 있어 살짝 걱정을 했습니다. 하지만 들어가 보니 모든 직원분들이 친절하셨고, 특히 생일이라고 생일 백스크린과 사시미케잌, 생일상까지 차려 주셔서 너무 좋았네요. 다음에도 중요한 분 모시고 방문하려고 합니다."
삿뽀로 울산점,K,5.0,"덕분에 엄마 환갑 잘 보내고 왔습니다. 서비스로 서프라이즈 하게 준비 해주신 회 케이크와 미역국 식사 정말 감사합니다. 친절하고 빠른 서비스, 맛있고 푸짐한 음식도 가족 모두 만족 하였습니다. 앞으로도 번창 하세요~"
삿뽀로 울산점,김창일,4.0,
삿뽀로 울산점,shin,1.0,
삿뽀로 울산점,최진우,1.0,"12월10일4명이1인55000원코스요리를주문하였는데, 음식의질도떨어지고, 양도적어, 튀김이라도조금더달라하니,단품음식을추가주문하라하네요. 정말가성비없는집입니다. 직원들교육도안되어우왕좌왕하면서, 친절도도많이떨어집니다. 배가허전해서집에와서,라면먹었네요, 이집주방장님이나사장님, 다른일식집견학좀해서배웠으면합니다. 난생두번째로댓글달아봅니다. 참고로서빙이모팁2만원드렸읍니다"
삿뽀로 울산점,한결,5.0,평일 점심에 조금 늦은 시간에 가서 브레이크타임에 걸렸는데도 불구하고 식사가 가능하도록 양해해줘서 너무 좋았어요또 지갑을 두고 가는 바람에 귀찮았을텐데 세심하게 포장하여 택배까지 보내주셔서 너무 감사했습니다.
삿뽀로 울산점,ㅁ,1.0,배가 불렀는지 전화 예약받는사람한테메뉴 좀 물어봤더니 전화를 끊어버리네요말투가 많이 불친절합니다 다시 전화해서 한판하려다가 그냥 참습니다
삿뽀로 울산점,만성피로,3.0,개별 룸으로 되어서 편하긴했지만가격대비 코스메뉴가 부실합니다.갈수록 양도 적어지고..작년 추석때 가족들과 왔었을때 아주 잘 먹고 갔었는데..가격은 올리고 메뉴가 적어진 듯..아쉽네요
삿뽀로 울산점,이수인,1.0,
삿뽀로 울산점,푸른하늘 구름한점,1.0,가격대비 음식의 질과 수준이 떨어지네요. 2만8천원짜리 런치스페셜C를 먹어봤는데  가격대에 비해 만족스럽진 않네요. 제일 싼 것을 먹어서 그런지 음식 서빙도 무성의하게 느껴졌습니다. 그리고 무엇보다 종업원들이 친절하지 않습니다. 이곳은 내 돈 내고 먹기 아까운 음식점 같네요~ 앞으로 재방문 하지는 않을 겁니다.
삿뽀로 울산점,꽃바람,1.0,"2020.11.15.   음식은괜찮은데주말a 46000원주말b 40000원김치는 먹은것같이 1접시만 있어요반찬음식도 없는데 김치접시가 나오더라고이상하다고하니직원이""여기는  손님받은적이없어요""라고 하면서안가지고 갔어요그냥 먹었죠 기분이 않좋았어요생일이라 처음갔는데매너가 0점이라구요팰을 5번 오지도 않하고다른직원에 주인까지 와서 서빙을 하더라고직원은 뭐하는지~~~~김치를시겼는데 3접시가 나오더라고요주말a,46000원 비싸게 먹었는데 생일이라가기에 별로네요오늘 회먹고 불고기가 나왔는데 배가 불러 도저히 안들어갔어요"
삿뽀로 울산점,오전필,5.0,
삿뽀로 울산점,포동포동,4.0,
삿뽀로 울산점,마동탁,3.0,
