place_id,user_id,score,comment
싱귤러커피,예지,5.0,엄마랑 한옥카페 가고싶어서 찾아간 카펜데너무 만족했어요! 직원분들도 친절하고 굿즈 구경하는 재미도 있고 한옥이라 엄마맘에 쏙 들어하시더라고요 ㅎㅎ 포밍멜로우 뭔가했는데 크림이랑 커피 진짜 잘어울리고 맛있더라고요 ㅠㅜ 또 먹고싶네요🤤 유기농 당근케이크도 유기농이라 더 맛있고 믿고 먹은것 같아요 ㅎㅎ 친구들이랑도 또 갈거에요 ㅎㅎ
싱귤러커피,검은색,5.0,
싱귤러커피,까탈미식,3.0,밤의 분의기가 좋네요가성비는 좀 떨어지고2시간 제한이라니ᆢ
싱귤러커피,성슐랭,3.0,[지극히 개인적인 평][별점은 단순 맛의 기준]맛은 평범하고 분위기 맛집으로 가는 느낌못 먹을 정도는 아님결론 - 괜찮음
싱귤러커피,라니♡,5.0,포밍멜로우 너무 맛있어요!밤엔 분위기도좋아요
싱귤러커피,쩡,5.0,비싼만큼 정말 만족했던 커피숍입니다:) 제가 먹었던 아인슈패너 중에 제일 맛있는 것 같아요ㅎㅎ
싱귤러커피,미니,1.0,커피맛없음 분위기때문에 가는거지 자리도 불편하고 사진찍기용 카페부모님 모시고 세번째 방문입니다. 음료 세잔 케익 하나 시켰는데 네명이라고 음료도 4개 시켜야된대요
싱귤러커피,그레이,3.0,(네이버 리뷰는 후기 이벤트를 해서 별점이 높아요)네이버 통해서 비대면 주문 하는데 직원분이 알려주시긴 하지만 옆에 있던 어르신분들은 주문하기 좀 힘들어하셨어요. 결제도 네이버페이 통해서 해야해서 등록안되어 있으면 카드번호 일일이 치고 그래야 합니다..  참고하세요.주차장은 있으나 4대정도 댈수있고 늘 만석이라 갓길에 주차해야해요. 음료 가격은 아메리카노 부터 올7000원 입니다. 1인 1음료라 금액이 사실 좀 부담됩니다.깨끗하고 친절하고 커피맛 자체는 맛있어요. 뷰는 뭐 없어요. 아주 가끔씩 여유있고 가족이나 손님 오셨을때 갑니다.
싱귤러커피,박소현,5.0,오 커피 맛있음 기본기 하는듯 분위기도 좋고
싱귤러커피,전철영,4.0,뷰는 괜찮고 자리도 편해요내부는 딱히 외관에 비해 개성이 없는 편이지만 포밍멜로우 이 커피는 맛있어요공부하기에는 책상이 조금 낮은 편이지만 요즘 시국 때문에 손님이 별로 없어서 조용해서 좋아요
싱귤러커피,초이스,3.0,"디자인 5 맛 3 원두자체에 브랜드를 매길만큼 열의는 대단하지만, 맛은 그에 미치질 못하는 느낌."
싱귤러커피,구파발왕언니,1.0,한옥 자체는 매력적이지만 실내 인테리어며 음료며 디테일한 것들이 그만한 가치를 못 따라가는 느낌이에요. 그리고 서울 카페와 비교해도 충분히 비싼 음료에서 이런 먼지가 붙어 나오는 경우는 정말이지...
싱귤러커피,*유정*,3.0,
싱귤러커피,짬,2.0,
