place_id,user_id,score,comment
아키라,헉,2.0,붓카케우동 정식 먹었는데요 맛이 없어요.. 그냥 말 그대로 無맛.. 맛이 안 나구 면이 쫄깃하긴 한데 너무 투머치인 느낌이 있었어요 나머지도 그저 그렇고 기대를 너무 해서 그런가 많이 실망했네요
아키라,7356,1.0,"'면'은 괜찮은데 그 외에 모든게 별로.쯔유, 튀김, 정식구성, 돈까스 다 맛이없다. 무엇보다 간이 안맞아서 니맛도 내맛도 아님.돈까스 너무 퍽퍽하고 튀김은 튀김옷이 너무 두껍고 기름을 많이 먹고있어서 재료가 아까움...자리가 반이 비어있을딴 갔는데도 주문부터 메뉴 받을때까지 30분 넘게 기다렸어요. 뭐가 문제인지 모르겠네."
아키라,자신있나?,5.0,아키라차 왓차차♡♡맛이 아주 기가막히 무니닷!!!또 가야징 두번 먹오야징 캬캬
아키라,fksoq,5.0,면이 너무 맛있었습니다! 또 방문할게요
아키라,라이너,5.0,"수타면으로 유명하대서 방문했는데 생각했던것보다 수타면이 너무 두껍고 묵직해서 저는 별로...였지만 양도 많고 우동국물 등 맛은 좋았음. 엄청나다기보단 평범하게 맛있는짐 우동 맛? 다만 대반전으로 우동정식에서 도시락에 나온 계란말이와 튀김, 차돌박이 볶음이 너무너무 찐 맛있어서 정말 깜놀!! 수타면은 맛보다는 그런 면이구나 이런 정도이고...우동정식의 도시락이 너무 알차게 맛있고 돈까스가 훨씬 맛있는것 같아요~~"
아키라,nerf this,4.0,울산에서 이름있는 우동맛집국물 면 모두 상당한 수준
아키라,코뿌리,2.0,그냥 그런맛인듯굳이 다시 찾진 않을듯
아키라,SE,4.0,붓카게 맛있어요. 사이드 카레는 맛있는데 향이 진해 붓카게 맛을 약간 반감시키는거 같아요
아키라,쩝쩝박사,5.0,맛있어용
아키라,성슐랭,4.0,[지극히 개인적인 평][별점은 단순 맛의 기준]정식 2가지 먹어봄국물 많은 우동은 평범하다 느낌붓카케 우동은 확실히 면의 식감이 만족스러움정식으로 시키면 나오는 도시락 속 메뉴들은 전부 무난무난하지만 밥 쪽에 있는 계란이 부드러운 식감이지만 달다 호불호가 있지 싶음그래도 밥에 뿌려져 있는 것과 햄의 짠맛으로 단짠단짠을 느낄 수 있음결론 - 맛만 보았을 때 한번 쯤은 가보라고 말할 수 있을 듯
아키라,나무미,5.0,공통적으로 면이 진짜 탱탱하고 맛있어요. 붓카케우동이 특히 쫄깃했고 아키라정식도 국물이 시원하고 면도 탱글했어요. 막국수는 기대 안하고 시켰는데 의외로 고소하고 좋았습니다. 가격이 좀 나가는 편이지만 양도 많고 이 정도 퀄이라면 오히려 저렴하다 느껴질 정도로 만족스러웠던 식사였습니다.
아키라,완두,5.0,맛있고 양도 많아요 짱👍
아키라,J,4.0,
아키라,ㄹㄹ,5.0,정말 맛있습니다. 참고로 웨이팅이 엄청 길고 주차공간이 매우 협소해서 차 가지고 오시는건 비추천합니다.
아키라,애깅이,5.0,
아키라,낭만돌쇠,1.0,한참을 기다리다가 그냥 나옴. 2명이 갔는데 2명자리가 없다고 3명 4명을 먼저 드려보넴. 어이가 없어서 짜증나서 않먹고말지 다시는 가나봐라
아키라,xvbaszxv93,5.0,우동 면이 너무 쫄깃해서 놀랐어요 맛있어요~!
아키라,징징이,4.0,우동면이 쫄깃하고 첨먹어본 면이였음!! 나쁘지않았음!!
아키라,진,3.0,면과 앗은 좋으나 청결도가 떨어짐
아키라,황혜진,5.0,우동 쫄깃쫄깃 존맛! 돈까스도 꽉찬 느낌! 맛있어용
아키라,이대철,5.0,우동도 우동이지만 돈카츠 개미침… 인생 돈카츠임
아키라,김진,5.0,면이 떡처럼 쫄깃해서 신기함. 가격도 비싸지 않고 양 많아서 배터짐 ㅋㅋ
아키라,떼잉,4.0,전체적으로 반찬의 간이 너무 쎔. 밥에도 후리가케가 뿌려져있어서 밥이랑 간을 맞출 수도 없고 샐러드도 간이 되어있음. 우동 면은 확실히 탱글하고 맛있는데 다른 것들은 짜서 먹기 힘듦. 정식은 비추천.. 우동만 단품 먹는건 괜찮을듯.
아키라,봄봄,5.0,울산에 누군가 찾아와서 우동을 묻는다면 아키라
아키라,한효재,3.0,
