place_id,user_id,score,comment
외식명가 삼산정,이성호,1.0,8시15분쯤 여기에 식사하러 방문하니 밖에 영업시간 22:00시간 이라고 해서시간이 되겠구나  싶어 다시한번 식사 가능한지 물어보니 여유있게 드시면 된다고 안내해주셔서음식을 시키니 8시40분쯤 직원들이 마감한다고정리를 하면서 청소를 시작하니 마음이급해서 빨리먹어야 겠다는 생각으로 먹고 나왔습니다음식은 매번방문했던곳이라 먹을만 했는데서비스는 북구 한가위랑 많이 들리더군요다시는 방문할 생각없습니다
외식명가 삼산정,리뷰몰아쓰기,3.0,깔끔함맛 괜찮음회식이나 모임으론 좋음
외식명가 삼산정,하늘,5.0,같이간 친구도 좋아했어요 맛있네요
외식명가 삼산정,ws,1.0,
외식명가 삼산정,미식소녀,3.0,
외식명가 삼산정,미쯔,5.0,"점심특선도 좋고, 저녁에 회사 회식도 좋은 곳"
외식명가 삼산정,마리너,5.0,손님모시고 갔었는데 고기 질이 엄청 좋았습니다
외식명가 삼산정,꽃바람,3.0,식사하러 갔는데 맞있었다  된장을 올렸는데숫이 날려서 불이꺼젔네국물은 뜻뜻한것이 좋은데잘 먹을려다  못먹고 왔네가격이 너무비싸서 자주는 못갈듯 하네바글바글 끌여서 나오면 더더욱 좋은데~~~
외식명가 삼산정,Eomdo,2.0,"가격에 비해 서비스 별로, 맛 별로. 무려 « fine dining »이라는 슬로건을 여기저기 적어 놓았던데 파인 다이닝이 전혀 아닙니다...인테리어는 굉장히 화려하고 내부는 쾌적함. 맛보다 인테리어를 중시하는 사람들은 좋아할 듯한 식당입니다. 주차장은 자리는 많은데 각 칸이 좁아서 대형세단 같은 경우 꽤 주차하기 까다롭습니다."
외식명가 삼산정,깜짝맘,4.0,
외식명가 삼산정,코그모공쥬,5.0,친절하고 맛 좋았음. 전화예약으로 룸 원했으나 없다하여 그럼 홀 주셔도 된다 했더니 리셉션에서 '홀 자리 중에 조용한 곳으로 잡아둘게요.' 함. 퍼펙트. 외식 갈비집에서 기대하는 바를 모두 채움.
외식명가 삼산정,LH극혐,5.0,
외식명가 삼산정,',3.0,그저그랬어요 주차편해서 단체모임하긴 좋아요
외식명가 삼산정,미서니,5.0,주말에는 단체빼고는 도시락주문 안된다니 참고하세요.평일 직장에서 먹어봤는데 너무 맛있어서 주말에 가족들과 함께 집에서 먹을려고 도시락주문을 전화문의 했더니  주말에는 단체빼고는 도시락주문 안된다고 하네요. ㅠㅠ. 미리미리 일찍 몇일전에 주문해도 안된다고해요. 참고하세요.
외식명가 삼산정,후니,5.0,친절하셔서 좋았어요 고기도 맛나고 잘먹엇어요
외식명가 삼산정,핵주먹,5.0,친절 위생 맛 짱!분위기도 너무 좋고 점심에 가서 런치로 먹었더니 가격도 넘 좋아요.. 파스타에 스테이크보다 냉면에 갈비.. 아시쥬? 식사로 냉면 선택했는데 냉면도 장난아님! 다음에 또 방문할게요!
외식명가 삼산정,현정♪,5.0,늘 잘먹고 옵니다
외식명가 삼산정,움퐈움퐈,1.0,음식도 깔끔하고 서빙하시는 직원분들도 친절합니다만1층에서 전화받고 손님 안내하는 직원 태도나 말투가 아주 개판이고 가관이네요손님 말 끈어먹는건 기본이고 점심때 사람들 몰려서 바쁜건 알겠는데 항상 인상쓰고 있고 말투도 매우 거칩니다.심지어 연세 많으신분 손님들 열체크나 큐알코드 잘 못하고 있으면 얼마나 짜증섞인 말투로 응대하는지1층 여자 직원 교육좀 제발 시키세요
외식명가 삼산정,오호아하,5.0,완벽~~~
외식명가 삼산정,식탐쟁이,5.0,직원분친절하고밑반찬깔끔하고 고기도 맛잇어요가족끼리 외식하기 너무좋은곳입니다강츄합니다
외식명가 삼산정,태평성대~!,5.0,여기는 동일 업소에 비해 직원들이 친절해서 넘 좋아요..미안할정도로 ...연령층도 젊어서 부탁드릴때 부담이 적어요..음식도 맛있구요..
외식명가 삼산정,김해인 leo,5.0,
