place_id,user_id,score,comment
육일횟집,오잉또잉,5.0,물회 맛있어요주님 노래들으면서 식사가능ㅎㅎ
육일횟집,김종승,5.0,"잔잔한 음악(찬송, ccm)이 흐르고,  바다가 보이는 곳에 위치해, 분위기도 좋고, 맛도 좋습니다. 추천합니다."
육일횟집,징징이,3.0,그냥 쏘쏘했던 물회집ㅎㅎ
육일횟집,울산 핫똑,1.0,코시국에 잘못 배달해 남에 테이블에서 침 다튄 물회로 바꾼다는거 새걸로 달라하니 잠깐 가져갔다가 새건지 헌건지 모를 물회로 갔다주네요직원 교육이 안됬거 같아요뭐 죄송하다는 사과도 못받았고 옆테이블엔 이거 제가 가져다 드린거 아니라고 변명하고
육일횟집,김유진,5.0,재방문의사 백만개에요! 종업원분도 정말 친절하시고 음식들도 배도 터질거같은데 끊을 수 없는 맛이었습니당  특히 두툼한 회랑 물회랑 덮밥이랑 얼~~~큰한 매운탕까지! 또 갈래요!!!!!!!!
육일횟집,수수수,5.0,
육일횟집,wooo,4.0,"육일물회(회+해산물), 일반 회덮밥 좋은 조합. 물회에 밥을 말면 더 맛있어진다. 미역국 맛집. 브레이크 타임 오후3시~4시30분"
육일횟집,맛없으면 리뷰,1.0,불친절의 끝 반찬 툭툭 놓고 귀찮다는 티 팍팍 내면서 인상 팍쓰고 돌아다님 음식도 이제 별로임 예전에는 맛있어서 몇 번 갔었는데 이제 다시는 안 갈 집
육일횟집,슙이,3.0,양 많고 맛은 있지만 조금 간이 쎄긴 하네욤!
육일횟집,현지인,1.0,장사 안해요 ㅠㅠ
육일횟집,오레오오,5.0,재방문의사 있어요
육일횟집,2021,1.0,비싸고 맵고 짜다인당 2만원 우럭매운탕 맛과 비주얼에 충격받았어요. 스끼는 거의 없고요
육일횟집,김정욱,4.0,물회 좋아하는 마눌님 모시고 다녀왔음. 두루 다녀본 경험상 특이할 갓 없지만 깔끔하고 과하지 않은 단맛으로 합격.
육일횟집,권혁부,3.0,
