place_id,user_id,score,comment
정안정 본점,솔직한 후기,4.0,존맛까진 아니지만 맛있는 갈비찜!
정안정 본점,李 秉 吉 甲辰生,1.0,아내가 친구와 갔다가 해파리 냉체 미역국먹고 복통이 발생 젓갈냄새가 심하게 나서 2~3번 먹고 먹지 않았다고 함
정안정 본점,simple,4.0,맛은 존맛까진 아니지만 무난하게 맛있음소갈비찜 고기 질기지 않거 부드러웠음주차공간 넓은 게 최대 만족포인트
정안정 본점,JUN,5.0,맛있어요.직원분들도 친절해서 좋았습니다.포장도 해왔는데 깔끔하네요.
정안정 본점,솔직하게평가한다,5.0,직원분들 친절합니다! 소갈비찜 양이 적은듯 보였으나 두명 먹기에 충분하네요~~~ ㅎㅎㅎ 사리는 따로 없으니 미리 추가 시켜서 먹는 게 좋을 것 같아요! 밑반찬으로 나오는 잡채와 단호박튀김 뜨끈해서 진짜 대접 받는 기분으로 밥 먹는 느낌이 들었어요! 택배도 되는 것 같아서 연말에 가족들 모일 때 한번 시켜 먹으려구요!! ㅋㅋㅋ
정안정 본점,맛있으면짖는헬리콥터개,3.0,소갈비찜 시켰는데 기본으로 들어가는 사리가 별로 없는게 아쉽네요. 고기랑 같이 건져먹는거 좋아하는 분들은 사리를 잘 시키셔야할 듯!
정안정 본점,이재웅,5.0,
정안정 본점,스톤,5.0,친절하고 저렴하고 맛있어요매운돼지갈비찜 순한맛 주문했는데맵찔이도 싹싹 긁어먹을수 있는정도.순한맛이지만 양념이 진해서 깊은맛!
정안정 본점,KH,5.0,맛있어요. 반찬도 잘 나오는편
정안정 본점,조경주,4.0,
정안정 본점,,4.0,맛있어요
정안정 본점,💩,5.0,반찬도 왕잘나오고 갈비찜도 찐하고 맛있습니다!
정안정 본점,냠냠,4.0,개안아요 성인남 2 32000 소갈비찜  중간맛 고기양이 살짝 적은점 양념이 적당한점 개인적으로 위치가 먼점 밑반찬이맛있는점으로 3.5점
정안정 본점,바디걸즈,3.0,
