place_id,user_id,score,comment
정칼국수,귀신이고칼로리,5.0,집 근처에 있었으면 좋겠다ㅠ
정칼국수,가나다라마바사,3.0,가볍게 갈만해요
정칼국수,횬,2.0,매운 칼국수도 옛날 맛이 아니고파전도 눅눅한데 짜기까지 하고 직원은 불친절하고오늘 날도 더운데 에어컨도 안틀어주시더라구요왜 네ㅇㅇ 후기에 에어컨 안틀어준다는 후기 있었는지 알것 같아요 오늘 28도였는데 먹다가 죽는줄
정칼국수,애깅이,5.0,
정칼국수,음,2.0,옛날이랑 틀리네요. 바지락이 옛날에 비해서 확연히 줄었음. 만두는 여전히 맛남. 이제 칼국수는 따로 생각나서는 안올듯 가격 올리는건 이해되도 맛이 바뀌는건 용서 안됨 이젠 안녕
정칼국수,손오반,4.0,
정칼국수,념념념념..,5.0,매운칼국수 존맛 밥까지 줘서 더맛있음만두도 맛있다던데 나중에 꼭 먹을거임
정칼국수,ㆍ,1.0,아니.맛은좋은데.일하는 이모들 왤케 싸가지가없는지..음식맛 다까먹는다.
정칼국수,mus,4.0,바지락은 별로고 들깨가 맛있으요
정칼국수,봄봄,3.0,면이 적다. 작은 밥을 줍니다. 매운 칼국수 먹을만함. 야채 엄청 많음.
정칼국수,맛돼맛,4.0,맛은 좋았는데 뭔가조금 아쉬운느낌?
정칼국수,욜로,3.0,울산 칼국수 검색하면 여기가 젤 많이 뜨길래 기대했는데 기대에는 못 미치는...그냥 평범. 조개알맹이도 작구. 나쁘진 않았금
정칼국수,5749474,1.0,직원교육할때 소리 좀 안들리게 할수없나요? 앉아있는게 민망할정도로 직원한테 면박주는 소리가 크게 들림
정칼국수,맛집좋아,4.0,뭐 설명이 필요할까. 울산에 이만한 칼국수집 없다
정칼국수,돌자반,5.0,
정칼국수,ㅇㅅㅇ,3.0,
정칼국수,큰별,4.0,이 칼국수집 맛있다..
정칼국수,얼리버드,1.0,"식당에 계신 분들은 다들 매우 친절했으나 주차요원 태도가 매우 최악이었음 식사 잘 하고 나왔는데 기분 버렸네요,;; 가게 옆에 주차장이라고 표지판 세워뒀는데 다짜고짜 어디가냐며 주차 여기다 왜 했냐며 소리를 지르시길래 깜짝 놀랬습니다. 너무 화가나서 언성 같이 높였네요"
정칼국수,sang-ae,3.0,"장소가 넓음일하시는 분이.화장실 다녀오시고 손안씻고 나갔음맛은 평범하다고 생각, 바지락은 모래씹힘"
정칼국수,아 맛집 가고싶다.,4.0,"맛있네요 좌석이 편합니다. 방으로 구역이 나누어 있어 조용하고 단,양이 작아요 여성분들 오셔서 드시면 분이기도 좋고 괜찮을거 같습니다. 남자분은 양이 넘 적습니다."
정칼국수,오전필,5.0,
정칼국수,도다리,1.0,글쎄 저같은 경우는 바지락 칼국수에 바지락은 다 어디갔는지 껍데기만 잔뜩에 모래만 엄청나오고 먹기 힘들정도던데요..; 의자도 낡은 패브릭이라 찝찝..... 재방문의사 별로없어요 (재방문 어쩔수없이 했는데 의자 앉는 부분 레자로 바뀐거같더군요 역시나 바지락은 모래투성이에 콩국수도 아무 맛이없네요..ㅋ)
정칼국수,문영훈,4.0,깔끔하고 맛있음. 김치맛도 좋아요.^^
정칼국수,9구르미,3.0,들깨칼국수. 바지락칼국수. 만두.
정칼국수,Youb,3.0,바지락칼국수 해장에 좋은듯 ㅋ만두가 일품~~
정칼국수,포동포동,5.0,
