place_id,user_id,score,comment
태번159,그레이,4.0,"아이스크림, 감자튀김 맛있었어요. 넓고 주차도 편했고요. 사장님 친절하셨어요 :)패션후르츠는 니맛내맛도 아니라 아쉽카페 크기에 비해 화장실은 작아서 아쉽근처에 있다면 편하게 방문할만한 카페."
태번159,들꽃 향기,5.0,울산북구쪽에 볼일이 있을때마다 꼭 들르는 곳이에요.커피도 맛있고 빵도 맛있어요. 회원할인에다 음료는테이크아웃시 더블할인까지 되네요.
태번159,고앵이,5.0,빵 맛있어요! 최애카페넓고 채광이 좋아서 셀카 잘찍혀요 ㅎ
태번159,_,3.0,넓고쾌적빵도마싯
태번159,진양,1.0,자주가는데..간만에 갔더니알바생들 손님응대 태도 무슨일이에요?기분이 많이 상했어요ㅠㅠ사장님 이글 보시면 개선 하셔야 할듯...
태번159,지니,1.0,카운터 보는 여직원 말투가 손님응대할 자세가 아니네요..바로 나왔어요친절까진 바라지는 않지만 기본 응대하는 자세부터 배워야 할듯요
태번159,쿠이이귁,4.0,빵 맛있어요! 잇힝
태번159,재밌니?,5.0,맛있는 빵집
태번159,구파발왕언니,4.0,스테디 커피에서 맛없는 빵을 먹어서 그런지 여기 빵은 생각보다 맛있었어요. 공간이 넓어서 아줌마들 모임 하기에도 딱인듯해요.
태번159,맛집좋긔!,4.0,넓고  자리도 넉넉하니  좋네요  개방감도  좋구요 ㅎ
태번159,포키,5.0,"부위기좋고 커피,  빵도 모두 맛있어요특히 사장님 짱!  짱!  친절~~^^"
