place_id,user_id,score,comment
태양칼국수,성네,5.0,울산에서 제일 맛집인거같해요
태양칼국수,조성보,2.0,학생 정도 돼보이는 알바생 되게 불친절해요
태양칼국수,진팔이,5.0,진정한 레전드 강추 입니다 후회 없내요
태양칼국수,이지현,5.0,JMT
태양칼국수,용입니다,5.0,두번가세요 세번가세요 진심으로
태양칼국수,Youb,3.0,괜찮아요 근데 ㅎ 궁금한건 그리 기다려 먹을만한 집인가….불친절을 감수해야할 정도의 집인가..ㅎㅎ 였음 ^
태양칼국수,솔직히남김,5.0,"여기 고추튀김,해물칼국수,돈까스 맛집임연령 상관없이 누구나 만족하며 먹고 기분좋게 식사마무리가능함화장실도청결함 화장실내에 가그린배치돼있는데종이컵이따로구비안돼서 컵갖고화장실들어가야함"
태양칼국수,오흥석,4.0,양호
태양칼국수,맛집다내꺼,4.0,
태양칼국수,우디닌,4.0,
태양칼국수,:),1.0,"대기실은 관리 안 하시나요? 바닥은 꽝꽝 얼어서 지나가는 사람마다 넘어질뻔 하고  번호표는 없는데 왜 적어 놓으시는 건가요? ""혹시 5시부터 들어 갈 수 있나요? 하니깐 아 네 ㅋㅋㅋㅋㅋㅋㅋㅋ "" 이런 식으로 말하시고 기분이 좀 그렇네요 항상 여기만 왔는데 이제는 다신 안 올 거 같습니다 음식 먹으러 왔는데 기분만 상해서 가네요해감은 제대로 안 되서 이물질 씹혀요"
태양칼국수,무명,4.0,고추튀김 진짜 최고임. 근데 동죽 해감이 너무 안돼서 외상후스트레스장애 생겼어요. 해물칼국수는 어디가서도 못 먹을듯 ㅠㅠ
태양칼국수,뫙뫙,5.0,해물칼국수 맛있어요!30분 정도는 기꺼이 기다릴 수 있는 맛.주말보다는 평일 점심때 가면 좋은 듯
태양칼국수,갈대,1.0,예전에 맛나게 먹은듯 하여 오늘 직접 찾아가 해물칼국수와 고추튀김을 포장주문해서 집에 왔습니다. 근데 고추튀김은 튀긴지 3일은 된듯한 비주얼에 해물은 동죽이 제대로 해감도 안된듯ᆢ초심은 어디갔나요?
태양칼국수,밥순이,1.0,
태양칼국수,쭌,5.0,맛 양 좋아요. 다만 대기시간이 오래걸립니다. 음식 나오는시간도 15분은 걸리고요
태양칼국수,주 ..,4.0,해물칼국수 1인분에들어있는.조개의양 입니다싱싱함은 기본담에 또올겁니다
태양칼국수,鄭,4.0,이집 맛있어짐
태양칼국수,현경💋,3.0,해물칼국수랑 튀김은 괜찮은데...직원이 계산실수를 ㅠ500원 더 냈음. 500원 받으러 다시 차돌려 가는것도 좀 그래서  걍 옴.
태양칼국수,^^,1.0,"이집이 맛집이란 정보를 득하고..30분대기후 ~ 주문하고 20분후 주문한 매운칼국수, 해물칼국수,고추튀김 나와 먹고난 솔직한 후기 올립니다.1. 매운칼국수   솔직히 무슨맛있지 아리까리...   첫맛은 후추맛이 매우강하고..   끝에 산초맛이 느껴지는데...   매운맛은 또 얼마나 강한지..   별로 기분좋은 맛은 아님..실망 2.얼큰칼국수   국물맛은 이것또한 후추맛이   매우강함.(별루~~)   동죽은 싱싱하고 마니 넣어줌.   여하튼 이제까지 먹어본 칼국수   맛과 동털어진 맛이랄까..3. 고추튀김  갓 튀겨나와 뜨겁게 먹는 느낌조음.  안에 들어 있는 고기맛은 싱거움.  찍어먹는 소스또한 싱거움.4. 샐러드 맛있음.(특히감자)     땅콩, 완두콩 맛있음     김치 먹을만하( 이집은 사이드     음식이 더 맛있는거 같음)※ 두번다신 내돈 내고 먹고 싶지 않음.."
태양칼국수,RIT,4.0,"해물칼국수, 고추튀김 맛있음 매운칼국수 보통 돈까스 괜찬음"
태양칼국수,맛따녀,5.0,찐맛집 ㅠㅠㅠㅠ
태양칼국수,김용길,4.0,좋아요!  주차 공간 없고  대기시간 기다림이 필요해요.
태양칼국수,천지영,1.0,
태양칼국수,오전필,5.0,
태양칼국수,강장호,5.0,깔끔하게 맛있게  음식이 나와요
