place_id,user_id,score,comment
트레비어 브루펍,😍,5.0,분위기가 매우 좋아요 ㅋㅋ
트레비어 브루펍,김의식,5.0,
트레비어 브루펍,까탈미식,4.0,다양한 맥주들을 시음해 볼 수 있어서 좋다학센과 카프레제 안주는 가격은 좀 있었지만 맛이 훌륭했다
트레비어 브루펍,ktszi,5.0,맛 없는게 없었습니다 다 맛있었어요~
트레비어 브루펍,꽁냥,3.0,테이블에 벨이 없네요 불러도 직원이 못듣고 안와요. 실외가 춥다고 아무리 얘길해도 자리는 안바꿔줘요. 야외에 테이블을 놓았으면 서비스에 신경써야겠죠? 분위기에 딱 한번 애써 가볼만한 정도.
트레비어 브루펍,소확행,5.0,"맥주도 맛나고, 안주도 맛나고, 시설도 최고, 다양한 연령층이 모두 즐길수 있습닏ㅏ^^"
트레비어 브루펍,그레이,4.0,부모님 모시고 가기 좋았어요.부모님만 가셨으면 트레비어 시스템에 대해 잘 모르셔서 이용하기 힘드셨을 것 같습니다. 제가 맥주를 따르고 키오스크로 주문할때마다 뒤에서 여럿 보시고는 따라서 하시더라고요. 테이블마다 기본적인 설명 책자를 비치하면 더 좋을 것 같습니다. 학센은 생각보다 가격이 많이 나갔지만 어쩌다 한 번 색다른거 먹기로는 괜찮은것 같아요. 맥주는 언제나 맛있습니다.
트레비어 브루펍,HEE,1.0,참  무슨 글을 써야될지 ㅠ안에는 자리없다하여 잠시안다가밖으로 나왔는데밖에 물이 분사되면서 뿌려지더라구요제지인이 안쪽에 다시 자리가 있으니 앉자마자점장인지 아줌마인진앉지마세요 소리를 지르며 여기는 웨이팅 자리라고하면서 그러니깐 밖에 나가면 덥다고햏잖아요!!라고    ㅠ 그러나 설상 밖에나가니 물이 뿌려진다는 말을 안했더군요목이아프도록 설명했는데도 자기들 입장만애기하는ㅠ자리가나서앉았을 뿐이고 웨이팅 이란 말 못들었고  소리지르면서 고객들에게  그럴필요는 없다고 생각합니다이건 갑질이 아닙니다저도 황당했으니깐요  그냥 안가면되지 그런생각이지만트레비만의시스템을  잘 설명해주시고 한번 자리옮기면 다른 자리 못간다는 말 대박입니다발달린 사람인데 어 찌  한번밖에 이동이안되나요?소리안질렀스면 좋겠습니다경기하겠어요마음상처 많이 입었습니다
트레비어 브루펍,Soyeon,5.0,울산에 양조장이 있다고해서 긴가민가하고 방문했는데 왠걸요 100점만점에 200점 주고 싶어요미국에 있는 동네 양조장들 다 둘러봤지만 견줘도 뒤쳐지지않고 라거/에일 둘다 빠지지 않게 맛있어요. 음식 메뉴도 훌륭하구요. 특히 슈바인 학센 추천드립니다. 외부에있는 오븐으로 오랜시간 굽는 듯 한데 촉촉하고 겉은 바삭하니 너무 맛있어요!!근처에있어서 너무너무 자랑스럽고 행복하게 하는 장소입니다! 꼭 가보세요!!광고 리뷰아니구요 팬으로 남기는 리뷰입니다 !
트레비어 브루펍,nerf this,5.0,접근성  꽝!! 안주 그저그럼!! 근데 평점 5점드림이건 오직 맥주맛임처용ipa추천드립니다
트레비어 브루펍,gouru,5.0,"안주도 맛있고, 맥주는 정말 맛있어요"
트레비어 브루펍,김경한,5.0,양조사가 맛있고 맥주가 친절해요!!!!@
트레비어 브루펍,Anㅇㅅㅇ,5.0,피자 존맛
트레비어 브루펍,천만수,4.0,수제맥주good~
