place_id,user_id,score,comment
피자삼촌,모리안,3.0,애플시나몬은 이름 치고 사과맛이 별로 안 남 ㅜ 차라리 고르곤졸라 먹을걸 디아볼라 많이 시켜먹는 듯..
피자삼촌,슈룽슈룽,4.0,"맛있습니다.특히 샐러드에 들어간 견과류가 아주 바삭해서식품 관리가 잘 되고 있다는 느낌 들었어요.다만, 스테인레스 앞접시는 별로였습니다."
피자삼촌,큐박,3.0,피자랑 파스타 먼 주문한지 오분도 안되서 나와요!맛은 그냥저냥 이지만 가격대비… 별로입니다테이블마다 옆에 바로 식기류 챙길 수 있는거는 쳔해서 좋네요
피자삼촌,정도영,5.0,가격은 좀 높은 편이지만 맛은 좋았습니다.서빙하시는 분 친절했구요.인테리어도 좋았습니다.
피자삼촌,genie,2.0,1년전에 가보고 최근에는 안가봤네요장사 잘되셔서그렇게 친절하지도그렇게 싸지도 않아요맛은 괜찮았어요주말에는장사 마감을 일찍 했던거 같아요
피자삼촌,평점,5.0,왠만하면 리플 잘 적지않는데 진짜 마싯게 먹었습니다 안심크림스파게티 별5개 기본으로 나오는 샐러드 진짜 최고 피자도 맛있엇음 주말에 부산에서 드라이브와사 기분좋게 맛잇게 먹고 갑니다
피자삼촌,p,4.0,안심 크림소스 스파게티 맛있어요
피자삼촌,호호호,2.0,맛은 중 분위기는 중상서비스는 하.  진솔한후기전반적으로 좋았습니다만 제일 중요한 사장님서비스가 너무 사악합니다 직원들은 괜찮았지만테이블도 많고 나갈때까지 자리가 몇군대 비워져있었지만굉장히 짜증섞인 말투로 입구에서 기다리세요이자리 치우면 앉으라며넓은 곳에서 인상찡그리고 말씀하시더라구요저희는 못알아듣고 다른곳에 앉으라는줄 알고 빈자리가 너무 많았기에하지만 충분히 이해할수있지만기분좋게 식사하러 오신 손님께그렇게 인상파로 사장이되신분이 서비스를 하신다면...먹는 내내 언찮았습니다그렇다고 가성비가 좋지도 않고냉방시설도 그렇게 좋지도 않고너무 사소한 부분이지만 누군가에게 중요할수도 있다는걸 아셨으면 합니다 그사장님께서는
피자삼촌,홍승구 Paul,5.0,
피자삼촌,Youb,5.0,"파스타, 화덕피자이태리 밀가루로 만든 이태리피자맛이 최강!!!가게도 이쁘고 후회도 없고^^"
