place_id,user_id,score,comment
한가위,Traveler,5.0,고기도 맛있었는데 너무 친절한 직원분들 덕에 더 기분 좋게 식사하고 왔네요. 주차타워가 있어서 비도 안맞고 좋았어요.
한가위,심종군,4.0,
한가위,o미소천사o,5.0,"가족,친지,연인,친구들의모임으로 최상의 장소입니다맛과분위기 또한 최고입니다"
한가위,윤병규,5.0,개업초기 한번가고 별로라서 안갔는데 이번에 다시가니 맛도있고 직원분들 친절함.다시가고 싶음
한가위,허성만,3.0,
한가위,aeryascxczv1sd,5.0,친절하셔서 먹을 때 기분 나쁘지 않게 맛있게 먹고 갈 수 있었어요! 맛있게 잘 먹구 가요 다음에 또 올게요~
한가위,나무미,5.0,"맛, 서비스, 위생, 양 모두 만족스러웠습니다."
한가위,상진.진규,2.0,대부분 수입이라서ᆢ건물만 크면 좋은지?채소양념 밍밍하고ᆢ내면도 무슨 의미의 맛인지도ᆢ고기도 수입쇠고기 치고는 양대비 가격 비쌈사람들이 많으니 당연 좋은줄 알고ᆢ가보면 그냥 그런 식당.가까운곳의 식당이 더 좋음.
한가위,😙,1.0,
한가위,역마살,3.0,곁들임 채소들이 다 니맛도 내맛도 아닌느낌? 등심은 별로고 갈비살이 맛있었네요
한가위,차유준,5.0,
한가위,메로나,5.0,
한가위,요술공주,4.0,
한가위,차상태,4.0,
한가위,나를 따르라,4.0,강추까진 아니고 먹을만함
한가위,근돼미식가,5.0,먹고 나면 내가 돈번거같은 느낌아주만족점심튿선으로소고기먹으면 밑반찬도 맛잇거 냉면도 맛잇고 된장찌개도 맛잇고 잘목고나서마무리로 아메리카노 까지 무료
한가위,깜짝맘,5.0,
한가위,은빈,5.0,가족들과 함께 맛있게 먹고갑니다~~
한가위,v.v,4.0,음식 깔끔하고 맛있어요
한가위,천관운산,5.0,
한가위,김지연,2.0,"오늘 어머니 모시고 첨갔었는데ㅡ고기는 대체적으로 괜찮았어요~~그런데‥고기랑 나오는 겉절이샐러드ㆍ백김치ㆍ모두다새콤달콤‥다 비슷한맛!그리고 룸 의자가뒤가 뻥뚫려있어서‥뭔가불편한느낌,,"
한가위,오호아하,5.0,
한가위,불친절탐지로봇,5.0,최고예여 일주일에 두번 방문함 ⸝⸝ʚ̴̶̷̆ ̯ʚ̴̶̷̆⸝⸝. 갈비살 보다는 뼈있는 왕갈비가 양은 적긴하지만 더 맛있어요!ㅜㅜ  된찌도 돈맛탱이고 냉면은 그저그런데 위에서 커피까지 만들어주니 ㅋㅋㅋㅋ 점심때 가면 진짜 혜자
한가위,chuldo,4.0,가격 빼고 다 좋음
한가위,주 ..,5.0,"가격좋구. 맛좋구식당또한  청결,   직원들도 친절하구다 좋습니다"
한가위,띠링,5.0,또생각남 ㅠㅠㅠ
한가위,ㅡ,3.0,반찬은 맛있으나 고기는 평범한맛 사먹는게 더 맛있음2인분 양이 1인 양이라 양적음
한가위,^^,4.0,"정말 맛 있었습니다직원들이 친절해서 좋았고,분위기가 끝~내 주더군요~"
한가위,sang-ae,5.0,친절 쾌적 맛있음대접받는.느낌 ..고급스러움 반찬 재사용 안한
한가위,맛집좋긔!,4.0,시설좋고 맛있고  무엇보다도 회전률이 빠름
한가위,재민맘-김혜원,5.0,맛있죠.. 넓고
한가위,마동탁,3.0,
한가위,빵슈기♡,2.0,한우 등심.갈비살.양념등등 종류대로 먹엇어요.아이랑 시댁식구들 울산오셔서 갔지만 규모만큼 좋지않앗네요.고기그냥 평범하고 상차림 보기엔정갈하나 맛은 쏘쏘..바쁜일욜저녁에 웨이팅해가며 들어갓으나 채소상태 별로 였고 겉절이역시.... 수요가많을텐데 왜 그런지 이해가 안갔어요.밥은 너무 푸석해서 수분도 없엇고.그나마 사람많은거에비해 테이블은 널널하게 배정해서 정신없이ㅣ먹은건 아니라 다행이엇고 .심지어 후식 커피머신도 고장이라 아이스티 대충먹고 나왓네요.명성이나 규모에 비해 다소 실망.재방의사 없음.
