place_id,user_id,score,comment
함양집 종가점,맛집부수기,5.0,한우물회 꼭 드세요
함양집 종가점,아프리카 Mania,3.0,
함양집 종가점,숙♥,1.0,ㅜ
함양집 종가점,😍hwang,1.0,가격대비 별로 ᆢ그냥 국밥 먹을걸 ㅠㅠ
함양집 종가점,-,5.0,
함양집 종가점,Hye yeong,1.0,우선 가격이 너무 비싸고양도 가격에 비해 작고고기가 들어간 비빔밥맛이 이리 맛없는줄 첨 알았네요파전 또한 돈은 비싸고 양은 적고두번은 가고 싶지 않고다른 날 갔던 지인들도 한결같이.맛없다고 하네요
함양집 종가점,😁,1.0,음식보다 서비스가 개판한우물회에 곁들여 나오는 1인에 소면 한가닥인데 더 달라고 했더니 확인해봐야한다 그러고 끝까지 안옴사장이나 직원 마인드 하나를 보면 다 안다
함양집 종가점,이유호,4.0,
함양집 종가점,주현옥,4.0,식사도 맛있었고 식사후 2층카페에가서  차마시고 대화하기에  넓고 분위기도 참좋았어요~
함양집 종가점,김종근,5.0,"오색화반 한우,전복 물회 맛 최고 입니다."
함양집 종가점,담,5.0,"골고루 시켰고 다 맛있었어요~ 너무 골고루시켰더니 밥류는 오히려 없었는데, 한우물회에 딸려나오는 밥과 소면은 리필이라며 너무 친절하게도 알려주시고 챙겨주셔서 감사합니다 그래서 리뷰쓰러왔어요 ㅋㅋㅋㅋ"
함양집 종가점,구파발왕언니,4.0,값비싼 가격이 아쉽지만 맛이 좋아요.
함양집 종가점,모모,4.0,가격대가 조금 있는편이지만 깔끔하게 먹기 좋아요 맛있어요
함양집 종가점,주현,4.0,완전 맛집 사모님이 정말 친절하시고 여기서 먹으면 윗층 카페 할인도 되고 분위기도 좋아 가족끼리 먹기 좋은 거 같습니다.
함양집 종가점,은성아빠,1.0,이런 식당이 검색 순워에 들다니 이해가 안가네 차라리 삼산동 맥도널드 뒷편 함양집이 더 친절하고 맛이 더 좋음
