place_id,user_id,score,comment
함양집,서정희,4.0,항상 맛나게 먹어요
함양집,조이,3.0,
함양집,아침,4.0,ㅡ
함양집,양희진,3.0,반찬은 맛있는데 메인이 별로였어요 육회비빔밥은 밍숭맹숭 육회 양도 적고.. 불고기는 약간 차가웠어요 대신 친절하셔요.. 가격은 비싼데 맛 만족도가 너무 떨어짐
함양집,Dongmannnnn,5.0,함양집 (삼산동) 최고입니다.11/18(수) 오전 개소식 후  단체식사 하러 찾아뵙겠습니다.잘 부탁드립니다!!!
함양집,이승우,1.0,장점친절함탕국 맛있음단점육회물회 가장큰사이즈와 육회비빔밥 가장큰사이즈 먹었는데 양이 적다소문과 명성에 비하면 평범한 집인데 가격이 비싼편
함양집,정경식,2.0,"신정동본점, 달동, 경주에 분점있는 그 함양집이 아닙니다."
함양집,RIT,1.0,"가격 가지고 장난치는 업소, 메뉴판엔 전통울산비빔밥 1만, 전통육회비빔밥 1.2만, 전통육회비빔밥특 1.5만 3가지 있음나 : 울산비빔밥 3개주세요직원 : 고기를 익혀줄까요? 육회로 줄까요?나 : 익혀주세요다 먹고 계산하려니 전통(볶)3개 3.6만 나와있음1만짜리시켰다 하니 고기가 들어있는건 1.2만이라고함메뉴판에 울산비빔밥,육회비빔밥,육회특있음 당연히 익혀나오는건 울산비빔밥이라고 생각하지 그럴려면 직원이 물어볼때 고기익혀줄까, 육회줄까만 물어보고 고기없이 나오는건 왜 안물어보는데, 맛은 그럭저럭 괜찬음 하지만 장사수완이 더러워서 다시는 안갈 집"
함양집,나그네,4.0,비빔밥은 별2개탕국은 별5개그래서 중간인 3.5를 주고싶으나 4점!!진짜 탕국맛집!!!
함양집,J,3.0,가끔 육회 생각날 때 감 최근에 갔을 땐 겨울이라 그런지 음식이 좀 찼음 맛은 있음
함양집,솜콩,1.0,"별 한개도 아까움 ; 이거 먹으러 버스타고 왔다는게,, 특육회비빔밥 시켰는데 육회 안먹어봤나봐요 여기는;..얇게 8-9가닥 되보이는게 특이라고 나왔네요이렇게 돈아깝고 시간아까울수가,,,,,,다신 절대 안올꺼임"
함양집,고빼이,1.0,이런 데를 지역 맛집이라고 추천하다니. 울산은 맛집 불모지인 게 틀림없다. 11시 오픈인데 10분쯤 갔더니 11시부터 오픈이라고 손님 맞기 싫은 티 내고 불친절했음. 두명 똑같이 육회 물회 시켰는데 육회의 양이 눈에 보일 정도로 확연히 달랐고 만오천원에 이런 퀄리티라니 차라리 맞은편에 있는 맥도날드 가는게 나을 듯. 어떻게 이런 곳이 맛집이라고 불릴 수 있는지 심히 의문스럽다. 양도 작다. 냉면 그릇보다 훨씬 작은 그릇에 준다.
함양집,권태국,1.0,"특육회비빔밥 15,000원육회는 너무 조금,맛은별로...맛집이라고 갔는데 실망만 가득!!"
함양집,으악,1.0,진짜 맛없네요 돈아까워요
