place_id,user_id,score,comment
해월당 울산본점,공룡,3.0,언양에서 밥먹고 카페찾다가 도착한곳주차장이 엄청넓고 가게도 큼빵도엄청종류가많길래 와 맛있겠다하고 구경하다가 애플파이랑 몽블랑초코? 등등 고름 커피나 차에 어울릴만한 빵과 먹었음 빵이 그냥 전체적으로 동네빵집보다 못한맛..?  애플파이는진짜인생 최악 밖에던지고싶었음 쇼콜라클래식은  뭔 퍼석퍼석하고 단맛이거의없어서 잘못만들었나했음 어르신들많아서 그런가?건강빵임  플레이팅만 잘해놨고 하ㅜ  고로케나 찹쌀떡같은거도있는데 괜히 그거만 잘나가는게 아닌거같음 근데그건 음료랑은좀...안어울리는거아닌가 ( top5메뉴라고 앞에 있는데 그건 맛있긴함 근데 고로케하나당3천원....어딜가도먹을수있는 고로케빵임)3층까지있고 자리는 엄청 많아서 사람들이 아무리많아도 앉아서먹을수있다 근데  사람이 많아서  시끄러움 어르신들이 거의80퍼를 사용중음료는 평타 가격이 괜찮다  빵으로승부보는곳이라 그런듯함나중에 지나가다 커피랑 다른빵도 맛보러오긴할듯 크기가커서 압도됨 사진도 이쁘게찍을수있고 주변이 탁 트여서 이쁨
해월당 울산본점,별사탕,5.0,커피가 저렴하네요경치도 좋고
해월당 울산본점,크리스탈강,4.0,빵집과 커피가 있어 아주 좋구요주차공간 아주 넓고 좋습니다빵도 가격이 그리비싼편도 아니고 맛도좋아요커피가격도 착한편이네요
해월당 울산본점,.,5.0,어마어마하게 큼
해월당 울산본점,김봉관,4.0,
해월당 울산본점,영은(Young-eun),1.0,"딸기 치즈 브라우니였나, 거기서 털실인지 털인지 실인지 3~4cm의 길죽한 이물질 나옴. 오픈 주방이라 이해해 달라고 해서 환불받고 끝냄.오픈주방이니까 위생은 감안해야."
해월당 울산본점,와삽,5.0,
해월당 울산본점,Cindy,5.0,빵 늘 맛있고 풍경 예쁜 곳
해월당 울산본점,김용읍,1.0,일단  인테리어가 잘못 되어서(타일바닥) 소음이 엄청납니다.와이파이가  안  터집니다.
해월당 울산본점,&,5.0,팥빵 맛남
해월당 울산본점,●김 원호 ♡감사♡9'10일,5.0,
해월당 울산본점,이에엉,4.0,고로케 바삭하고 오늘 구운건지 다맛있네요풍경도 좋아요
해월당 울산본점,둥실,2.0,베이커리카페인데 고른 빵들 대부분 별로였어요..
해월당 울산본점,만성피로,4.0,"그냥 큰 빵집인데 정체성이..기대하고 갔는데요 늦게 가니 많이 없긴한데.. 메뉴도 어느 빵집이나 다 있는듯한 메뉴..좀 어수선하기도하고..낮은 빵집, 저녁은 카페로 가는 게  맞는듯.빵순이인 나한테는 아닌듯ㅠㅜ.. 블로거들 믿지마요"
해월당 울산본점,동남,4.0,풍경이 여유롭고 화장실이 깨끗/ 빵의 종류가 많아 흥미로움. / 실내 관리 잘되고 있으나 1층 테라스로 방역수칙 어기는 사람들이 열 체크 없이 바로 방문
해월당 울산본점,이송실,2.0,주말 저녁 마감까지 두시간이 남앗는데 빵이 없네요. 카페라고 생각하고 와야할듯 합니다
해월당 울산본점,SH,4.0,논과 산뷰가 좋고 빵맛도 괜찮았네요. 평일이었음에도 사람 너무 많고 마스크벗고 얘기하는게 꺼림칙..안 드실땐 마스크 착용해 주세요..
해월당 울산본점,손**,3.0,평일날 갔는데도 많이 시끄러워요
해월당 울산본점,난나,5.0,빵의 명인집 답게 정말맛나네요
해월당 울산본점,MJ❤,5.0,
해월당 울산본점,오전필,5.0,
해월당 울산본점,J-DRAGON,5.0,빵 맛있었어요..사람 덜 붐비는 평일. 비가 오는날 더 운치있는 곳인듯합니다
해월당 울산본점,길.,3.0,솔직히 빵맛은 그맛이그맛주말오후에갔는데 사람이 너무많아서 커피주문도안되고 빵만사서2층에서 먹었는데  이건좀아니다라는생각듬 주차장넓어서 괜찬은데 분위기는 아님주말 손님 생각해서 음료주문이 안될거같음 미리 주차하기전에 안된다고 말해줘야 올은거 아닌가함
해월당 울산본점,부산꼬북이,4.0,바쁜날 가서 너무 복잡해서 1점 뺐으나 친절 맛 주차 풍경 등 괜찮았음
해월당 울산본점,깜짝맘,5.0,
