place_id,user_id,score,comment
헤이메르,드대,2.0,베이커리 관리상태보고 기겁했어요.. 과일잼이 있는 빵종류위에 파리랑 초파리가 많이 꼬여서 다른 빵들에도 붙어있고.. 입맛 떨어졌어요.. 빵위에 비닐 하나만 덮어도 다를텐데 ㅜ 조금만 더 신경써주세요
헤이메르,zxovsdg752,5.0,뷰가 너무 이뻐요 사진 찍을때 이쁘게 나와서 좋네요
헤이메르,^^ㄲ ㅐㅂ ㅣ,3.0,
헤이메르,꼬미엄마,1.0,뷰 좋다기보단 그냥 고바위 언덕이라 놀람커피 너무 맛없음실내 인테리어 볼거없고 의자 더럽고 불편함괜히 가서 실망만 하고 옴
헤이메르,희야,5.0,뷰가 너무 좋아요 음료도 너무 맛있어요~
헤이메르,진현,3.0,높은곳에 있어 경치가 좋네요
헤이메르,먹짱지망생,4.0,뷰가 좋음 근데 베이커리류는 그닥
헤이메르,그레이,4.0,주변에 카페는 많이 생겼어도 이렇게 위에서 바다를 볼 수 있는 카페는 잘 없어요. 그만큼 올라가는 길이 가파르고 관광지 답게 가격은 비쌉니다. 경치값이라 생각하고 맛은 1도 기대 안했는데 아메리카노 진짜 고소하고 거북하지 않은 쓴맛에 놀랐습니다! 다음엔 펜션도 가보려고요
헤이메르,최명선,1.0,서생 등 주위에 카페가 많이 생기고 난후 경쟁력 잃음
헤이메르,준크의맛집뿌시기,5.0,
헤이메르,가인,2.0,뷰가좋아서 몇번갔지만 직원들 불친절함; 여행온 가족들 모시고 갔는데 그냥나옴. ㅜㅜ 불친절해서 어쩔수없이 나옴 또 가고싶지만 커피따르며 마스크까지 끼고서 웅얼거리며 수근거리는 직원. 또 계산하는분도 여러가지로 불친절했음.  그러나 뷰가 정말 멋짐 (리뷰잘안남기는데 첨 남겨봅니다.)
헤이메르,sunday,3.0,뷰도 좋고 커피는 괜찮아요!근데 강아지 동반되는줄 알고 왔는데 내부는 다 안된다하네요....아예 못들어감 참고하세요
헤이메르,CHAE,4.0,
헤이메르,김정수,5.0,뜨거운 아메리카노 + 에그타르트 조합 괜찮네요뷰는 울산 최고인듯올라오는 길이 좀 헷갈림^^
헤이메르,맛돼맛,3.0,
헤이메르,도호,1.0,뷰좋음 그게 끝임 고구마라떼 갠춘아메리카노 쏘쏘치즈케익 후 걍 생크림이랑 크림치즈 섞어둔맛 치즈의 그 꾸덕함을 생각햇는데 낚인기분 암튼 치즈케익은 퉤
헤이메르,.,4.0,
헤이메르,정제흥,4.0,"맛있는 음식, 멋있는 건물과 경치가 매우 훌륭했습니다직원들은 불친절해요"
헤이메르,띠링,5.0,라떼가 맛있어요
헤이메르,이은희,5.0,
헤이메르,박동우,1.0,2잔이라고했는데 1잔주길래 2잔시켰는데요하니 1잔으로들어가지고요 이러고 끝 빵먹을때 2명인데 트레이에 포크하나주길래 아 말해뭐하는지 죄송하단말한마디없고 직원교육엉망인곳
헤이메르,김지현,5.0,뷰가.. 이런 뷰 없음저평가는 주위 상인들 견제 아닐까 의심스러움누구도 아름다운 전경에 토달수 없음
헤이메르,문승우,3.0,풍광
헤이메르,이동만 (Dongman Lee),1.0,음~~ 전경만 좋은 곳.종업원의 서비스 마인드 교육이 매우 절실한 곳.외부 음식 반입 안된다고 하면서 내가 집었던 플라스틱 포크를 뺏고 눈을 똑바로 처다보는 종업원을 보면서손님으로 하여금 창피함과 분노를 느끼게 했던 곳. 오전까지 즐거운 분위기를이 종업원때문에 망쳤고다시는 찾지 않는 곳으로 결정하게 한 하루..내가 지금까지 지인에게 추천한  것이 후회스러운 곳
헤이메르,이기효,3.0,아줌마들 도떼기 시장임.아줌마ZONE을 따로 만들어서 걸로 다 보내야함.안그래도 울림이 심한데 아줌마들의 특유의 웃음소리와 하이톤 대화중 목소리 올라감 때문에 내 커피잔이 깨지는건 아닌지 걱정스러울 정도임.
헤이메르,YI,3.0,뷰는 최곤데 소리가 너무 울림맛은 평균
헤이메르,dddh,3.0,음료 맛  무엇...?...;;;
헤이메르,최문환,4.0,
헤이메르,김재동,4.0,웨이브온과는 다른 감성
헤이메르,오전필,5.0,
헤이메르,305호,5.0,진짜 좋다 .. 와...
헤이메르,.,5.0,진짜핵좋음
헤이메르,마인드컨트롤,1.0,가격대비 커피맛떨어지고 복잡하고 의자가 넘 쉴틈없이 많아서 소리가 울려서 귀가 멍멍한곳.
헤이메르,박정훈,2.0,가격 뭐고? 음료 클라스 뭐고??
헤이메르,정은표,5.0,해풍을 받으며 산위 카페에 바다가 바로 앞에 보입니다
헤이메르,바디걸즈,4.0,
헤이메르,붐이에요!,2.0,가격창렬
헤이메르,로동,4.0,넓고 풍경이 좋아요
헤이메르,우리는모두,4.0,
헤이메르,P,5.0,
