place_id,user_id,score,comment
가정식당,ㄷㅇ,5.0,청국장찌개 먹었는데 반찬 종류도 많고 정말 건강한 음식인게 느껴지네요
가정식당,송산리에,4.0,
가정식당,민이,4.0,맛이 담백함. 간이 약해서 사람에 따라서는싱겁다고 느껴질수 있음.나또는 한국에선 보기 힘든 이색음식.
가정식당,김광석,5.0,진심이 느껴지는 건강한 맛집오래 오래 번창하세요^^
가정식당,Youb,2.0,"청국장,낫또를 직접 가공,판매하는 집음식이 담백하네요  걍~~^"
가정식당,하네벙,5.0,맛있고요 친절하고요 안짜고요 건강하고요 네받자 완벽합니다
가정식당,송송이,5.0,울산역 주변서 최고....먹으면서 건강해지는 느낌입니다.정말 잘 먹었어요^^*
가정식당,김진영,5.0,맛있고 건강해요 ㅎㅎ 반찬도 정성스럽고 다 맛있네요 ㅎㅎ 번창하세요
가정식당,김현민hm kim,5.0,언양에 이런 세련된 맛집이 있다는 것은 거의 불가능한 일입니다. 과거 울산거주시 KTX타고 내릴 때 꼭 들렀던 완전 소중한 맛집입니다. 청국장과 반찬들에 영혼이 담겨있습니다.
가정식당,잘먹겠습니다,4.0,울산근교에서 청국장이 가장 맛있는 집. 가서 먹어보면 안다.
가정식당,dh,5.0,깔끔해요
가정식당,김준우(지훈),5.0,음식괜찮네요 낫토좋아요
가정식당,화수,5.0,맛ㆍ재료 모두용
가정식당,김졍,5.0,2019.8.25일이후로 가정식당 영업시간 변경되었어요~매주월요일 휴무  ->  매주 일요일 휴무로 변경됬어요
가정식당,경상도일번,5.0,울산 최고의 맛집 중 하나
가정식당,A형평가자,5.0,깨끗! 건강한 맛!저 같이 아무식당이나 갈바에는 삼각김밥 먹겠는 까칠한 사람도 믿고 사먹을수 있는 식당!
