place_id,user_id,score,comment
본가진미간장게장 울산점,구가,2.0,생각보다 별로
본가진미간장게장 울산점,Sean Kim,1.0,와.. 너무 심해서 댓글 한번 보고 없으면 알리려 했는데 이미 여러분들이 똑같은 경험을.. 먹어본 간장 게장중 .. 최악이며 혹시나 해서 대하장을 시켰으나.. 역시나 재료가 너무 아까운 생각이 들었다. 이런식으로 장사를 해도 되나 싶을 정도로 게장에서 냄새가 난다고 하니 원래 게장에서 나는 냄새라고... ㅜ.ㅜ 게장을 처음먹는 사람처럼 훈계질을 한다. 자리에서 일어나려 했으나 시장기가 다른 곳 갈 시간적 여유가 없어 멸치 볶음에 솥밥이나 먹고왔다. 정말 짜증나는 가게다.
본가진미간장게장 울산점,쁘이,1.0,옛날의 본가진미가 아님;; 너무 비리고 손님 대하는 태도도 엉망--; 손님이 주문을 하면 그대로 주면 되지 일하시는 분이 무슨 상관인데 메뉴를 바꾸시는지 모르겠음;; 첨에 주문한데로 안나와서 말하니깐 이렇게 주문하면 손해라고 그래서 이렇게 한거다 횡설수설 하는거임; 근데 또 영수증에는 우리가 주문한 것 그대로 찍혀서 돈은 더 내고 메뉴는 그대로 나오지도 않음.. 그래서 우리는 상관없다고 원래대로 달라고 하니깐 계속 안해줌;; 다른 사람이 오더니 무슨 일이냐길래 상황을 얘기하니깐 흥분하지말래ㅋ 본인들이 잘못해놓고 그게 손님한테 할 말인지 모르겠음^^ 내가 화를 낸 것도 아니고 저분이 주문해주신데로 안해주신다 원래대로 달라 이렇게 얘기한걸;; 아주 사장이고 직원이고 싸가지 진짜 없음;; 나도 가족이서 자영업을 해봐서 이렇게 안남기고 싶지만 이제 여기는 진짜 안갈듯 옛날에 맛있었어서 오랜만에 왔는데 간장게장은 비려서 먹지도 못하겠고 직원들은 막무가내고 다시는 안갈듯 돈내고 입 버리고 기분만 상함^^;; 기분상하고 입도 버리고 싶으신 분들은 가시길..^^ 참고로 먹은 일행 중 한명은 배탈남^^ 이 리뷰 보신분들은 절대 가지 마시길..
본가진미간장게장 울산점,코뿌리,1.0,비리고 간장이 안 베어있고간장 자체가 맛이 없는..떡갈비 맛집...후퇴..
본가진미간장게장 울산점,맛집러버,1.0,게장 간이 하나도 안배여있고 너무심하게 비린맛나서 물어보니 2일 숙성한거 맞고 원래 이 맛이라면서 본인 가게 게장 처음 먹어봤냐고 하더라구요(먹고 배탈안난게 다행일정도;;) 그래서 여기 자주왔고 직원분은 드셔보셨냐고 물어보니 본인은 안드셔보셨다네요(안먹어봤으면서 원래 이 맛인건 어떻게 아시는지..)맛있어서 자주 방문하던 곳인데 좀..많이 맛이 변했어요 단골맛집 잃어서 아쉽..ㅜ방문했을때 사람이 너무 없길래 이른저녁이라서 없나싶었는데 맛이 변해서 다들 안오는거 였네요추가로 직원분 일하기 싫은건 공감되지만 응대태도는 바꾸셔야할듯
본가진미간장게장 울산점,_,3.0,
본가진미간장게장 울산점,설비비빅,3.0,
본가진미간장게장 울산점,오복스시,5.0,간장게장비빔밤♥  완전맛있어요~ 짱짱!! 가족식사로 방문했는데 가끔 생각날때마다 찾는곳!!  여기 간장게장으로 유명한듯^^
본가진미간장게장 울산점,간지맨,5.0,간장게장도 맛있었지만 양념게장도 맛있더라구요 ㅎㅎ 맛있어서 밥3공기 먹고왔네요 ..
본가진미간장게장 울산점,김민소,5.0,와 간장게장 속이 가득찬거 보며 탄식하며 먹었어요 부모님과 같이 갔는데 부모님이 매우 좋아하셔서 흐뭇했습니다. 부모님이 간장게장을 많이 드시고 싶어하셨는데 알음알음 갔었어요 너무 잘 간거 같고 사장님도 친절하시고 밑반찬도 잘나오고 정말고 밥 한그릇 게눈감추듯 먹어치웠네요 음식솜씨 진짜 짱인거 같아요 잘 먹고 옵니다.
본가진미간장게장 울산점,졍이💕,5.0,부모님이 맛있다고 하셔서 가족들과 가끔 방문하는 곳인데 느끼하지 않고 짜지 않아서 자주 방문하는 곳이에요 간장게장도 양념게장도 양념들이 너무 맛있어서 여기만 가면 배터지게 먹고 오는것 같아요 조만간 모임이 있는데 친구들과 또 방문 예정입니다!
본가진미간장게장 울산점,오붐,5.0,가족모임으로 신메뉴 먹고 왔는데 정말 만족스러운 식사자리였습니다^^ 번창하세요!
본가진미간장게장 울산점,강수정,1.0,상한꽃게 나왔어요ㅜ 냄새맡고 토할뻔.. 비위상해서 남은거 못먹고 두고왔네요;;; 게장전문점에서 상한게장이 나오다니.. 사과한마디 없고 정말 황당합니다~;
본가진미간장게장 울산점,할머니,5.0,너무 맛있당!!
본가진미간장게장 울산점,재민맘-김혜원,5.0,간만에 꽃게 게장.. 다음엔 꼭 코스로~
본가진미간장게장 울산점,.,2.0,
본가진미간장게장 울산점,용,5.0,
