place_id,user_id,score,comment
빈티큐어라운드,심민규,1.0,여기가서 그날 분위기 망친곳입니다.ㅠ결혼기념일에 갔었는데서비스도꽝이고 직원매너도 없고스테이크 고기를 바싹 태워서딱딱하게 주는 곳은 첨입니다.이건 양심적으로 주는..ㅠ정말 최악입니다.
빈티큐어라운드,저용,4.0,"뷰가 최고임 낮에는 날씨 좋을때 가거나, 밤야경이 이쁨가격은 양에 비해 비싼편 파스타 맛있고 기념일에 오면 좋을듯"
빈티큐어라운드,상혁.,1.0,음식 맛 최악..스테이크 최악..피클 최악...서빙하시는 분 매너 최악...모든게 최악...
빈티큐어라운드,윤이야,4.0,뷰 좋아요 ~ 카페도 좋아요
빈티큐어라운드,xoahxnk,4.0,
빈티큐어라운드,유니,1.0,알리오올리오 왠만하면 실패 안하는 음식 중 하나인데 뭔가 이도 저도 아닌 맛이… 샐러드도 너무 달고 전반적으로 별로였어요 그냥 전체를 카페로 바꾸는게 훨씬 나을듯 합니당ㅎㅎ
빈티큐어라운드,플랑크톤,1.0,그냥 근처 카페에서 커피사서 함월루에 올라가 경치보는게 나음음식이나 카페나 그냥 대충 흉내만 내보려고 한 느낌이 팍팍드는 맛 그이하돈이 차고넘쳐도 여기서는 쓰고싶지 않음
빈티큐어라운드,.,1.0,
빈티큐어라운드,원,4.0,차랑 식사는 무난~ 괜찮음. 무엇보다 경치가 완전 예쁨. 데이트장소로 추천~
빈티큐어라운드,맛돼맛,5.0,기대했던 그대롱 ㅎㅎ
빈티큐어라운드,달려라쮸,5.0,"차마시지 말고 밥 먹길, 테이블 몇개 없으니 타이밍이 중요. 진짜뷰가다함~ 서로 같은 곳을 보고 밥을 먹어야 해서 어색하지 않으니 소개팅 장소로도 굿~"
빈티큐어라운드,먹비게이션,1.0,가격대비 사망. 차 6000원대 티컵에 조금 나오는데 맛이라도 있으면 모르겠는데.. 향 조금 나는 뜨거운물맛
빈티큐어라운드,떠돌이,4.0,뷰가 다함 가격비싸고 주차 잘안되지만 소개팅할 분위기
빈티큐어라운드,VINTIQUE,5.0,인정
