place_id,user_id,score,comment
신천쭈꾸미,하입보이,1.0,불친절.
신천쭈꾸미,그레이,3.0,오랜만에 쭈삼 먹었습니다.양념은 맛있었는데 익는 시간이 오래걸리고 고기의 질이 좋지 않아 냄새가 났어요.쭈꾸미는 별4개 고기는 별1개요.다음에는 쭈꾸미만 주문해서 먹을것같아요.
신천쭈꾸미,?,5.0,
신천쭈꾸미,Sally Park,1.0,"오늘 부산에서 올라오신 시어머니과 둘째 형님을 모시고 점심을 먹으러 갔는데 날이 더운데도 에어컨을 틀어놓고 있지 않아 직원분께 에어컨을 틀어달라고 부탁했어요. 필터 청소해서 에어컨 틀어도 된다고 하셔서 틀고 점심을 먹고 있는데 갑자기 직원 분 중 한 아주머님 한 분이 손가락으로 삿대질을 하며 에어컨 필터 청소안했는데 왜 틀었냐고 다짜고자 소리 지르며 저희에게 너무도 당당하게 따시시더라구요. 밥먹다가 이게 무슨 날벼락인가 싶었어요. 눈으로 레이져를 어찌나 따갑게 쏘시는지 밥먹다가 너무 황당하고 기가 차서 다들 밥맛 다 떨어졌다고 숟가락 놓고, 다른 직원분이 틀어도 된다고 해서 틀었다고 했더니 발길 돌리면서 바쁘게 일하고 있는 다른 직원분들한테 누가 에어컨 틀어도 된다고 했냐고 무슨 인민군 색출하는 분위기를 만들더라구요. 날이 더워지고 있는데 에어컨 필터를 청소 안해놔서 가동을 못한다고 정중하게 설명해줘도 시원찮을 상황에 너무도 당당하게 에어컨 필터 청소 안했으니 못튼다고 손님들한테 더워도 괜찮죠~라며 가스라이팅 시키고... 도대체 그 직원분 서비스 마인드가 뭔가요? 아무리 8천원짜리 음식을 파는 음식점이라고 하지만 해도해도 너무하네요. 시댁 어른들만 아니었어도 제가 진짜 컴플레인 걸고 나올려고 했는데 시댁식구들땜이 참았습니다. 눈썹문신 찐~하게 하고 긴머리 포니테일로 묶으신 직원 아줌씨! 사장인지 직원분들 중 제일 고참인지는 모르겠지만 그런 서비스 마인드로 일하지 마세요. 자기 장사를 해도 그런 식으로는 장사하시면 안됩니다. 더운날 에어컨 트는거 당연한거고, 필터 청소 못해서 에어컨 가동 준비가 안된 걸 손님들한테 양해를 구하는게 기본 상식 아닌가요? 주위 지인분들한테 엄청 맛있다고 소문소문을 내줬는데 갑질하는 직원땜이 가지말라고 도식락 싸들고 다니면서 비추하고 싶네요!"
신천쭈꾸미,요술공주,3.0,"가격이 1000원씩 올랐네요 밥까지 합치면 1인 만원,,,,에 비하면 양이 조금 작은듯요밑반찬 셀프파 이용은 편리했습니다먹고 속 부대낌은 없어 조미료를 많이 쓰는것 같진 않았습니다"
신천쭈꾸미,지은,1.0,진짜진짜진짜불친절 두번다시안감
신천쭈꾸미,_,2.0,중간에 ㅈ브레이크타임잇싐
신천쭈꾸미,ㅡㅡ,1.0,진짜 온몸으로 불친절하세요주문했는데 대답이 없길래 외국분인줄 알았는데 ㅋㅋㅋㅋㅋㅋㅋㅋ맛있냐 없냐 둘째치고 옆테이블에서도 예약하고 왔는데 포장 아니었냐는 오해가 있더라구요 오해는 오해일 수도 있는데 마치 손님이 귀찮고 무조건 니들이 잘못했다는 마냥 대하는거보고 참… 그 손님 표정이 잊혀지질 않아요 ㅋㅋㅋ
신천쭈꾸미,동현,5.0,
신천쭈꾸미,힘을내요슈퍼파월~♡,2.0,직원들엄청엄청 불친절해요   맛있어도 가기싫을만큼불친절해요
신천쭈꾸미,장미영,4.0,불맛 꿀맛 가격대비 최고인듯
신천쭈꾸미,자연,5.0,자꾸 자꾸 생각나는 불맛 입니다. 진짜 맛나요.
신천쭈꾸미,bo,3.0,"포장은 너무 부실해요...마요 소스, 김 빼먹지 말고 달라고 하세요. 집에 왔는데 없네요...계란찜 포장 하면 왕 사이즈가 아니라 반쪽 만큼만 줘요. 가능하면 식당에서 드세요."
신천쭈꾸미,강문선,5.0,
신천쭈꾸미,LHS,1.0,"카카오지도에 검색해보니 영업시간 22:00까지라고 나와있는거 확인하고  20:30쯤 방문했는데 들어와도 직원들이 본채만채하시고 '어서오세요' 같은 인사도 전혀 없이 큰소리로 ""9시에 마감해요"" 라고하면서 마치 왜 들어왔냐는 뉘앙스로 내보내는 어투로 말씀하시네요. (제가 식당 직원이었으면 ""손님 저희 9시가 마감시간이라서 시간이 30분밖에 없는데 그래도 식사 괜찮으시겠어요?"" 라고 응대했을겁니다.)사실 아주 불쾌해서 바로 나가고싶었지만 멀리서 일부러 찾아온거라서 그냥 불향 2인분 시켜먹었는데,밥을 거의 다먹어가는데 남자 직원인지 알바생인지 정색하고 오더니 ""9시10분이에요 정리하세요"" 딱 이 한마디하고 테이블마다 돌아다니면서 똑같은 말 하는거 같네요.(이말 듣고 바로 폰시계 봤는데 21:05였음)제가 식사 다하고 앉아서 노가리 까고 있던것도 아니고 술을 마시고 있었던것도 아니고 처음 들어올때 이미 불쾌한 상태라 얼른 밥만 다먹고 나가려고 하려던참에 이딴말 들으니 참 기분이 더럽고 내 돈주고 식사하는데 이런 대접 받을 줄 알았으면 절대 안갔을겁니다."
신천쭈꾸미,윤명호,5.0,
신천쭈꾸미,최동건,5.0,인생 쭈꾸미 집이에요 제발 가서 먹어주세요(찌야 가서 먹어줘)
신천쭈꾸미,makarios,3.0,맛있다고 해서 왔는데 생각만큼은 아니네요가격적으로 ㅈㄹ쭈꾸미가 더 나은듯
신천쭈꾸미,울산상남자,5.0,불향가득하고 신선한 쭈꾸미 느므느므 맛나요~~
