place_id,user_id,score,comment
웅촌식육식당,나비효과,5.0,
웅촌식육식당,고강준,1.0,너무 불친절함.장사가 잘 되어서 그런지...불친절해서 다시는 가기 싫어요.
웅촌식육식당,허진영,5.0,숨은 맛집고기도 고기지만 김치찌게 완전 맛집
웅촌식육식당,Es,5.0,고기가 싱싱하고 탱탱함
웅촌식육식당,MJ❤,5.0,
웅촌식육식당,...,1.0,별하나도 아깝다..별 반개는 없나.맛이라곤 없는집 왜 가는지 모리겠네.
웅촌식육식당,mk cho,4.0,
웅촌식육식당,HONG-E,2.0,"그냥,그저그래요"
웅촌식육식당,돌담길,5.0,맛집입니다삽겹살 주물럭 맛있어요!!!
웅촌식육식당,.,5.0,
웅촌식육식당,김민수,4.0,"가성비 굿, 맛도 굿"
웅촌식육식당,Youb,3.0,"두루치기(주물럭), 김치찌개 오래토록 변함없는 맛이네^냉장돈육 고기가 달라~~~요 ㅎ"
웅촌식육식당,남희섭 / Micheal,5.0,이집 언양에서 어르신이 고기 직접기르신답니다 전 김치찌개 좋아라 합니다. 전국으로 영업다니지만 이집 진짜 맛있음 인정.
웅촌식육식당,바디걸즈,3.0,
