place_id,user_id,score,comment
조은사랑방,MJ❤,5.0,
조은사랑방,도문,5.0,양도 푸짐하고 아주 맛있네요
조은사랑방,뱅,5.0,저 여기 한 달에 한 번 정도 가는 울산시민입니다. 제가 2년 전부터 다니면서 친절함을 느꼈지 단 한 번도 불친절함을 느끼지 못했습니다. 제가 있는 동안 다른 손님들에게도 그런 모습을 본 적 없고요. 후기 쓰지 않는 사람인데 밑에 후기보고 남깁니다. 밑에 분은 아마 오해나 착오가 있으셨나 봅니다. 써놓고 읽어보니 알바 후기 같은데 진짜 그냥 관계 1도 없는 울산 시민이구요. 울산에 몇 없는 가성비 맛집이라 장사 잘 되서 더 오래 먹을 수 있었으면 하는 바람에 몇 글자 남깁니다.
조은사랑방,서흥석,1.0,친절  그건 애저녘에 팔아잡쉈네요..
조은사랑방,김세훈,5.0,
조은사랑방,김종우,5.0,따뜻한 진한멸치육수 와 취향에 맞게 넣을 수있는 고명국수양도 많아 배 불러요!
조은사랑방,푸른하늘,5.0,"국물과 고명이 끝내 줍니다.잔치국수 맛이 거기서 거기인줄 알았는데,아주 맛있게 먹었습니다."
조은사랑방,코쓱머쓱으쓱,1.0,
조은사랑방,부산꼬북이,5.0,양 맛 친절 3박자 완벽
조은사랑방,정종원,5.0,"무지막지한 양, 자기 마음대로 올릴 수 있는 고명, 진한 육수... 말해 뭐하겠습니까...꼭 가보실길 추천합니다."
조은사랑방,☆ㅆㅓㄴㅣ☆,5.0,고명 9가지에 진한 육수 거기다 착한가격까지 잔치국수중에선 최고입니당~
조은사랑방,소정빙란!,5.0,
조은사랑방,이우섭,5.0,맛있고 양이 풍부합니다
조은사랑방,포동포동,5.0,
