place_id,user_id,score,comment
천손짜장,홍한표,4.0,
천손짜장,kk,3.0,탕수육 짜장 짜장밥 볶음밥 맛은있음.친절하진않음
천손짜장,정혀니,1.0,진짜 최악입니다원래 언양 천손 가다 없어져서 굳이 부산서 들려본건데.. 주문후 바로 나와서 와 짱이랬다 실망 했어요탕수육은 무슨 냄새인데 고기 누린내도아니고 밀가루 특유의 역한 냄새가 나고 크기도 무슨 도구입니까? 완전 길어서 먹기 힘들게하고짬뽕은 그나마 괜찮은데 그나마..간짜장  장난쳐요 제가 먹은게 아니라서 몰랐는데  저희 아버지 바로 소하제 사드셨어요배달 가려가 안간거 주신거죠?간짜장에 들어간 면 서로 붙고 굳어서 겨우 드셨데요먹는걸로 장난치지 마세요여기 별 하나도 아까워요
천손짜장,ㅁㄴ,3.0,저두요ㅜㅜ평점 귀찮아서 잘안남기는데ㅜㅡㅜ1개주고싶은거 사장님 꼭 개선하시고예전맛 되찾으시라고 3개드려요...식은 음식은 진짜 문제가 커요왜 음식을 미리해놓으시죠?정말 손님이 식은밥 얻어먹으러 온사람도 아니고서비스를 돈주고! 사는 사람인데.가격도 안싸고...꼭 바껴서 잘되시길 바랍니다.바뀌셨으면 맛있게드신분들이 다시 별점 높여놓을거라 믿습니다.
천손짜장,박정규,4.0,주차장 널널하고 맛도 괜찮음
천손짜장,동남,5.0,칸막이 있고 넓직힌 좌석/ 어두운 실내 분위기 괜찮음/ 맛도 좋아서 늘 사람 북적임 대왕짬뽕 맛있고 맵지 않음 / 볶음밥 추천 / 탕수육은 부먹으로 나오고 바삭 고소 야채는 양배추만 있음 /가격대 있음 / 평이 안좋으나 가서 먹으면 만족  추천
천손짜장,MJ❤,1.0,
천손짜장,조코비치,2.0,면이 예전이랑 달라짐 별로임..짬뽕 국물 완전히 바뀜양도 줄어듬더럽게 가격오름이제는 올 이유가 사라짐
천손짜장,so cool,5.0,맛있음 부산살다왔는데 이렇게 맛있는 중식점 처음 봄
천손짜장,야잇,2.0,아주 초창기에 굴화 황금정 옆건물에서 조그만하게 있었을땐 맛이 괜찮았는데 버섯모양 집으로 옮기고 나서부터 가면 갈수록 음식에 성의가 없다는게 느껴짐....이번에 버섯집 부수고 그 옆으로 또 옮겼던데 맛보면 알듯ㅋㅋㅋㅋㅋ그리고 이집이 언양 천손짜장이랑 같은집인지 모르겠는데 언양점이 차라리 나은거 같음...
천손짜장,ㄱㄴㄷ,1.0,맛이없다. 양이 엄청적다.불친절의 표상.두번 갔는데 앞으로 평생 땡이다.
천손짜장,임민경,3.0,짜장면 먹었는데 음.. 비주얼이랑 면은 좋아요! 근데 소스가 뭠가 찐득? 이때까지 먹어본 짜장중에 젤 점도 높은듯.. 음 개인적으론 이 식감이 그냥 그랬습니다
천손짜장,한산,4.0,예전에 자주가다가 애들이 짜장면 먹고 싶다고해서 몇년만에 방문함. 일반 짜장면집보다 맛있다.
천손짜장,진실하게,1.0,예전 일이지만 식은 탕수육이 1분만에 나와서 컴플레인 걸었지만 무시하고 쳐먹으라는듯이 보던 직원이 생각납니다. 마인드 쓰레기.1점도 아까움.
천손짜장,맛집찾기,1.0,별0개짜리전체적으로 한참 미리해놓은 음식을 받아먹은 느낌 짜장-싱거움해물짬뽕-오래된것같은 오징어. 쫀득한만이라곤 찾아볼수없없음.탕수육-제일 기대하고갔는데. 최악 그자체. 고기의 퍽퍽함? 고기가 없는줄. 신문지같은 고기맛. 얼마나 오래전에 만들어놓은걸 준건지 따뜻함도 없음
천손짜장,오전필,5.0,
천손짜장,눙님,2.0,맛이 변함...
천손짜장,손오반,3.0,
천손짜장,도시맛객,4.0,양도 많고 좋았어요
천손짜장,.,2.0,비싼가격에 비해 평범한 맛
천손짜장,본명대한,4.0,간짜장. 탕수욱   B+..
천손짜장,짬,5.0,
천손짜장,바디걸즈,3.0,
