place_id,user_id,score,comment
카페몽떼,김미랑,5.0,
카페몽떼,동남,3.0,"좁고 살짝 낡은 직사각형 카페, 통유리 파노라마 바다뷰. 분위기는 조용하고 탁틔이고 속닥하여 정다운데 일회용 컵으로 주시고 전문가스럽지 않던 맛임. 같은돈이면 인근 세련된 신상카페 갈듯. 친절도나 맛 업그레이드가 필요"
카페몽떼,뎅뎅,5.0,"바다를 바라보는 창가 자리가 진짜 좋음.카페가 크지 않아서 북적거림이 없고, 조용히 책읽기에도 좋음.수제 자몽에이드와 자몽티 맛있음!"
카페몽떼,웩웩,4.0,커피맛은 모르겠는데 뷰가 다했다
카페몽떼,신대현,5.0,
카페몽떼,하나둘,5.0,너무예뻐요
카페몽떼,요요,1.0,빨리 나가라 그러네요..ㅎㅎ 인당 커피 1잔에 1시간 조금 넘게 앉아있었는뎅 간절곶도 아니고 굳이 여기 가려면 찾아가는 손님들인데 그렇게까지 하셔야 되나 싶네요
카페몽떼,YI,3.0,뷰가 다 한집
카페몽떼,^^,1.0,1시간 넘게있으면 손님이 많다고 나가라고 하는 곳..^^내가 오래있었나싶어 결재시간보니 1시간 조금 넘음.. 보통 카페가면 1시간안에 나가시는가요??이번이 3번째방문인데 사장님은 친절하셨는데 여자직원분이 째려보면서 말씀을 ㅎㅎㅎ 기분내러 갔다가 불쾌해진 기억에 다시 가고싶은마음은 안들어요.
카페몽떼,바질,4.0,통유리 창이 있어서 바다가 잘 보여요
카페몽떼,홍성은,5.0,여름 (극성수기) 일요일 오후에 아름다운 바다를 이렇게 고요하게 즐길 수 있다니 꿈만 같은 곳이네요. 친절하시고 음료도 맛있어요. 나만의 비밀카페로 숨겨두고 싶지만^^ 카페가 잘 되길 바라는 마음으로 후기 남깁니다.
카페몽떼,Kyung-hee,5.0,매일 오고 싶은 곳입니다. 꼭 오세요
카페몽떼,김정환(베토),5.0,무조건 꼭 오셔봐야 알곳.
