place_id,user_id,score,comment
파센토,혜용,5.0,분위기와 음식이맛있읍니다
파센토,러충,4.0,유자 바질 토마토는 괜찮은 에피타이저
파센토,"~,~",4.0,스프카레의 매력을 모르는 사람이라면 당연히 힘든 맛일 것 같아요. 가격에 비해 호불호가 너무 정확한 음식? 그런데 스프카레 자체로는 정말 맛있습니다. 채소 튀김 정도와 치킨들어간 메뉴는 말할것없이 맛있었어요 ㅎㅎ!
파센토,킹굴개따,3.0,맛이나 구성은 괜찮아요1점 후기가 많아 걱정했는데 그 이상이었어요! 개인적으로 가지 튀김이 맛있었어요. 테이블이 끈적거리는 후기는 사실인 것 같아요ㅠ… 그리고 삶은 닭이 엄청 붉게 나와서 덜 익은건가..? 싶기도 …부산에서 스프카레로 유명한 곳을 가봤었는데 파센토는 조금 싱거운 느낌? 맵기는 1단계/2단계 둘 다 해서 먹었는데 3단계 해도 괜찮을 것 같았어요.
파센토,대구 촌놈,2.0,이걸 스프카레라고..
파센토,메론맘,1.0,음식나오기까지 대략 30분. 나온 음식맛도 별로. 가격도 별로.. 일단 주방에 덕트가없어서 온데 유증기가 앉아 자리가 끈덕짐일본식가지튀김생각했는데 튀김옷도 안바삭.. 기름색도 어둡고 씹으면 기름이 주르륵 절어있음북해도식 카레를 안먹어봤지만.. 진짜 이럴까? ㅠㅜ 닭튀김도 튀김옷이 옛날분식집 서타일도 아니고 좀 눅눅하고 안빠삭함..수저도 설거지 상태 별로에요.
파센토,맛집찾는 두더지,2.0,맛은 괜찮은 편이지만 가격을 생각하면 그럭저럭이다.가라아게에서 잡내가 나지 않은 건 좋았다.테이블은 제대로 닦지 않아 끈적거리는 이물질이 옷에 묻어나왔다. 그리고 벽에는 카레가 튄 흔적들이 그대로 남아있었다. 화장실은 식당 밖에 있는데 좁고 거미줄 사방에 쳐져있었다.
파센토,정 승우,5.0,약간매운맛 치킨카레 맛있네요.
파센토,우s,3.0,북해도사람들은 참 안됐다
파센토,찐,5.0,직원분 사장님 엄청 친절하시고 음식도 맛있었습니다 여행와서 기분좋은식사하구갑니다
파센토,김씨,5.0,맛있어요 >♡<
파센토,박홍택,5.0,태화강 피크닉갔다가 인테리어에 끌려서 들어갔는데 기대 이상ㅋㅋㅋ처음 먹어본 카레 스타일? 이었음 맛도 비주얼도 맘에듬~~
파센토,정연삼,5.0,카레로 이렇게 맛있게 먹어본건 첨임ㅋㅋㅋ 가지튀김 진짜 개맛있어여
파센토,포동포동,4.0,별점 1점은 아니다 솔직히.. 오픈주방 건물이 오래되고 내부디자인이 심플해서 그렇지 더럽지는 않음 조명어두움 가라아케 가지튀김 코코넛카레 먹음 다 맛있음 국물카레 가격도 나쁘지않음
파센토,브안짝,1.0,"1. 코스트코맛 - Gold큐빅카레에 기름진맛2. 튀겼음에도 보이는 저급의 채소 신선도_노랗게 뜬 브로컬리3. 열악한 위생환경_지저분한 주방, 새까맣게된 기름, 떡진 컵/물주전자, 더러운 수저 등등4. 먹고난 후 한동안 설사와 복통을 동반한 위장장애"
