place_id,user_id,score,comment
폼폰루지,리뷰몰아쓰기,4.0,비싼가?ㄴㄴ양 많음남자하나서 파스타 하나 다 먹고 든든하긴 처음
폼폰루지,H,5.0,네이버로 예약이 가능해서 좋았고 예약하니 창가자리로 주셔서 분위기 또한 좋았으며 맛까지 훌륭했습니다 👏 직원분들도 너무 친절하셔서 또 가고싶은 집이네요:)이 집이 리뷰가 왜 안좋은지 이해가 안가서직접 리뷰 남깁니다.데이트하기 좋은 음식점이네요😁
폼폰루지,김산영,5.0,
폼폰루지,김예령,5.0,
폼폰루지,그레이,3.0,파스타는 쏘쏘 돼지고기 찹스테이크가 맛있었는데 소개팅하면서 먹기엔 별로이니 참고하세요.재방문은 안할것같아요
폼폰루지,알로하,4.0,소스많고 꾸덕하고 간이 쎈 파스타. 전 그런거 좋아해서 맛있게 먹었어요!
폼폰루지,+,4.0,리조또는 별로고 다른건 다 평타이상임 삼산에서 그나마 갈만한.. 파스타집인듯
폼폰루지,주관적 맛집 평가,3.0,로제 파스타가 맛있어요
폼폰루지,음음음^^,5.0,
폼폰루지,ㅊ시영,2.0,맛집이라고 하기엔 부족한 느낌은 있습니다. 약간 전체적으로 간이 쎈느낌이라서 자극적입니다. 가성비 좋은 음식점 입니다.^^
폼폰루지,좋았던곳만평가함,4.0,"차돌박이한우파스타, 너마늘위한새우파스타 두가지를 먹었습니더.차돌박이한유파스타 소스가 조금 달아요. 굳이 비유하자면 햄버거가게(롯리 맥날같은)의 불고기버거쪽의 소스같은느낌? 전 단거 좋아해서 괜찮았습니다. 초딩입맛이면 추천드려요 ㅎㅎ너마늘위한새우파스타는 마늘향이 거의없었습니다. 구운마늘의 식감만 남아있다고 보면 될듯... 새우랑 잘 어우러지긴 하지만, 이름에 나와있는 마늘향이 미약해서 아쉬움이 있습니다. 물론 다수를 만족시키는데에 있어서는 마늘향을 많이 없애는것이 낫다 라고 생각은 합니다. ㅋㅋ;두가지 메뉴 모두 기본적으로 맛있습니다. 다만 조금의 보완할 여지는 있어보입니다. 맛있게먹었습니다~"
폼폰루지,나그네,1.0,돈은 없고 많이는 먹고싶은 20대초반이나 중고등학생들에게 맞는곳인듯맛집이라고 하기엔...................
폼폰루지,J,2.0,친구들과 새로 생겼다고 해서 감.. 친구들은 좋아함 ㅠㅠ 너무 양으로 승부하는 느낌 ㅠㅠㅠ
폼폰루지,금정주민,4.0,명이차돌박이 진짜 맛있네요!!!!!! 양도 많음!! 첨에 좀 양 적으려나 걱정했는데 남김....! 독특한 파스타 많아서 좋았어요~~
폼폰루지,뚠뚠,5.0,"꽈리명란로제파스타 핵존맛이고, 서빙 빠르고, 삼산 다른 체인점에서 파는 파스타에 비하면 여긴 맛집. 자주 갈게요~!"
폼폰루지,토리,3.0,
