place_id,user_id,score,comment
협정,그르릉,5.0,아기자기하게 꾸며져 있어요 야외 석도 있고 층마다 분위기가 조금 씩 달라서 원하는 곳에 착석하면 되요 시그니처 와이키키 완전 맛있어요 향도 좋고 와인잔에 담겨서 나오는데 취저..! 다음에 한정판 가방도 사고 싶어요 ☺️
협정,리커버리,3.0,생각보다 규모는 작다.
협정,청산,5.0,분위 최고 커피도 맛집 입니다
협정,김태홍,5.0,"일단, 주차장 넓어요.분위기 좋고친절하시고 커피/빵 맛있어요!"
협정,김만두,1.0,
협정,ooo,5.0,사장님도 나이스하시고분위기 넘좋 옆에 주차장도 있슴
협정,♥으니♥,4.0,엔틱한곳~
협정,봄봄,4.0,"다음에 또 가고 싶은 맛, 공간.(시그니처 메뉴 먹고 싶은데 품절ㅠ )"
협정,SOY 이소연,5.0,앤틱한소품 테라스공간 너무 좋아요
협정,아모르,5.0,준수한 커피맛과 준수한 가격. 3가지 원두를 선택할 수 있도록 고객취향 배려. 베이커리류 또한 나쁘지 않은 가격과 맛남.엔틱한 인테리어와 사장님이 골동품이나 엔틱한 소품들을 콜렉하는 취미가 있으신듯. 직원분들도 친절하고 나이스함.5번 음료 사먹으면 커피 하나 공짜.계속해서 찾아갈듯.
