place_id,user_id,score,comment
효정밥상,QMCK🤔,3.0,게장정식 1만원이면 가성비 좋아요
효정밥상,장희빈,5.0,안 짜고 맛있어요 밥 뚝딱
효정밥상,모야,1.0,밑에 사진보니 게 두조각 주는데친절하면 만점이라니 전혀 이해불가네요.한때 매년갔지만 이제 손절한 집입니다. 가격 꾸준히 올리는데 게 양은 매년 줄더군요
효정밥상,.,4.0,게장만 놓고 봤을때 가성비 갑이네요
효정밥상,전제용,4.0,직원이 친절했다면만점이겠죠.. ㅋ
효정밥상,구파발왕언니,1.0,게는 무난한데 일하는 인간들이 맛이 갔어요.
효정밥상,mep001,1.0,게장두개 생선구이 두개 시켜 먹었는데게장은 9000원 치고는 아쉽고..  생선구이는 정말 심하네요..  서대랑 꽁치가 구천원인것도 비싼데 말라비틀어져서 상태가 별로
효정밥상,choo chul won,1.0,간강게장이아니라 참기름 게장이라는게 맞는말이겟네요 간장맛은 참기름맛에 가려져  참기름맛과 땡쵸맛에 가려져 별로였습니다  된장찌게도 맛이 별로입니다 그러나 가격대비 적당한지는 모르겠네요
효정밥상,조현철,3.0,
효정밥상,맛집 방랑자,4.0,게장정식 양 푸짐하고 맛도 좋아요
효정밥상,문영수,5.0,가격대비 갑입니다
효정밥상,바디걸즈,3.0,
효정밥상,포동포동,5.0,
