place_id,user_id,score,comment
가마솥뼈다귀해장국,황진욱,5.0,"언양 맛집으로 소문난곳으로 점심시간에는 사람이 많이 몰려서 기다려야합니다. 12시 전에 가시는걸 추천 드립니다.
국물이 진하고 고소하며. 오래 푹~삶은듯 뼈에서 고기가 아주쉽게 떨어집니다.
17시 이전에 재료 소진으로 영업종료하는 경우가 많이 있습니다."
가마솥뼈다귀해장국,高守永,3.0,"맛은 평범하나 청결하고 친절하고
고기양은 뼈 2덩어리이고,
종합적으로 중상 정도의…"
가마솥뼈다귀해장국,홀몰리,5.0,"반박불가능한 언양 최고의 뼈다귀 해장국 맛집. 어디가서 이정도 가격에 이 맛 느끼기 힘들거같아요. 내가 고양이 였어도 크으 소리 내면서 밥 호로록 말아먹을듯 추천합니다. (포장도 혜자인데, 너무 늦게가면 다 팔려서 포장 못해요.)"
가마솥뼈다귀해장국,JUNGHYUN KIM,5.0,"담백한 뼈해장국 입니다.
항상 사람이 많지만, 회전율이 높아 오래 기다리지 않구요,
양이 너무 많아 대식가가 아니면, 남기게 되는데, 아쉬운 부분입니다.
양을 줄이고 가격을 낮춘 메뉴가 있으면 좋겠네요."
가마솥뼈다귀해장국,Juhyeon Park,4.0,앉아서 주문하고 화장실 다녀오니까 다 차려져 있더라고요. 음식이 되게 빨리 나와요! 맛이 최상이라고 하진 못하지만 8000원에 맛있는 해장국 먹기 좋은 곳이라고 생각해요. 해장국에 비해 제 생각엔 밥이 퀄리티가 좀 떨어지는 것 같아요. 반찬도 많아보이지만 같은 반찬이 여러개가 나와서 아쉬웠어요.
가마솥뼈다귀해장국,YN Kim,5.0,국물이 잡내 없이 깔끔하고 돼지뼈 선도가 좋은게 느껴져 맛있게 먹었다
가마솥뼈다귀해장국,김성춘,5.0,이곳은 늦게 가면 포장은 13시쯤? 전에  가야되니 무조건 고기 없으니 건너편 다원으로 가세요. 맛에는 차이없을듯요. 오늘도 매진이라 허탕ㅡㅠㅠ
가마솥뼈다귀해장국,Sean Jeong,3.0,"뼈해장국 불모지인 유니스트 주변... 그중에..
그나마 갈만한 곳입니다.
주차장이 있기 때문에 주차 걱정은 크게 할 필요가 없어요.…"
가마솥뼈다귀해장국,2min papa,5.0,"메뉴가 엄청 빨리 나와요
개인적으로 간이 강하지 않아 좋아요~
손님이 많은 이유가 있어요"
가마솥뼈다귀해장국,김광영,5.0,"2주에 한번꼴로가는 언양 최고맛집.
중간에 아주머니께서 다치시고 가게가 한동안 휴업이었을때 언양식당계의 최대 위기였음.
이곳 뼈다귀해장국을 먹고 다른곳에서 뼈다귀해장국을 먹으면 안나던  고기비린내가 나서 못먹겠음.…"
가마솥뼈다귀해장국,오종열,4.0,"푸짐하네요ㆍ최상급은 아니어도  맛있습니다ㆍ
손님이 너무많음"
가마솥뼈다귀해장국,김진숙,4.0,11시30분인데 식사하러 온 사람들이 많았고 10~20분후에는 번호표 받고 대기하는 분들도 많았다 배추우거지가 많이 들어있고 국산 돼지뼈로 국물도 구수하고 맛있었다
가마솥뼈다귀해장국,이원휴,5.0,울산에서 뼈다귀 해장국은 이집이 최고예요
가마솥뼈다귀해장국,김영헌,5.0,가마솥뻐다귀해장국 주문하면 엄청 빨리 음식이 나오니 놀라지마시고 맛은 당연히 좋습니다
가마솥뼈다귀해장국,YeongIn Kwon,5.0,지인 따라 방문해서 맛있게 먹었습니다. 12시 40분이었는데도 대기가 있었습니다. 맛도 있고 양도 많았습니다. 주차장은 협소합니다.
가마솥뼈다귀해장국,양원수,5.0,"두번째 방문인데 뼈해장국의지존인듯...
넘 맛있게 잘 먹고갑니다."
