place_id,user_id,score,comment
강동회수산,박안기,5.0,"음식 맛나고 사장님.직원분들 친절하시고
주차장도 뒷건물에 무료주차로 편합니다."
강동회수산,나디니diny,5.0,맛있고 격식있게 먹을 수 있습니다 룸이 따로 있어서 너무 좋아요
강동회수산,YeongIn Kwon,4.0,일반적인 횟집 입니다. 방이 있긴 한데 자바라 커튼식으로 분리되어있어 옆 테이블이 보이진 않지만 말 소리가 다 들립니다.
강동회수산,김병삼 (고인돌),5.0,"참가자미와 함께 계절 어종을 취급하며 일식집 뺨칠 정도의 정갈하고 다양한 음식을 맛볼수 있는 곳, 특히 고래고기와 국내산 홍어와 소고기 육사시미가 코스요리에 포함되어 있어서 회식하기에 좋았다."
강동회수산,SANGHO LEE (Shawn),1.0,"바쁠때는 벨을 눌러도 무소식, 추가 반찬은 거의 이모님이 던지다시피 하고 가세요 밑반찬이랑 이전보다 못해요 주차는 근처 건물에 두시간정도 무료로 가능해요 4인기준 대자 모듬회 양이 넉넉치는 않아요"
강동회수산,박익제,5.0,친구와 오랜만에 저녁식사겸 한잔하러 갔었는데 싱싱하고 맛좋고 친절하고 좋았읍니다
강동회수산,이효정,4.0,딸생일 횟집찾다가 처음갔는데.. 친절하게 인사도하시고 코스요리도 밋있게 잘먹었습니다
강동회수산,송윤기,5.0,자연산 횟집입니다 가격은 싼편은 아니나 종업원 들이 친절하고 음식도 깔끔하고 좋아요
강동회수산,구은영,5.0,깔끔하니맛있었어요 물회먹는데 밑반찬도 잘나오고 애들데리고가도 밑반찬에나오는생선이나계란찜먹이면되겠더라구요ㅋ 다음에또갈께요
강동회수산,김걍스 (걍스),5.0,맛있게 잘먹었습니다
강동회수산,김찬우,5.0,울산 대표 회코스요리 전문점 단체 회식장소로 인기가 많은곳입니다
강동회수산,홍성경,5.0,"자연산 가자미회가 일품인 곳입니다.
정갈하고 깔끔한 곳이구요
가족들과 좋은 시간 보내고 왔네요"
강동회수산,안순수TV,5.0,회가 굉장히 맛있어요  가격대비 좋은거같아요!!
강동회수산,장기섭,5.0,가족들과 점심식사겸 물회 스페샬을 주문했는데 너무 맛나고 좋았네요 오후2시경 이었는데 재료들이 모두 소진되어 예약전화를 받지 않드군요 이쯤 되면 아시겠지요 지난번에도 손님들이 만원이었고 그건 맛나게 한다는 증거겠지요.
강동회수산,류윈현,4.0,명촌초등학교 골목안에 위치한 횟집입니다
강동회수산,김남진,5.0,시원한물회최고입니다^^
강동회수산,슈미니,5.0,"횟감이랑 함께나오는 쯔끼다시의 가짓수와 퀄을 보면
비싼편이 아닌것같음 사장님이 친절하셨음ㅁ"
강동회수산,BRS MIKU,5.0,8만원이 아깝지 않은 곳
강동회수산,s.h han,3.0,대방어 한상 14만원이네요 양이 좀 적었던거 빼곤 괜춥합니다
강동회수산,식도락(울산 식도락),5.0,물회 스페셜 아주 맛있음 모듬회도 구성도 알차고 밥먹기도 한잔하기도 좋은집
강동회수산,Jonggab Choi,2.0,"한마디로 엉망.
음식질 가짓수 청결도  음식값 모두 수준이하.
다녀온날 오후부터 3일간 설사했습니다.
리뷰에 속지마세요."
강동회수산,남윤성호,5.0,간단히 쏘주한자먹기어니좋은집ㅎ
강동회수산,남조현두,3.0,"가격대비 별로
45.000원 코스인데
만족 스럽지 못하네요"
강동회수산,하창원,5.0,오마카세 코스 추천합니다 녹차밥 보리굴비 콤보 애들이 엄청 잘먹네요 공주마마 식사합시요 이렇게하면서 드셔보세요
강동회수산,신해철,4.0,가격은 싸다고볼수는 없지만 금액대비 알차게 기본 찬이 아주 좋은 것같습니다. 6~7명이서 중자2개로 술도많이먹고 배도 부르게 잘먹고나온것같아요. 다음에도 또 가고싶네요.
강동회수산,하쿠나마타타,3.0,잘~나오고 맛있습니다
강동회수산,A RM,4.0,"명촌에서 횟집이지만 일식집처럼 반찬이 나온다.초반에 빨리 먹어야되며, 그때 그때마다 좋은 횟감이 있으면 그것이 나온다. 내가 갔을땐 봄도다리가 나와서 맛있게 먹었다. 가격은 조금 되지만 충분한값어치를 한다."
강동회수산,부산제일검,2.0,쓸데없는 퀄리티로 가격만 높음
강동회수산,이승엽,5.0,"방어 너무 좋았습니다.
푸짐하고 다른 요리들도 너무 좋았습니다"
강동회수산,Gang-wook Jeong,4.0,사이드메뉴가잘나와한번쯤가볼만하지만가격은조금높은듯...
강동회수산,태동이,1.0,"둘이 인당 5만원짜리 코스 먹었는데 이때까지 횟집중에 제일 돈 값 못한집
일하는 직원들 아가씨는 친절한데 나이 많은 아줌마 불친절"
