place_id,user_id,score,comment
개성쌈밥,이재윤,5.0,밑에 오래전 댓글평가가 좋치않아 안갈려고 했으나 지인분 믿고 가자고 하셔서 점심 시간때방문하여 10분정도 대기하다가 식사 주문을 했고 15분 가량 기다리니 나왔습니다. 사진과 같이 푸짐하게 나옵니다. 맛 짜고 누가 올리셨던데 뭐가 짠건지 모르겠더군요. 메인 반찬 고등어찌개 맛있습니다. 나머지 밑반찬들 간이 적당하고 된장국도 괜찮더군요. 쌈밥집은 역시 쌈이 중요! 정말 여러종류나오고 신선하더군요. 밑반찬 다 먹으면 리필…
개성쌈밥,김예지,4.0,부모님모시고 가기좋은집. 쌈종류 리필되구요. 고등어조림도 리필됩니다. 싫은기색 전혀없으셔서 기분좋게 먹었어요. 고기좋아하는 육식파인전 좀 허전했지만.전반적으로 만족도 굿~^^
개성쌈밥,Dong Lee,3.0,전형적인 쌈밥집이긴하나 가성비가 떨어지는 곳. 반찬의 종류가 해물류가 압도적으로 많은 게 마음에 안들었고 반찬이라고는 먹을 만한 게 김치밖에 없었다. 김치도 조금 짠편이어서 싫었고.…
개성쌈밥,한정림,2.0,"왜 쌈밥 전문점인지 모르겠음.. 우리동내 쌈밥집이 훨씬맛있고 싸다..
사장님은 친절 하신거 같은데...반찬이 맛이없고 된장 찌개 하나 먹을만 했음.. 그래도 쌈채서 많이줘서.. 그런가 ..이해하고 별 두개"
개성쌈밥,Billy Yu,1.0,가격대비 약간 부실하네요 생선이라곤 중아에 저놈하나 고기 없음 달걀찜 없는 쌈밥 처음 ㅜ ㅜ  쌈이 푸짐한것도 아니고 고등어하나로 쌈싸먹어야하는 정식집인듯 하네요 기본상차림 대비 비싸요
개성쌈밥,이경순 (밝은햇살),4.0,쌈밥만 제공 되는 식당입니다. 다른 메뉴가 없어서 좋아요
개성쌈밥,이응히읗지읒,5.0,"한상 가득 나오는 푸짐한 개성쌈밥 .
가끔 생각 날 만큼 입맛에 맞았던 집 .
... 물컵 쌓여있는 곳 에서 가져와야해서 그 점 이 조금 비위생적으로 느껴졌으나  :) 식사는 맛있었습니다 ~"
개성쌈밥,이보리,5.0,"정말 음식의 궁합이 환상적입니다
서울에서 내려오면 꼭 찾아가서 먹고 가는 집입니다 쌈싸먹을때 넣어 먹는 젓국맛이 기가 막힙니다"
개성쌈밥,차지환,5.0,음식이 맛있고 ㆍ서비스도 좋고ㆍ분우기도그런대로 좋았어요
개성쌈밥,용바우,4.0,"1인14000원에 쌈채소랑 미역.다시마
메인은 고등어조림과 된장찌개
멸치젓갈과 찬거리 몇가지..맛은 그럭저럭 괜찮아요.근데 가성비로 따지면 많이 아쉽죠.
반값이면 전라도식당 찬이 더 풍성할지도.."
개성쌈밥,고릴라 Gorilla,5.0,"점심시간 매우 붐빕니다.
맛은 있는데 서비스는 그닥"
개성쌈밥,최정은,5.0,간만에 맛있게 잘 먹었네요~
개성쌈밥,최선환 (가지산도령),5.0,"가끔가는 개성쌈밥 아내와 처제랑 갔는데 두분다 만족하십니다.
좋아좋아"
개성쌈밥,Hyun jini,1.0,"금액 완전 비싸고 맛없음.. 누가 맛집이래ㅎㅎ언양에는 맛집이 없나봐요~ 8천원짜리 쌈밥집보다 못한 곳ㅡ삼산동 땅 값 비싼곳 8천원짜리도 고기나오고 쌈 잘나오는데 가격이 15000원? 뭐 젓가락 가는곳이 하나도 없음! 사진에 보이는게 4인분이고, 잡채랑 두부구이빼고는 거의 손 안댐. 양 확인하세요~…"
개성쌈밥,어윤수 (어공),4.0,"쌈밥  한상에 맛있게 먹는 하루가 즐거웠습니다.
그중 양미리 조림 맛은 별미 이었으며,  된장에 각종 쌈을 싸먹는 밥도둑이 이거구나 싶네요"
