place_id,user_id,score,comment
갯바위횟집,굿맨,5.0,울산에 맛집을 찾다가 구글에서 평점이 좋은곳을 찾아 간 곳이 갯바위 횟집입니다. 여러분이 추천하신데로 음식이 아주 만족합니다. 매뉴는 따로 없어요. 그냥 앉으면 자동주문됩니다. 인원수 별로 가격이 있어요. 횟집의 여러 싸이드 음식은 없어요. 원래의 해산물에 충실한 횟집입니다. 그래서 더욱 만족합니다.  전체적으로 회는 싱싱합니다. 전복은 너무 싱싱해서 딱딱할 정도에요. 모듬회도 아주 싱싱하고 맛있습니다. 전체적으로 음식이 깔끔하고 음식점도 깨끗합니다. 직원분들도 친절합니다.
갯바위횟집,SR L,4.0,"음식의 식감도 좋고 신선해서 만족스러움.
직원분들도 친절하십니다."
갯바위횟집,김성학,4.0,"울산 강동누리길 초입에 있는 횟집으로 넘 맛난음식을 보았고,  바다에 떠있는 바위는 갈매기가 쉼터로~"
갯바위횟집,SANGHO LEE (Shawn),3.0,"밑반찬 괜찮아요 멍게, 전복, 미역국 좋았어요. 주차자리 넉넉하구 경치 나쁘지않아요  다만 대리 부르기 힘들고 회가  조금 작아요 매운탕은 그럭저럭 평범했어요. 전반적으로 나쁘지 않아요"
갯바위횟집,JungHwi Kim,5.0,"멍게,전복으로 시작해서 매운탕 까지... 싱싱하고 맛 있는 해물만 내놓기 때문에 일부러 먼 길 찾아갑니다."
갯바위횟집,카시오페아76,4.0,음식 잘 나와요. 싱싱하고 가격은 좀 합니다. 예약은 필수 인것같아요.
갯바위횟집,Jihee min,5.0,매번 갈때마다 싱싱한 바다생물이 올라옵니다. 미역국도 맛있고 문어숙회도 달큰하고 전복과 멍게도 참 맛있습니다. 메인인 모듬회까지 먹고나면 배가 정말 부릅니다. 하지만 우럭매운탕이 남아있죠. 우럭이 통째들어가 국물맛이 일품입니다. 식사를 다 마치고 셀프로 믹스커피 한잔 뽑아 가게앞 바다구경하시면서 식사의 여운을 만끽하세요.
갯바위횟집,권혁돈,5.0,"가성비 좋고, 싱싱한 회와 해산물이 끝내주는 맛집입니다"
갯바위횟집,jae ho Kang,5.0,마치 일류 요리집 코스를 먹는듯한 동네 맛집입니다
갯바위횟집,무릎탁!,3.0,"맛나긴 한데...
모듬회 2인 8만원 먹구 공기밥 2개 먹었는데
82000원이더라구요... 다소 띠용 했습니다..."
갯바위횟집,박성준,5.0,"깔끔하고 정갈함
전망이 아주 좋음"
갯바위횟집,장현진,5.0,정갈하고 고급스럽고 뷰까지 좋은 곳
갯바위횟집,김보미,5.0,미친맛 울산오면 여긴무조건가요ㅋㅋ 매운탕까지 완벽합니다
갯바위횟집,Jabin Kim,3.0,회는 괜찮아요 매운탕은 좀 매우니  고추가루 좀 덜어내세요
갯바위횟집,뭉이아빠,5.0,바로 앞 바다가 있어서 좋았어요
갯바위횟집,tv장캐롤,5.0,"맛잇고 친절~♥
매년 갑니당^^
바다는 변치않고 있어줌"
갯바위횟집,CR Ha,5.0,"상대적으로 저렴한 가격에 신선한 회와 그전에  입맛을 돋구어 주는 문어와 전복, 가리비 등이 너무 좋았습니다."
