place_id,user_id,score,comment
거부돌곱창,잡앤킬,3.0,"구이 맛은 여진히 울산 최고지만, 전골은.. 어렵네요.
두명이서 전골 구이 밥 2개 먹으면 8만원대
식사로 8만원은 부담될 수 있는 가격.."
거부돌곱창,Pablo _,5.0,"맛은 범접하지 못한 맛…ㅋㅋㅋ
커플이서 소주 한잔 마시면 10만원…ㅋㅋㅋ
비싸긴 하네요"
거부돌곱창,시니리월드,3.0,"오 이번에 완전 실망!
겁나게좋아했는데
이젠안갈거같아요!…"
거부돌곱창,boeun Kwon,5.0,"역시.. 옛날과 다름이 없네요. 사장님이 안계셨던거 말고는..
여전히 사람많고 맛있었어요~
주차는 진짜.. 영원한 난제 ㅋㅋㅋ"
거부돌곱창,정수웅,4.0,"오래된 가게지만 그만큼 친근함이 느껴지는 가게였습니다. 곱창을 초벌하여 주었는데 곱이 많아 고소했고 맛있었습니다. 전골도 심심한 간으로 나왔어요. 다만, 가격은 한우곱창이라 그런지 조금 비싼 편이었습니다."
거부돌곱창,장제현,5.0,구이.전골. 볶음밥 클리어 했습니다. 곱도 엄청 실하고 냄새 없고 전골은 칼칼하니 좋고 볶음밥까지 대만족하고 왔습니다 ^^
거부돌곱창,J H,1.0,"주인 바뀌고 맛이 변했는지
예전 줄서서 기다려 먹던 맛에 비해 별로에요
곱창이 양이 좀 적어서 더 시켜야 한다는데 저 돈 주고는 다시 안갈 양과 맛입니다"
거부돌곱창,동섭,4.0,울산에서 손에 꼽치는 곱창집중 하나!! 울산사람이라면 모를수없는 거부돌곱창. 곱창먹고싶을떄마다 한번씩 가서 먹는 맛집입니다. 공업탑쪽에 위치해있고 오픈시간때부터 많은 사람들이 줄서서 먹는곳입니다. 일단 소금구이와 곱창전골을 팔고있는데 반드시 한번가셨으면 소금구이 먹고 곱창전골먹고 거기에 사리추가하고 볶음밥까지 먹고 소주한잔으로 마무리해야합니다. 곱창이라 당연히 기름기가 많으니 속을 달래주기위해 소주가 필요한것이고 소주한잔하면 전골을 먹어야하기때문이죠. 가게는 오래된느낌이고 사장님이 좀 투박할수있어요
거부돌곱창,Young H John,5.0,"비싸지만 그만한 맛과 즐거움을 줍니다.
곱창구이보다 전골이 맛있습니다."
거부돌곱창,mj,5.0,"곱창이 제대로! 전골도 맛있고! 서울에서 이 가격이면 맛만 볼건데, 이 집은 가성비도 최고다."
거부돌곱창,함영일 (소실),2.0,"왜 인기가 있는지 이해가 안간다. 어이없을 정도로 비싼데다 솔직히 맛도 그닥이다. 구이야 뭐 특별할게 없으니 맛도 그냥그냥이고, 전골은... 니맛도 내맛도 없다. 와중에 가격은 비싸고 위생도 별로고 친절한것도 아니고,
이딴걸 줄서서??? 글쎄..."
거부돌곱창,Kwonho Han,3.0,곱창 1점에 2000원 ~ 2500원 비싼거같음
거부돌곱창,임채훈 (임채훈),5.0,"서울의 그 어떤곱창집보다 맛있던. 서울에차리구싶다.
3인분정도 시킨양인데 2명이 먹어도 모자라는. .."
