place_id,user_id,score,comment
경북횟집,Melon Musk,3.0,"바닷가 근처의 횟집을
일반적인 모습이네요
크게 맛있지는 않고
그냥 먹을만 해요"
경북횟집,수다폰,4.0,"맛있다, 외국인 입에 딱 맞다. 좋아하고 자주 먹는"
경북횟집,김희윤,5.0,"지인소개로 가본 집!
물회! 그저그렇겠지 했던 제가 잘못했네요!
물회는 정말 이곳저곳 다 먹어봤지만 단연코 경북횟집이 최고입니다!"
경북횟집,박안기,4.0,"점심 식사로 물회가 최고
물회 주문시 매운탕까지 나와서
추가비용 없음"
경북횟집,류재석,5.0,"대게 맛나네요~
고가지만 값어치 한듯~"
경북횟집,윤경희,5.0,살이 매우 촉촉하고 탱글탱글해요.
경북횟집,김윤희,5.0,"사장님,직원분들 전부 친절하시구요. 모자람없이 많이 주십니다. 반차들도 전부 손가는 것들이구요.회도 깨끗하게 잘나오고 매운탕이 너무 시원하고 맛있습니다."
경북횟집,김용한 (James Kim),1.0,대게먹기전 키로에 6.5만원이었으나 먹고나서 계산하려고보니 키로에 7만원에 계산함. 맛을떠나서  장사의 기본인 신뢰가 안되네요 어떤걸로 덤탱이를 칠런지...
경북횟집,놉노노,5.0,회식때 먹게되었습니다. 회는 뭐 보통이구요. 우럭구이 맛있습니다. 매운탕도 괜찮았었습니다. 자주방문하지는 않지만 사장님도 친절한 편이었습니다ㅏ.
경북횟집,IG P (개수사),5.0,주인장 써비스가 너무 좋은집이였습니다
경북횟집,Grace Lee,4.0,"물회 맛있음
서비스로주는 매운탕도 괜찮고"
경북횟집,박은영,5.0,양도 푸짐하고 맛있게 먹었어요 ㅋㅋㅋ 울산 횟집을 찾으신다면 대게맛있게 먹고싶다면 여기추천 ㅋㅋㅋ
경북횟집,박석준,5.0,자연산 회를 맛있게 먹었어요
경북횟집,정찬수,4.0,"맛있게 잘 먹었습니다^^
전복, 멍게, 산낙지~까지
매운탕도 맛있어요^^…"
경북횟집,임유정 (윤유21),5.0,기본 찬이 많이 나오고 맛있어요 ｂ
경북횟집,Ally Hwang,4.0,"진한 육수 부어 먹는 물회가 아닌데도
맑은 육수에 잘 버무려진 회가 달콤새콤 ㅋ
기본으로 주시는 매운탕도 얼큰하니 쐬주일병 땡깁디다ㅋㅋ  화장실은 그닥.. -별하나"
경북횟집,박정민,5.0,"대게를 먹었는데 맛도 양도 상차림(참가자미 회,  물회 포함)도 최고였습니다.  아이가 낙지 좋아한다니까 서비스도 주셨어요~  큰 가게는 아니지만 정말 좋았어요^^"
경북횟집,안성철,5.0,"경북청도에서 생각나면 먼길 마다앟고 단숨에 달려가는 울산 방어진 어시장 횟집 !
특히 물회맛은 정말 일품이며 가격도 1만삼천원으로 저렴하고 덩달아 같이 나오는 매운탕 맛도 끝내줍니다.
대게,킹크랩등도 저렴하고 맛있어요."
