place_id,user_id,score,comment
경아식당,또잉,5.0,"친절하시고
안주맛있어요
분위기도 좋구
진저하이볼도 최고"
경아식당,민희김,5.0,"거의 오픈 때부터 다니는데 맛, 친절, 위생까지 무엇하나 처음과 달라진 게 없어요.
서비스도 잘 주시고 늘 맛있는 음식을 하시려 최선을 다하시구요.
모야시앙카케는 실패한 적 없는 메뉴!…"
경아식당,김선옥,5.0,"이 집은 안갈 이유가 없는 집♡
맛 없는 안주도 없고 기본으로 나오는 양배추 조차 맛있는 집!
모야시앙카케랑 나베 최고!…"
경아식당,seoyeon書瑌,5.0,"연어사시미 좋아하는 아이때문에 아이도
데려가야해서 문의했더니 독립된 둥근테이블
예약해주셔서 아이들 데리고 가서 눈치안보고…"
경아식당,Yenny Kim,4.0,음식도 깔끔해서 맛있어요. 테이블이 꽉차서 만석인데도 직원분들이 하나같이 다 친절하세요. 아쉬운게 있다면 술집이고 테이블도 꽤 많은 이자카야다 보니 소란스러운건 감안해야합니다.
경아식당,이순원,5.0,"여기엔 모든 메뉴가 찐으로 맛나요
거기다 친절한 사장님에 서비스는 덤이랍니다^^"
경아식당,Alex Kim,4.0,"남부경찰서 인근에서 울산여상가는 골목길에 있다.젊은 층이 찾는 이자카야로 내부 분위기가 좋다.
메뉴는 다양하고 일식 안주류가 있다.
가격이 좀 있는 편이지만  맛을 잘 내고 있다.…"
경아식당,하현영,5.0,진짜 맛있어요 연어먹고 꼬치구이 먹었는데 요 근래 먹어본중에 최고였어요 근데 개미가 나와요 계속나와요 개미 5마리 잡았어요 개미도 맛있는걸 아나봐요 맛있어서 개미있어도 또 갈것같아요
경아식당,박윤환,4.0,"음식맛도 좋고 특히 숙주볶음이 정말 맛있습니다
직원분들도 친절하셔서 더 좋았습니다.
4인 정도 가시기에는 좋은곳이라고 생각됩니다"
경아식당,_뚜인,5.0,직접 화덕에 구운 꼬지와 스키야끼 정말 맛있어여 양도 많고 ㅠ 절로 맥주가 들어가던... 친구와 일 마치고 가서 느즈막히 먹던 추억이 있어요 자주는 아니더라도 가끔 생각 나는 선술집이에요 바에서 마시면 꼬지 몇 개 서비스로 맛보라고 주시던 사장님.. 아직도 감동 받은 그대로입니다 ㅎㅎ
경아식당,쑤니,3.0,연어는역시~~경아식당이 최고죠~근데 너무 시끄러워서~
경아식당,설탕공장,4.0,맛도 굿~ 분위기도 굿~
