place_id,user_id,score,comment
고래고기원조할매집 본점,강선영,3.0,"3명 고래수육 대 먹었는데 양이 너무 적네요.
찌개는 좀 싱거운 것 같고..
너무 기대를 하고 갔는지 실망입니다.ㅠㅠ
야경은 멋지네요."
고래고기원조할매집 본점,임영준,2.0,역시 고래고기는 호불호가 많이 갈림
고래고기원조할매집 본점,김영미,2.0,"처음 접한 고래고기...
수육은 약간 냄새가 나는것 같고 뱃살하구 꼬리부분이 좀나은듯
가격대비해서는 그저그렇다…"
고래고기원조할매집 본점,최갑진,5.0,고래전문점 이라 맛있어요
고래고기원조할매집 본점,최정엽,2.0,처음 맛보는 곳이라서 적응이 안돼요
고래고기원조할매집 본점,Jink H,5.0,"고래고기를 처음 먹어보는데
맛있었고
고래고기 향이 신기함"
고래고기원조할매집 본점,ㅇㅇ,5.0,"포항스틸러스 원정경기 (포항:울산) 가다가 들러서
고래고기 먹었는데 넘 맛있게 잘 먹었습니다."
고래고기원조할매집 본점,이로준,1.0,뷰는 좋다 하지만 고래고기는 호불호 심할듯 난 불호
고래고기원조할매집 본점,주현식,5.0,난생처음 먹어본 고래고기^^
고래고기원조할매집 본점,Jongmun Jang,4.0,가격은 비싸지만 쫄깃 쫄깃한 생고기와 맛있는 수육에 소주한잔으로 봄을 한껏 느낀 맛 !!!
고래고기원조할매집 본점,김채은,3.0,"가격대비 별로예요.
고래고기가 비싼건알지만 진짜 딱~~!!
고래고기만 나오는집.
밥먹을려면 20000원짜리 찌개를 시켜야 먹을수있음"
고래고기원조할매집 본점,kabseob Lee,5.0,맛있습니다. 죽여죽니다.
고래고기원조할매집 본점,GOOGLE GUIDE KOREA,5.0,고래고기 시식에는 최고로 적합하다. 가격도 좋고 제공량도 많다. 그러나 처음 먹거나 비위가 약한 사람은 쉽게 먹을 수 있는 고기는 아니다.  그냥 경험상 먹어보는데 의미가 있으니 각자 일인분을 시키지 말고 네명이 3인분 정도로 줄여서 주문하자.  우리도 소주 없이 먹기에는 어려웠다
고래고기원조할매집 본점,엑기스,5.0,고래고기의 수육은 두꺼운지방층의 부위별 다양한 맛과 식감을 주네요.^^ 함께 건강도 챙기시고  얼큰한 전골도 추천드립니다.~~♡♡♡
고래고기원조할매집 본점,이경숙,1.0,"11시에 갔더니 11시30분영업이라고해서
돌아다니다 28분에들어갔더니
한숨쉬면서 들어오라고하더라구요…"
