place_id,user_id,score,comment
골든드롭,Jack Lee,5.0,울산 성안동에서 시내 야경을 내려다보면서 커피 한 잔.. 정말 완벽한 곳에 자리 잡았네요. 커피와 베이커리 모두 만족스럽습니다. 한여름인데도 이렇게 시원할수가~~
골든드롭,울산사람,4.0,경치 좋고 주차장 크고 음료 맛있네요 야경등이 한눈에 보여서 좋습니다 점원 분은 조금 무뚝뚝
골든드롭,이인향,5.0,"진짜 친절하셨어요.
점심후 커피타임 이잖아요?!!
그렇게 손님이 많아도 친절하고 서비스가 좋았어요^^…"
골든드롭,문다희,5.0,"넓고 뷰도 좋아요
커피,빵 모두 맛있습니다"
골든드롭,Min또기,4.0,"생크림 케잌이 맛있다고해서 찾아갔어요ㅎ
언덕에 있어서 성안동 뷰가 멋진곳!
음료 및 케잌 가격은 조금 비싼편?이었어요.…"
골든드롭,김용술,3.0,"울산을 내려다 볼 수 있는 뷰가 최고인 카페
주차공간 탑 티어"
골든드롭,쏭마샤,2.0,화장실 관리 안되고 모든게 다 셀프인데 커피값이 비싸고 커피맛은 스벅수준. 비싸서 다시는 안갈듯. 공간이 매우 좋은것도 아님
골든드롭,Juhee Jang,4.0,"루프탑에서 울산 야경을 보기에 좋아요~
실내는 조명이 조금만 어두우면 좀 더 밖을 보기 편할것 같아요~
다양한 빵도 있었어요"
골든드롭,한한수,5.0,"아늑한 분위기
가족, 모임단체 좌석이 많이 있어요
커피와 빵이 정말 맛 있어요
한 번 꼭 경험하시길 바래요~~"
골든드롭,Bokam Bae,5.0,"체인이 아닌 카페였습니다.
커피도 좋은 원두를 사용해서 자체에서 직접 로스팅하여 사용하더군요!!!
그리고 자체에서 제빵까지도 하더군요!!!…"
골든드롭,김나니,4.0,꽤 넓었는데 사람들이 많아서 핫한 카페구나 싶었습니당! 빵과 커피를 따로 계산해야하는게 불편했는데 뭐 그래도 맛은 괜찮았습니다. 수박주스는 밍밍했는데 크로와상은 보긴 좋은데ㅎㅎ잘라먹으려니 불편하더라구요. 그치만 날씨 좋을때 가면 좋을거 같습니당!!😃…
골든드롭,김희정,5.0,"주차장도 아주아주 넓고, 특히 빵이 너무너무 맛있어요.
빵만 따로 주문해서 사가는 사람들도 있구요, 커피맛도 진합니다.
아쉬운건 디카페인 메뉴가 없어요."
골든드롭,H.M. LEE,5.0,이름에 구애받아서인지 실내에 도금된 느낌이 확실히 나서 재미있었습니다. 커피만 마셨는데 맛은 확실했습니다. 꼭대기 야외에서 보이는 경치도 휼륭했고요. 다음엔 빵도 먹어 봐야 되겠네요.
골든드롭,Gaeun J,5.0,"3층 루프탑에서 성안동 야경이 잘 보여요
반짝반짝 넘나 이뻐요
지금은 여름이라 8시쯤되야 완전 확 어두워지네요"
골든드롭,안순수TV,5.0,"옥상에 야경이 좋아요
한번쯤 들려보세요"
골든드롭,심만종,5.0,넓은공간 전망좋은위치 맛있는음식 깨끗한 화장실등 전반적으로 맘에드네요
골든드롭,김혜선,5.0,"사람 매니매니매니 많음
주차장도 크고 카페도 커서 오기 좋음"
