place_id,user_id,score,comment
곱간 울산본점,U2Y업투유,3.0,곱창전골 맛있었어요
곱간 울산본점,울산거상,5.0,맛있어요. 구이도 전골도 맛있어요. 가격이 조금 있지만 다른 곱창집도 비숫하니까…ㅎ
곱간 울산본점,김아미,1.0,"양이 1인분에 250g이라고 정말 작게적혀있어요 상식적으롲3인분이면 750그램 수분무게 빠져도 저런 양일수는없어요  일부러 모듬아니고 곱창,대창구이만 시켰는데요..
곱창2 대창1 시켰는데..양 비슷하게 나왔고 곱창은 질겨서 먹다가 몇번을 뱉어냈네요
공기밥은  가득줍니다 하지만 곱창,대창 양을 나와있는것과 너무나 다르게 주니 황당하네요"
곱간 울산본점,bellagio,4.0,맛은 정말 괜찮은데 가격에 비해 양이 적음 그럼에도 기본으로 제공되는 시래국이랑 곱창이 계속 생각남
곱간 울산본점,YD K,4.0,곱창모듬 먹을수 있는곳
곱간 울산본점,jisang yoon,5.0,마늘모듬 맛있음
곱간 울산본점,박대훈,4.0,마늘곱창 최고최고
곱간 울산본점,bbui bbui,5.0,
곱간 울산본점,혜은,5.0,
곱간 울산본점,안재국,5.0,
곱간 울산본점,sangwoo .p,3.0,
곱간 울산본점,joo,4.0,대창을 싸게 맛있게 잘먹었네요^^내륙과 해산물 둘다 공존하는 울산의 맛집이었구먼요
곱간 울산본점,멍멍,4.0,
곱간 울산본점,K,1.0,진짜 좋아하는 집이였는데 먹는데 벽에서 ㅈㄹ 큰 바퀴벌레 기어다녔어요................... ㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠ 막 사장님한테 말하고 엄청 놀랐는데 종종 문열어두면 들어온다고 엄청 아무렇지 않아 하심........... 사과도 제대로 안하시고........ ㅠㅠ
곱간 울산본점,ㄹㅇ,4.0,
곱간 울산본점,불친절탐지로봇,1.0,완전 느끼합니다
곱간 울산본점,지극히주관적입니다,2.0,짜요 ㅠ
곱간 울산본점,)),5.0,다른걸 안먹어봤는데 곱창으로 할수있는 제일 맛있는 요리라고 생각함이날 기억이 없음
곱간 울산본점,J,5.0,맛있음 비싸지만 ㅠㅠㅠ
