place_id,user_id,score,comment
금강산삼계탕,Donggeun LEE,5.0,"울산 남구 삼산동에 위치한 금강산 삼계탕집에
다녀왔습니다.
날씨가 쌀쌀한 요즘 뜨근한 국물과 몸 보신차 가까운…"
금강산삼계탕,김권성,3.0,"한때는 울산 삼계탕 원탑이었지만

어느 순간부터 내리막길…"
금강산삼계탕,Alex Kim,4.0,"삼계탕 전문점이다.주문하면 3분내에 테이블위에 도착한다.
전골냄비에 맛깔나게  양념된 닭고기가 서비스로 나온다.
주차는 넓은 편이라 편리하다. 겉절이와 깍두기가 맛있다."
금강산삼계탕,김인순,4.0,"손님이 만음
항상 그만 그대로~~^^"
금강산삼계탕,Dongman Lee,5.0,"장마에 아침부터 비가 내려서 불국사에서 우중 산사 분위기를 느껴보기로하고 경주로 떠난다. 불국사, 석굴암을 찍고 감은사지까지 돌아보니 시장기를 느낀다. 문무대왕릉을 보면서 물회를 먹을까 하다가 더위에 몸보신을 생각하니 삼계탕이 떠오른다. 울산 삼계탕을 검색하니 금강산과 대가야가 윗쪽에 오른다. 넓은 주차장이 맘에 들고..…"
금강산삼계탕,Min또기,4.0,"닭불고기 서비스, 오이반찬 맛있어요. 삼계탕도 간이되서 짭조름 맛있어요"
금강산삼계탕,김아미,4.0,맛있어요
금강산삼계탕,김보근,5.0,울산 출장오면 꼭 들리는곳 주차는 크게불편하지 않음 주차 아저씨들이 안내를 잘해줌... 맛은 말할필요없이 맛있음 몇년이 지나도 맛이변하지않음... 닭갈비가나오면 젖가락으로 슬슬슬 저어주면도 다익을때쯤  밑반찬이나오는 닭똥집과 같이 인삼주 안주로 딱임...맛집임..
금강산삼계탕,jiho park,3.0,복날이라 바쁜건지 직접 만들어먹는 똥집볶음이 사라짐
금강산삼계탕,ChangMin Eym,4.0,"중딩 시절부터 다녔던 곳인데 여전히 손님 많네요.
여름철에는 항상 번호표 대기해야 하고요"
금강산삼계탕,JJ,5.0,"간이 딱 되어 있고 맛있어요.
그리고 건강해지는 느낌 좋아요 ㅋ"
금강산삼계탕,GOAT,5.0,예전엔 비싼 느낌이었는데 지금은 다른곳이 올라서 가격도 괜찮음. 맛있음.
금강산삼계탕,김주열,1.0,"중복날이라 바빠서인지  오로지 매상에만 신경쓰는듯 서비스닭불고기는  아예빼버리고  영업을 하네요  초심을 버리지않는
식당이되기 바랍니다"
금강산삼계탕,무거1000,5.0,반찬 세팅부터 삼계탕이 나오기까지 상당히 빨라서 좋습니다. 물론 음식도 만족스럽습니다. 울산에서 삼계탕하면 이집 아닌가요?
금강산삼계탕,El God,5.0,"진심 오랜만 방문!
춥고 기력회복 필요때 필수!
밑반찬도 👍👍…"
금강산삼계탕,신낭만낭만,5.0,"삼계탕을 먹으러 나갈까?
생각을 하게 되면 금강산 삼계탕! 이죠ㅎㅎ
여전히 그 자리에 있네요. 삼계탕 외식은 오랜만이라~…"
금강산삼계탕,with Park,4.0,주차장넓음 몸보신필요할때 가끔 감
금강산삼계탕,최승분,1.0,"주차장에서 사람이 서있는데 주차요원이 주차안한다고 신경질을 내시고 식당에 들어가서 주차장이야기를 하니까 밖에서 이야기 하라하면서 여기서 안먹으면되는거 아니냐고 배짱을 부리시더라고요.
금강산 장사 잘된다고 인성은 어디에다갔다 버리셨나봐요…"
금강산삼계탕,김규리,5.0,그래도 보양식은 삼계탕이지요..제법 큰 규모에 울산에서 꽤 오랫동안 삼계탕전문점으로 이름을 떨치고있는 곳 입니다..
금강산삼계탕,가젤톰슨,1.0,전성기땐 못가봤지만 닭누린내 나는걸로 봐선 변했다는말 맞는거같아요. 서비스 닭갈비도 딱 상상가능한 그맛. 저희일행은 몇점먹고 다남겼습니다. 인삼주도 술에 물탄느낌 ㅋㅋ 옆집이 훨 낫습니다
금강산삼계탕,머리하는봄희,5.0,중복 전날 몸보신하러 찾은 금강산삼계탕! 중복전날인데도 사람도 많고 양은 적당하고 맛있었어요😄…
금강산삼계탕,손종현종현,3.0,삼계탕.자타가인정하는맛집입니다.밑반찬도맛나고다좋은데~건물자체가오래되어서화장실문잘안닫히고.냄새도많이나고아주불쾌했습니다.사장님돈도많이벌었는데개선좀좋을텐데.
금강산삼계탕,박하림ᄉ111,5.0,"삼계탕도 맛있고, 찬으로 주는 닭똥집볶음이 너무 좋아요."
금강산삼계탕,윤상훈,5.0,음식 잘나오는 닭 백숙집 평타이상입니다. 인삼주는 덤 그러나 매번 차를 가져가서 술은 반납만 하고 온다는
금강산삼계탕,HyunOck Kang,5.0,직원분 완전 친절하심><
금강산삼계탕,이경연,4.0,가격이 살짝 있음. 이정도 가격에 이맛 못내면 바보인듯
