place_id,user_id,score,comment
김대통의 대통물회횟집,홍주리,4.0,간자미 초무침과 아구탕 인데 간자미 초무침 너무너무 맛있어요 완전짱  담번에는 물회에 도전해봐야겠네요...!제 입에는 참맛있더군요  메인요리가
김대통의 대통물회횟집,김혜미,2.0,"물회의 회양은 작고 야채만 많은 느낌이구요
소스도 새콤한 느낌이 하나도 안들었습니다
가격대비 맛이 아쉬웠습니다"
김대통의 대통물회횟집,이은혜,5.0,"와이프폰으로 작성한것입니다.
맘까페에서 소개되어 만삭인 와이프와함께 가서 먹었지요~~  사진찍을 겨를없이 먹었습니다~  맛나네요^^ 와이프 물회는 사진찍기전에 이미 드시고 계시기에ㅎㅎ 못찍었고 제꺼인 회덮밥은 건졌습니다
맛있었습니다."
김대통의 대통물회횟집,작곡가조영민,4.0,양이 부족...맛나게 먹었습니다. 활어 느낌이 덜드는...이거뭐지... 매운탕에 공기밥 꼭 추가하세요. 매운탕 일품.
김대통의 대통물회횟집,박연희,5.0,"기대안하고 갔는데 물회가 맛있었던곳
막썰어회도 추천!!야채거리, 반찬, 매운탕까지 굿이에용~~강추!!
또 갈꺼에욥♥"
김대통의 대통물회횟집,이윤규,4.0,육수가 시원하고 깔쌈하니 맛있네요~ 여름엔 줄서야할듯요
김대통의 대통물회횟집,YOLO yolo,5.0,"제 입맛에는 포항 환여횟집보다 맛있어요.
야채 채도잘 썰려있고 육수 간도 딱좋아요.
강추에요."
김대통의 대통물회횟집,Marie Park,2.0,방문리뷰보고 찾아갔는데 완전실망! 기본반찬도 손가는게 딱히없고..  물회는 안먹어봤는데 그건 맛있었을까요? 매운탕맛을보니 음식솜씨가 좋을거 같진 않음
김대통의 대통물회횟집,반지금,5.0,"텁텁하지않고 깔끔
밑반찬은 크게많지않지만
맛있어서 찾게됨!"
김대통의 대통물회횟집,yuna S,4.0,육수도션하니..맛나고 미역국도 시원하니 두그릇먹었어요^^
김대통의 대통물회횟집,명창윤,4.0,"가끔 퇴근할때 물회포장후 집에서.....
너무 정성가득 포장해주시네요
맛나요
겨울에도 딱이예요"
김대통의 대통물회횟집,김숙자,5.0,부모님 모시고 한번더 갈 계획 입니다~~^^♡♡
김대통의 대통물회횟집,Hyuk-Joo kwon,5.0,회도 괜찮은데 회 외에 부대음식이 잘 나와서 좋습니다
김대통의 대통물회횟집,임민선,4.0,대방어 大 4명이 잘 먹었어요.
김대통의 대통물회횟집,마노디베네,4.0,"모듬회 먹었는데 많은 반찬이 나오는건 아닌데 주시는것 대부분이 맛있어서 좋았어요
서비스로 주시는 물회육수가 너무 맛있는걸로 봐서 물회도 맛있겠어요
그리고 주문받으시는 아주머니 넘 친절하세요"
김대통의 대통물회횟집,최승호,4.0,"회덥밥은 먹어봤었고 물회는 처음인데 소면, 밥이랑 같이 말아먹으니 여름에 먹을만하네요.. 직원들도 친절하고 실내도 시원하니 좋습니다.. 저는 여름에 현관문 열고 장사하는 가게는 안들어갑니다.."
김대통의 대통물회횟집,서해새우,5.0,물회 맛있게 먹었어요.
김대통의 대통물회횟집,이혜민,4.0,"물회가 맛있있어요
더운날씨에 시원하게 잘먹고 갑니다"
김대통의 대통물회횟집,이짱모,4.0,"싱싱한지는 모르겠네요...미역국 직접 떠먹으면 무한리필... 생각보다 회 양도 살짝 아쉽습니다. 매운탕3천원 추가, 밥2공기 2천원...."
김대통의 대통물회횟집,박규범,3.0,"물회맛은 맛있는편입니다
홀써빙 아주머니가 굉장히 불친절하고 식욕을떨어뜨려서 문제인곳
벨 눌러도 폰보고있는 아주 특별한 경험을 하게해준 기억에 남는 음식점입니다"
김대통의 대통물회횟집,이두환,5.0,대방어 맛이 정말 좋네요 회가 신선해서  맛있게 잘 먹고갑니다. 다음에 또 방문 할께요~
김대통의 대통물회횟집,김용훈,3.0,"회와 해산물이 다양하게 들어있는 물회... 살얼음육수.. 엄청 시원하고 맛있습니다.
다만 주차공간이 좀...ㅡㅡ;;"
김대통의 대통물회횟집,주김,4.0,위치 좋고 양도 좋아요
김대통의 대통물회횟집,김준휘,4.0,"알려진물회맛집 달콤매콤하게 안물리게잘먹을수잇음
다만탕메뉴주문시덥다고주문이안됨ㅜ"
김대통의 대통물회횟집,강지윤,1.0,물회 15000원 반찬3개. 회 흔한 저렴한 고기. 가성비 너무 떨어짐. 물회 먹으러는 다시는 안갈듯
김대통의 대통물회횟집,김경철,4.0,처음으로 가본곳이며 물회가 맛나네요..좋왔어요..근데 처음입장할때 약간 비린냄새가 나는게 흠이네요..
김대통의 대통물회횟집,로프타는남자SAFERS,4.0,맛있고 가성비 좋아요
김대통의 대통물회횟집,허정은,4.0,횟감의 신선도가 너무 좋았고 사장님 과 종업원 친절함과 까끗한 음식과 식탁에 꽃송이 또한 분위가  아름다운 을 더했습니다
김대통의 대통물회횟집,온누리TV,1.0,"시원한맛으로  먹었음
여름에 대방어회는 아닌듯
회  품질이 떨어졌음"
김대통의 대통물회횟집,손재홍,2.0,"가격에 비해 양도 적고 나오는 기본 반찬도 너무 빈약합니다
1만원이면 딱 좋을듯함"
김대통의 대통물회횟집,송정희,1.0,"이렇게 회가 맛이 없는 집은 오랜만
밑반찬도 다 말라서  .....
모처럼만의 만찬이 실패로...."
김대통의 대통물회횟집,Junbong Lee,5.0,로컬들이 자주 가는 맛집. 대로변에 위치하지 않음에도 많은 사람들이 찾는다. 특물회 추천.
김대통의 대통물회횟집,Sangbum Hwang,4.0,"후식으로 주문한 물회가 15천원이었다. 너무 비싸 놀랐고, 기대에 못미쳐서 실망했다."
김대통의 대통물회횟집,차재호,3.0,예전보다 후퇴한느낌 셀프미역국은 맛있음
김대통의 대통물회횟집,이동형 (hyeong2a),4.0,서비스 좋아요 회 양은 좀 적었구요 모듬회 종류 괜찮았어요
김대통의 대통물회횟집,너너,5.0,코스로 나오는데 하나하나가 신선하고 맛있었음
김대통의 대통물회횟집,하현영,5.0,무조건 모듬회로 하세요 배터지게 맛있게 먹었습니다
김대통의 대통물회횟집,이승우,3.0,저는 개인적으로  별루이고요.주차장 시설이 없다보니 그닥.
