place_id,user_id,score,comment
노방촌,뉴깜,4.0,"손님많음.
주차자리는 부족.그래도 갓길에 센스있게.
밑반찬및 메인메뉴 맛있음.…"
노방촌,고릴라 Gorilla,5.0,"노방촌🦆

🏠 울산 울주군 청량읍 청량천변로 131…"
노방촌,JH Choi,4.0,밑반찬이 매우 잘나옴.. 로스를 먹었는데 괜찮았고 다음번엔 불고기를 먹어보고싶다... 탕은 크게 깊은 맛은 안나지만 칼칼하게 먹기 좋았음
노방촌,Im Kim,5.0,우연히 한국여행길에 친구와같이 소문듣고 갔는데 첫날에 노방촌 오리불고기를 시켰을때는 반반한 마음에 기다렸는데 힐링 오리불고기에 반해서 다음날 또다시 옆에 노방촌 가서 이번에는 양념 오리불고기를 먹게 되었는데 이또한 너무~맛있어서 반했어요.가게도 깨끗하고 일하시는 이모님들도 엄청 상냥하시고 밑반찬도 깔끔하고 거기에 싸먹었던 시콤새콤달콤한 어린배추초절임 같은데 산초와 같이쌈으로 먹었던 맛이 너무 맛있어서 잊을수가 없을것 같네요~…
노방촌,견민,4.0,"점심을 먹었는데 반찬도 맛있었음
개인적으로는 초피가 들어간 음식이 있어서 특히 좋았음"
노방촌,유정옥,5.0,"버섯불고기? 오리를 대패처럼 얇게 해서 간장양념한거,
채소도 많고 건강식으로 맛있게 먹었어요!
제피가루 들어간 열무김치 등 밑반찬들이 나물류가 많아
대만족!"
노방촌,SH “겐조flowers” P,5.0,"진짜
밑반찬이 최고
손안가는거없이 정말맛있게먹고왔어요"
노방촌,Cold Coke!,4.0,다 좋지만 주차장이 거리가 있음
노방촌,신재섭,5.0,예전엔 감나무집이 대세였다면 요즘은 이집이 이 오리고기 라인의 1등이라고 생각함
노방촌,오정옥,5.0,언제나 와도 친절하고 맛있어요
노방촌,손주은,1.0,"불앞에 고기 구워먹는데 넘 더웟어요
에어컨온도가 28도에서 고정~
이열치열하라네요"
노방촌,박순옥,4.0,메인인 오리 불고기도 맛있지만 같이 주문하면 나오는 오리탕이 다른집들과 달리 뼈가 발라져나와 무와함께 시원하고 깔끔하니 맛나더라구요.가까운 곳에 요런 맛집이 있어 행복하네요.
노방촌,BBang_ G,4.0,"오리불고기+오리탕 51000원인데 4인 먹기 딱 좋아요.
볶음밥은 별로라 별 한개 뺐구요.
마지막에 숭늉도 나오니까 감안해서 밥 적당히 시키세요.…"
노방촌,윤창호,2.0,주메뉴의 맛도 좋고 밑반찬도 괜찮음. 단 서비스는 기본이 안되어있음. 퉁명.불친절.등등
노방촌,박서현,5.0,"소금구이, 양념구이, 탕 모두 맛있어요.
특히, 맡반찬모두가 맛있게 나옵니다.
가족, 친구들과 함께하면 더 맛나겠지요"
노방촌,저런,5.0,오리불고기 먹었는데 엄청맛있었어요!! 생고기로 주셔서 오래 걸렸긴 하지만 그렇게 자극적이지 않은 깔끔한 맛이였어요
노방촌,YOUNG HYUK AN,3.0,"울산 구치소 근처에 있는 곳 , 울산대~~>울과대 쪽으러 올라가는방향 쪽으로   (신)울주군청 방향으로 올라오다 좌회전 신호 받는데 보면 구치소 라고있음 그럼 그 길따라서 가면 오리고기 집 나타남 맛은 엄청 맛있어서 미칠것같다 정도는 아니지만 그래도 밑반찬도 잘나오고 괜찮은데 가격이.조금 비싼거같음"
노방촌,몽슈킴,4.0,오리불고기 오리로스 오리탕 맛나요~
노방촌,Junwoo,4.0,정겹고 맛있는 곳~^^ 매우 추천 맛집~ 오리불고기와 막걸리의 환상적 궁합~ 막걸리가 조기에 매진될 수 있으니 이 점 유의하세요~^^
노방촌,디노DINO,1.0,"단골인지10년째이네요~^^;;
음식은갈수록맛없어지구....
화장실은얼어서물도안내려가구..손도씻을물도없구..ㅜㅜ…"
노방촌,민왈기,4.0,반찬류 가 매우 마음에 드는곳 오리도 괜잖음
노방촌,ji hea lee,5.0,오리고기에다 야채도 많이 주고 신선하고 맛있음. 오리탕도 맛있고 항상 손님이 많음.
노방촌,전연주,4.0,오리고기 맛집!
