place_id,user_id,score,comment
농도,농촌식당추어탕네이버쇼핑검색,5.0,"차마시러갔는데 좋은자리 잡으려면 일찍와서
식사하고 차마셔야할거같아요
바닐라라떼는 뭔가 허전했고…"
농도,김병옥,5.0,"간간한 비빔밥에 따뜻한 건강차, 자그마한 다과~ 깔끔하고 정갈한 음식점이에요..
셀프로 음식 받아와야하고~
14:00 밥집 끝…"
농도,천나래,3.0,"식당겸 카페가 같이 하는 분위기 좋은곳 이였습니다.
비빔밥도 이쁘고 같이 나오는 미나리 물회가 입가심 하기에 정말 좋습니다. 식하후에 디저트로 먹고 차도 같이 먹으면 좋습니다. 카페로 생각하시고 가셔도 좋은곳 입니다."
농도,이준근,5.0,고즈넉한 분위기에 슴슴한 음식맛이 어우려져 기분좋은 나들이가 완성된것같습니다. 미세먼지 있는날 방문해서 조금 아쉬웠지만 조용한 시간대에 가면 좋은곳인것 같습니다.
농도,Gyeongsoog Kim,5.0,"농도는 찻집(형대식건물)과 밥집(한옥)이 공존한다.
신불사에서
내려와  석남사로 가는 입구에서 만난 공간이다.…"
농도,dodo,3.0,"예전과 다르게 비빔밥도 팔더라구요.
전엔 사람들이 넘나 많아 들어갔다 그냥 나왔는데 오늘은 별로 없었어요.
비빔밥은 어떤지 모르겠지만..
커피맛은 음.. 저는 별로ㅋㅋ"
농도,조덕환,5.0,"한옥으로된 식사와 커피를 마실수 있으며 주차장도 있어요.
작년 여름에 오고 설날 연휴에 잠깐 바람쉴겸 왔는데 여름만큼은 아니어도 꾸준히 찾는곳인것 같아요.
봄에 작천정 벚꽃보러 와야겠어요."
농도,Dane Lee,5.0,앱을 통한 대기 시스템을 거쳐 주말에 한 2~30분 웨이팅 후 입장. 공간은 생각보다 쾌적했구 사람이 가득했지만 목소리가 울리지 않은 점이 좋았다(한옥이라 그런가?) 미세먼지가 많았던 날에 방문해 알프스 전망이 썩 좋지 못해 아쉬웠다.
농도,김춘훈,5.0,"분위기 좋고 점심에만 파는 비빔밥 너무 강추입니다.

좋은사람이랑 가기 괜찮아요~
빵도 맛있는데 비빔밥이랑 후식요고 맛나요"
농도,김Zero,4.0,"비빔밥 너무너무 맛있어요ㅠㅠㅠㅠ
고추장 안들어갔는데도 맛있는...,,,,,
다만 차가 없다면 가기 힘들어요....ㅠ...
포장해와서 먹는데도 존막탱!"
농도,정수웅,5.0,"한옥을 감각적으로 바꿔놓은 이색적 공간, 식사도 커피도 차도 모두 어울리는 예쁜 곳이었습니다."
농도,Phoebe Kim,5.0,"공간 좋고 연못도 저수지도 아닌 물멍뷰 굿이고 서비스 친절 굿이고 식사 15,000 차 후식 포함 정갈하고 건강한 맛의 오방색 살린 비빔밥 정식은 식당의 철학이 느껴짐 ㅎ 모든 재료를 가늘게 채쳐 씹는 식감이 넘 좋다 손님 접대 하기도 좋은 곳~"
농도,yoonhoonfafa,5.0,"한옥과 현대식이 공존하는 곳 입니다.
식사(비빔밥정식)도 괜찮도 커피와 빵도 좋았습니다.
추천합니다."
농도,Young Su jun,5.0,실내가 넓고 아늑합니다. 한옥과 현대식의 만남.. 선택해서 쉬면 될 듯 합니다.
농도,Kang Dong Young,2.0,뭐..쏘쏘ㅡ 지하 빼고 신발 벗고 들어가야하고ㅡ 동선도 좀 그렇고... 커피는 보통 레몬들어간 음료는 괜찬더군요ㅡ 재방문 의사는 없어요ㅡ 공간이 한정적이고ㅡ 한옥하고 노출콘크리트 건물 2개ㅡ 음료 쟁반들고 계단 오르내리고 불편해요ㅡ
농도,Hyein Jeong,5.0,오후 휴가내고 갔었는데 맑은 날도 좋았지만 살짝 흐리고 비내리는 날 정말 분위기 있고 좋았어요. 고추장을 넣지않은 비빔밥도 맛있고 차종류도 차림새가 좋고  맛있어요. 마셨던 오미자차도 정말 맛있더라구요. 쿠키 종류도 직접 구운것 같은데 식감도 맛도 좋았어요
농도,서데반,5.0,"지인의 소개로 알게 된 농도. 소개받을만한 곳이었고, 나 역시도 소개해 주고 싶은 식당이었다. 오전11시부터 오후2시까지만 제공하는 농도정식세트(한우비빔밥)은 가격이 조금 쎄다고 생각할 수 있지만 심플하면서도 먹기 아까울 비주얼로 비빔밥과 냉국은 좋은 멋, 밸런스를 가졌다. 그리고 함께 제공되는 차와 다식은 식사 후의 만족감을 배나 더해 주었다. 커피를 마시러 근처 해월당으로 가려고 했는데, 이 곳의 디저트를 보는 순간…"
농도,자폴레트,5.0,"황차맛은 상당히 좋습니다.

연못과 산이 인접해 있어서 좋네요."
농도,JU K,5.0,"밥 한끼 맛있게 잘 먹고 가네요
주변 분위기도 좋고..
고추장은 원래 없으나 부탁하면 주시긴 하드라구요.…"
농도,문은희,5.0,유명하다고 해서 가봤는데 사진찍기 좋은 곳이네요 비빔밥 맛은 so so  커피랑 빵 맛은 good
농도,Keunhui Park,1.0,"음...  음식은 그냥 그냥 그랬습니다....
비빔밥과  물김치??(물회같은) 그런데...
뭐든지 셀프입니다.…"
농도,john moon lee,4.0,아름다운 경관을 보여주고 있는 핫 플레이스 비빔밥 맛있습니다 같이 주는 디저트도 좋아요 비빔밥에는 고추장이 들어 있지 않습니다.  달라고 하면 줍니다
농도,FILEX,4.0,"오랜만에 갔는데 식당도 같이 하더라구요
평일 낮에 가면 신축 카페에 한산해서 좋네요
디저트도 맛나고 커피도 맛나용"
농도,참보배,5.0,"조용한 시골풍경과 깔끔한  음식 . 잔잔한 음악으로

연인.가족.모두에게 좋은곳인것 같아요"
농도,Chloe Kim,4.0,꽃차를 마셨어요. 가격이 좀 있지만 뷰가 좋네요
농도,김영헌,5.0,농도 분위기 좋고 커피가 맛있네요. 더 추워지기전에 야외에서 분위기 즐기기 좋습니다
농도,조현후,4.0,아메리카노는 평타 이상입니다. 단팥죽은 정말 달아서 놀랄정도이구요... 뷰와 분위기는 정말 좋아서 가만히 정취느끼긴 좋습니다. 차라리 전통차(꽃차)를 마시면 더욱더 좋을뻔했습니다.
농도,H S,5.0,한옥 카페로 점심때 비빔밥을 먹을 수 있어요. 보기에도 예쁘고 맛도 좋아 인기가 많습니다. 특히 주변에 풍경이 좋아 사진찍는 분들이 많아요. 주말 대기 있었어요.
농도,조은옥,4.0,"울산 갔다가 근처 한옥카페 검색해서 가봣는데 아..저수지뷰..힐링되고 좋음.
모과애플티를 마시고 소나무가 보이는 곳 에 앉자 멍때리니 피로가 풀리네요."
농도,simneung K,5.0,"도심에서 떨어져있는 조용한곳에 있는데도
사람이 무지많았다
2시 조금 안되어 도착해서 다행히 대기없이 바로 착석!…"
농도,JIN HWAN LEE,3.0,"비빔밥(1.5) 맛있음.
셀프라 쫌 불편함."
농도,여니미니,4.0,"조용하고 한적하게 차 한 잔하기 좋은 곳. 커피와 허브티등이 있고 식사도 제공한다 불고기를 곁들인 산채비빔밥
가격은 조금 비싼 편이다"
농도,Lee잠뽀,4.0,"배경? 주변환경이 너무 좋아요.
저수지가 바로 옆에 있어서 가을 황금들판도 멋지고
옆에 지금 건물을 새로 짓고 있는데 그거빼곤 진고나면 거기서 밖 붕경도 멋질듯합니다.
비빔밥만 주문이 가능하고 1인분씩 개인트레일러에 주시고 깔끔하네요ㆍ오늘 호박죽은 좀  짰어요"
농도,지은,5.0,"뷰 좋고, 한옥 내부도 괜찮았어요.

(초코쿠키는 생각했던 것만큼 촉촉하지 않고,…"
농도,한지영,5.0,"기본차가맛있으면 커피는 맛이 없는 곳이 대부분인데 이곳은 커피,차,디저트 3가지가 전부다 맛있었어요 !!!!
정식세트도 판매해요 ! 11시부터2시까지 ㅋㅋ
정식먹으로 한번 더 오려구요 ~ㅁㅣ"
농도,김효주,5.0,깔끔하고 직원분들이 친절하십니다
농도,BYOUNG YOON LEE,4.0,"야채좋아하시는 분은 좋아할만한 비빔밥.
맛있음.
차도 독특하게 향도 맘에들고.."
농도,JinY Chu,3.0,음료는 전체적으로 그냥 그렇지만 비빔밥은 슴슴한 맛. 하지만 유일한 반찬으로 나오는 물회양념에 버무린 야채가 식감을 돋우워준다.
농도,MJ Kim,5.0,점심에 비빔밥을 판매하는데 너무 정갈하고 맛있었습니다! 한옥을 모던하고 운치있게 개조해서 사진찍기도 좋고 차를 즐기기도 좋았어요. 사람이 많을 만 해서 경치좋은 창가는 예약이 필수에요.
농도,ᄎ민이,5.0,비빔밥을먹으러간건데...11시부터2시까지라는것...ㅜㅜ 차만마시고왔지만 대접받은느낌이듭니다
농도,김용술,3.0,"뷰가 좋아 조용히 멍 때리기 좋은 카페인 것 같네요.
커피보단 차가 어울리겠어요."
농도,참새방앗간,5.0,깔끔한 비빔밥 정식. 정성스럽게 준비된 후식 그리고 꽃차. 창밖으로 보이는 시원한 경치.
농도,SK Park,4.0,"저수지와 산, 논밭이 어우러져 분위기 좋습니다. 주말이라 손님들이 너무 많아서 정신은 좀 없었어요. 하지만 손님응대는 친절합니다."
농도,Shiny,5.0,환경이 아주 좋았고 말차아포가토 추천
농도,Bell Yoon,4.0,달항아리 개다리소반 인테리어가 너무 멋 스럽네요 마당에 핀 들꽃 영남알프스와 호수?! 뷰가 진짜 한국의 미를 돋보이게 해주네요 부모님 모시고 가고싶어요
농도,라미,5.0,매장내부 청결하고 여유있습니다. 식사는 깔끔정갈했구요. 다만 식사를 직접서빙해야되서 별두개 뺐습니다.
농도,JEONGWOO CHU,3.0,"거의 1년만의 방문! 찻집이었는데 이제 점심 비빔밥도 팜.
그래서 다소 냄새가남...여전히 자리는...모자르고
주차장 한곳은 폐쇄 하고 건물하나 증축중...
분위기는 그래도 좋았다"
농도,변윤제,5.0,분위기도 좋고 점심에만 파는 비빔밥도 참 맛있었어요 같이 나오는 다과와 차도 좋네요
농도,Lee M.J.,5.0,너무나도 운치있고 아름다운 곳이네요. 창문이 많아 어떤 자리도 다 좋았어요.
