place_id,user_id,score,comment
단잔,시니리월드,4.0,"맛은있는데 주방에계신분들이 담배를.. 흠
입구에서피고있으니좀그렇네여
감자전은 쫄깃?특이하긴합니다…"
단잔,고종주,3.0,"이집은 갬성이 주말은 MZ 세대 느낌
이집 특징은 나이 조금 있으시면 평일 굿
한국 전통 주류 많아요^^"
단잔,HYUNA IM,5.0,"술안주 종류도 많고 식사메뉴도 있습니다
주문했던 3가지 안주 모두 맛있었습니다"
단잔,Bowie ever,5.0,맛있는술 많아요!
단잔,seoyeon書瑌,4.0,"인기메뉴인 바사삭치즈감자전 1.7 매콤가지강정 2.0 레몬토닉 0.5
감자전은 바삭하고 안에 치즈가 듬뿍~
샐러드랑 같이먹음 느끼함 중화됨.…"
단잔,현나,5.0,"분위기 좋아요!! 직원분들도 친절하시구요~
치즈감자전 먹었는데 식기전에 빠르게 먹어야해요
담에 다른메뉴 도전하러 갈거에요"
단잔,신진현,5.0,"안주가 예술인 술집
보기 좋은 안주가 맛도 좋다!"
단잔,HyeRa Lee,5.0,"안주가맛있네요
공간은 넓지않고 주차장은 없어요 ~"
단잔,허브hub,5.0,한국의 전통주를 마실수 있는곳
단잔,Yenny Kim,5.0,닭이랑 해산물로 육수낸 계짬뽕 최고👍…
단잔,Jongho Lim,5.0,맛있는 안주와 맛있는 술이 있는 곳
단잔,Seong-Oh Kim,5.0,항상 가면 뭘먹었는지 기억을 못해요 이번엔 닭...무슨 탕을 먹었어요
단잔,임호준,5.0,치즈감자전 JMT
단잔,Rider SRT,5.0,비싼 감이  있지만 나름 괜찮았던곳
단잔,s피닉수,4.0,분위기좋아요
단잔,Just Do It !!!,5.0,감자전 좋음
단잔,SY For me,5.0,감자전 존맛
단잔,유성미,5.0,
단잔,지범철,3.0,
단잔,한누리,1.0,
단잔,김용희,3.0,
단잔,김기찬,4.0,
단잔,Jaeyoung Eo,3.0,
단잔,박NH,1.0,맛 없음 ...
단잔,팩트폭격기,5.0,
단잔,남들은 당하지마시길,5.0,
단잔,깜짝맘,5.0,
