place_id,user_id,score,comment
대게명가,Hwa-Jeong NAM,4.0,단골 되면 좀 더 훌륭한 서비스가 제공되길 기대합니다. 다리 튀김 정말 강추합니다. 재료가 싱싱하고 신선해서인지 음식의 질은 최상이라 생각합니다.
대게명가,신애경,5.0,이른 저녁식사를 하러 4시 예약했어요 차가 막혀서 20분쯤 늦게 도착했어요. 주인장 대기해계셨고..할인도 기분좋게 해주셨어요..대게 손질도 먹기좋게 해주셔서..대접받는 기분이었머요. 식당 바다전망도 좋았고..덕분에 즐겁게 식사하고 왔어요   10명왔더니..ㅋㅋ돈은 생각보다 많이 나왔습니다
대게명가,여구석,5.0,"가격은 비교적 저렴.
대게집이지만 곁들어 나오는 반찬도 깔끔.
랍스터를시켰을때 나오는 코스요리가 아주좋고
된장찌개는 깔끔하면서도 개운한맛이 일품입니다"
대게명가,최순연,5.0,강구만 다니다가 딸이외동살아서 같이갔는데 정말 맛있어요.다음주에 또  갈려구요
대게명가,Min또기,5.0,"킹크랩 시가 1kg 8만원. 3kg한마리  주문했어요. 맛보기 회, 킹크랩 다리 튀김, 킹크랩 먹고 내장 볶음밥까지 맛있게 먹었습니다. 코스도 있었는데 킹크랩 단품만 주문했어요. 2인 최소 25만원 이상은 나온다고 생각하고 가야되네요ㅋ"
대게명가,행늦사만코이모,5.0,"대게가 완전 짱이요 ㆍ전 대게 좋아해서 영덕것도 그리고 택배도 먹어봤는데 정말 이곳 맛있디라구요 ㆍ그리고 소개하는 미남 총각도
상세히 이야기해줘서 더 좋았어요 남편은  참가자미드셨어요ㆍ전 회 못 먹어요"
대게명가,손영훈,5.0,친구 어머님이 하시는데 정말 친절하시니 많이 방문해주세요
대게명가,신재호,2.0,킹크랩 먹었는데 킹크랩하고 된장찌개는 맛있었지만 스키로 나온 회와 밑반찬은 별로입니다. 네이버에는 키로당 11만원인데 막상가니 15만원을 부르네요. 2층 초장집이라고 인당 상차림비도 별도 받습니다. 현지라 좀 바가지 쓴 느낌입니다. 차라리 바다바라기가 나을 거 같아요. 참고하세요
대게명가,주니,2.0,"여기 서비스는 없고 바가지 느낌이예요.
지나가는 관광객만 받는듯.. 두번은 안갈거 같아요!!"
대게명가,서누의오마니,4.0,"B코스 요리로 주문. 게다리튀김과 대게찜, 게등껍질에 치즈게살과 볶음밥.
대게 2킬로가 넘었는데 20만원.(비싼거 같음)
맛은 싱싱해서 맛있었어요."
대게명가,xmrdhqtus H,3.0,"그냥그랬음 초장집비용(=상차림비) 따로받고 아침 리조트조식, 점심 여기였는데 3~4시부터 온가족 배탈나서 약먹고 화장실 다녔음"
대게명가,이종필,3.0,저울 바구니부터가  착한집이아님.말해서 물빼니  몇만원이 차이가남 그외 나머진 괜찮았고   예전부터  저울장난친다고  말많았던 정자였는데 이번에가보고  또놀램  30만원짜리를  35만원주고먹을뻔 알고가면관찮은곳 모르면  속기좋은곳
대게명가,시으니의행주톡,4.0,매운탕이 너무 맛있었어요
대게명가,김찬우,5.0,먹어본 대게집중 전국 최고가 아닌가합니다
대게명가,hj m,5.0,비싼거 먹으면 살많아요!
대게명가,hwasun chun (써니),5.0,"싱싱하고 고소한 대게의 참맛을 보고왔어요
맛있게 잘 먹었어요"
