place_id,user_id,score,comment
대왕암암소갈비,이은정,4.0,"북구에 있는 한가위 느낌이어습니다.
토시살보다 안창살이 더 맛있었어요."
대왕암암소갈비,예리안,4.0,"한우라면이 jmt... 최곱니다
1인 1그릇 때리고옴 ㅋㅋㅋㅋㅋㅋ
근데 무조건 전화예약하시고 가시길...…"
대왕암암소갈비,Hyunkyung Cho,5.0,"두번째 방문
예약하고 갔음에도 자리는 너무 별로였지만 고기 맛, 직원 응대 등 전체적으로 만족스러웠어요!"
대왕암암소갈비,황지욱,5.0,암소갈비 너무 맛있어요. 1년에 한번쯤을 먹어도 되요~
대왕암암소갈비,슈퍼반짝이 이승민 (씅미),5.0,직원분들이 친절하시고 맛도 맛잇어요 육회도 맛잇엇음! 된장찌개는 고추썰어넣어먹으니 더 맛나구여 비냉보다는 물냉이 더맛잇엇어용 간혹 주문한거 까먹으신것도 있었지만 바쁘셔서 이해합니당..ㅋㅋ잘먹고가요
대왕암암소갈비,SJ Sung,5.0,"가족모임으로 모여서 점심특선을 먹었는데 음식도 맛나고 양도 넉넉하고 식사 메뉴까지 포함이어서 만족스럽게 식사하였습니다. 별도의 룸을 예약해서 다른 손님들과 분리되어 편하고 조용하게 식사해서 좋았습니다. 거기에 가성비도 좋아서 다음에 또 방문하려 합니다.
주차는 지상 주차장 몇 면과 더 큰 지하주차장이 있긴한데, 큰 차량의 경우 진입하기에 불편하기 때문에 지상이나 주변 도로변에 주차해야 할 거 같습니다."
대왕암암소갈비,송재식,5.0,아주맛있습니다 예쁜 이모 또올께요
대왕암암소갈비,울산쏘영이,4.0,"시설좋고 깨끗하고  한번쯤 가볼만한곳,  다만 주차장이 크긴한데 지하주차장은 너무 좁고 옆에 턱이 튀여나와서 주차장 들어갈때 많이 불편했음"
대왕암암소갈비,백증현,5.0,"음식   굿이고요   서비스  굿이고요
분위기 모두  굿이내요    다음 모임에
다시  가고싶은  매장이내요  감사함니다   번창하세요"
대왕암암소갈비,강성수,4.0,깔끔하고 룸도 따로 있어서 좋았네요. 애기들 데리고 오붓하게 식사하기 좋았어요.
대왕암암소갈비,안효근,5.0,"밑반찬잘나오고 고기맛좋고 깔끔하니 넘좋아요 서빙이모님들 센스있고 욕회,육사시미,간,천엽 서비시로 나오는데 맛나요"
대왕암암소갈비,KB Lee,4.0,"맛,시설, 서비스가 가격대비 좋은편입니다."
대왕암암소갈비,아아,5.0,"가게가 넓고 깨끗합니다.
고기질도 좋습니다.
구워주시는건 아니지만 서버분들 친절하시고 나오는반찬들도 깔끔하게나오고 맛도좋았어요..
느낌상 싼가격은 아닌데 전체적으로 따지면 가성비좋은 맛집이라생각해요"
대왕암암소갈비,김현우,5.0,많이안맵고 전체적인음식이 조화로운곳 술한잔으로  시작해서 집에가는곳
대왕암암소갈비,잡동사니깽쀼의,1.0,"최악
기름장 나왔는데 색깔이 너무 연하고 냄새가 역하게 올라오더라고요
냄새랑 맛 이상하다고  바꿔 달라니 똑같이 나와서 항의하니 제대로 나왔네요. 색깔도 진하고 맛도 정상아 참기름으로.…"
대왕암암소갈비,이도윤,5.0,친절하고 맛또한 너무맛있었어요
대왕암암소갈비,j “j_j” h,4.0,가격대가있는만큼 정갈한반찬 서비스 맛
대왕암암소갈비,김형임,1.0,"지하 주차장이 협소해 새 차 뒷문이
찌그러졌슴."
대왕암암소갈비,안순수TV,3.0,대체로 가격이 있는 음식집임. 밑반찬 양이 조금 아쉬움 물론 더달라고 하면 주긴 하지만 .. 처음부터 양이 너무작게나와서 눈치가 보임 .  잡채에는 야채가 없어서.. 아쉬웠음. 고기는 맛있었음.
대왕암암소갈비,Hyun jong Kim,4.0,"방문한 시간대에 사람이 많이 없어서 조용하게 식사할 수 있었어요.
예약하고 가신다면 조용한 룸으로 안내받을 수 있어요."
대왕암암소갈비,JeongYun Park,4.0,깔끔한분위기의 소고기집..세트메뉴로 나오는 육회가 맛있습니다.  한우의경우는 보통인듯합니다. 가격은 분위기에비해 크게 비싸진않아요. 1층로비에 슬러쉬는 늦음 없네요..무료라 떨어져도 신경안쓰는듯..
대왕암암소갈비,나이롱,5.0,솔직히 요즘은 좋은고기를 쓰는집은  기본적으로  먹을만하죠 이집도 그렇구요 그럼에도 만점을주게돼는 이유는 직원분들의 친절함과 써비스 때문입니다 바쁜와중에도 잊지않는 미소와 짖궂은 아저씨들의 농담에도 당황하지안고 부드럽게  받아넘기는 친절함에 감동했습니다 직원들모두 활기차게 움직이고...너무나 편안하고 기분좋은 곳이었습니다
대왕암암소갈비,멧곰,5.0,밑반찬이 맛있진 않아요 구워주지도 않아요 하지만 고기는 진짜 너무 맛있고 직접 구워먹을수있으니까 굽기 조절하면서 맛나게 먹을수있습니다.
대왕암암소갈비,초절정꽃돼지,4.0,맛납니다. 고기도 신선하고
대왕암암소갈비,p p,4.0,새건물에 주차시설도 있어좋고 메뉴구성이나 세세한 디테일도 좋았으나 전반적으로 음식 맛에 대해서 개선이 조금 필요할듯 보입니다.
대왕암암소갈비,예다지,3.0,울산 동구에 등대 입구로 비교적 고급 식당이고 예약을 하고 가는게 좋은 곳이다.
대왕암암소갈비,5386386동욱,5.0,애들 데리고 오기 좋은곳
대왕암암소갈비,정안성,2.0,"맛집으로알고갔는데
주문부터어수선하고포지션이없이주문받다보니음식도까막고안나오는경우도있고
특히고기가조금은덜숙성된느낌
더다듬으면괜찮은식당으로거듭날듯 ᆢ"
대왕암암소갈비,Hae Young Jung,1.0,다 맛있게 먹을만 함. 그러나 육회 육사시미는 조심하기 바람. 장염 걸려고생했음.
대왕암암소갈비,부산다람쥐,5.0,"새로 건물 올려서 굉장히 깔끔하고 맛도 있습니다.
고기는 미리 주문 해야지 생갈비 먹을수 있습니다.
가격도 정말 좋습니다."
대왕암암소갈비,여수영,3.0,"깔끔하고 가족끼리 회식장소로 좋아요
고기는 별로~"
대왕암암소갈비,정영순,5.0,갈비맛있고 분위기도깔끔하고좋아요
대왕암암소갈비,JAEHEON YOO,5.0,친절하시고 맛있고 좋았습니다
대왕암암소갈비,김김형규,4.0,시설 깨끗하고 가족모임에 좋은듯 합니다.
대왕암암소갈비,0_su kim,4.0,"고기는 신선하고 가격대비 좋다. 주차장도 넓음,  반찬이 정갈하게 나오나 맛있는 건 아님,  파절이가 진짜 무슨 맛인지 모르겠다"
대왕암암소갈비,신성희,5.0,"울산동구맛집
쇠고기가두껍워요
육즙이살아있습니다"
대왕암암소갈비,이민섭,3.0,소 먹으러 갔는데 한우집에 소가 없다고해서.. 뭔 소린지 이해는 안됐지만 그냥 돼지 먹고 나옴. 소고기 먹으러와서 비슷한 돈 내고 돼지먹어서 기분이 별로여서 안좋았는데 매니저분이 마지막에 죄송하다고 해줘서 그나마 별 3개. 그것마저 안했으면 별 1개였을 것.
대왕암암소갈비,짱파,2.0,"일반적인 갈비맛은 아닙니다.
단짠 아니구 조미료 많이 들어간 밍밍한 맛..
파채 나오고 갈치속젓 나오고 삼겹과 갈비의 중간...
처음 드시는 분들은 적응이 많이 필요해요"
대왕암암소갈비,박태제,5.0,"애들하고 맛있게 잘먹고 왔습니다
서빙도 좋았어요"
대왕암암소갈비,홍경용 (꼬마신랑),3.0,소양염갈비 질겼다. (개취지만)
대왕암암소갈비,이이이,1.0,"고기다탐 불판별로고 그냥 이금액대면 고기꾸워주는곳 가는게 더 편하고 맛있게 먹겠다
직원들 많이쓰면 고기 꿉는걸 알려주라"
대왕암암소갈비,이상준,1.0,깔끔하게 음식은 나오나 전체 적으로 맛은 떨어집니다  양념갈비는  짠맛이 강하고 물냉면은 찬물에 라면수프 넣어서 먹는  맛이고 고기는 좀 질깁니다
대왕암암소갈비,soogyoung k,5.0,깨끗하고 고기도 맛있어요! 룸도 있어서 좋아요
대왕암암소갈비,정주영,3.0,고기는 맛있으나 야채나 반찬이 싱싱하지않음.
대왕암암소갈비,김인식,1.0,가격이 ..무시못함 고기좋아하는 초.중.고.성인   배부르게 먹으려면 에고~~가족단위로 오시는지  어린이 놀이방쪽 씨끌씨끌 ..주차장은 만족..
대왕암암소갈비,김선일,5.0,"고기가 넘 맛있어요 ^^
직원분들도 넘 친절합니다"
대왕암암소갈비,S빵구쟁이,3.0,신발벗고 앉을 수 있음
대왕암암소갈비,우정식,5.0,밑반찬이 깔끔하고 시설이 너무 좋아요.미술관이라해도 과하지않을 웅자함입미다.
대왕암암소갈비,이현진,2.0,저녁시간엔 기다려야 하는경우가 많고 반찬들이 너무 안바뀌고 갈비두 비싸구 한번은 먹을만한데 자주 들르기엔...
대왕암암소갈비,Dylan Lee,5.0,"저렴하진 않지만 고기퀄리티가 좋고 반찬도 훌륭합니다.
청결하고 직원들이 친절합니다."
대왕암암소갈비,Chumbak,5.0,진짜 이렇게 깔끔한 소고기집은 처음 봤어요
대왕암암소갈비,주인님,4.0,"넓은 자리  괜찮은 인테리어 적당히 깔끔한 음식
대접하러가실분들은 미리 방으로예약하셔야합니다"
대왕암암소갈비,우상오,5.0,이집은 돼지갈비맛집인거 아시죠?맛있어요.
대왕암암소갈비,현재민,1.0,별 하나도 아까움 실내는 깔끔 하고 좋은데 음식 맛이 완전 별로 삼겹살 보다 더 못함
대왕암암소갈비,한찬욱,5.0,"소고기 품질좋고,돼지갈비 맛있고 밑반찬 푸짐하고, 서비도 좋네요. 와서 드셔보세요!"
대왕암암소갈비,박상우,3.0,기본 찬 및 서비스가 양이 너무 작은듯 합니다
대왕암암소갈비,mg kim德昊,3.0,"점심특선에 양념돼지갈비
추천 합니다. 주차공간이 좋아요."
대왕암암소갈비,Yuloh Kim,4.0,"세트 메뉴에 저는 막찍기 쏘스가 맛납니다
어른들 입맛에는 양념 소갈비가 질기다 하시네요."
대왕암암소갈비,홍영민,5.0,고기가 정말 맛있고  특히  직원분들이 너무 친절사세요^^
대왕암암소갈비,남자정삼균,4.0,식당실내가 깨끗하고 고기도 맛있어서 조았 어요~^^
대왕암암소갈비,변동우,3.0,"가격은 약간 높고 고기는 별로였습니다.
시설은 좋아요."
대왕암암소갈비,김용기,5.0,갈비 맛이 깔끔한기 맛나용
대왕암암소갈비,안영일,1.0,돼지고기류는 최악 이었음
대왕암암소갈비,김달별,3.0,고기가아주부드럽지만...구울수록 마르는 고기.. 밥도 다 말라있고.. 반찬도없다고하는게많음
대왕암암소갈비,권재윤,5.0,갈비가 부드럽고 입에서 살살 녹았어요 직원들도 친절하고 너무 좋았어요 만족도 100%
대왕암암소갈비,임소연,5.0,시설은 깨끗하고 직원들은 친절하고..고기는 최고수준~~ 행복합니다~~
대왕암암소갈비,김명석,3.0,"주차공간 좋고 애기들 데려가서 밥먹기좋고.. 대중교통 조금 불편함
음식은 적당히 괜찮음"
대왕암암소갈비,굿스멜,5.0,바빠도 직원들이 친절하다. 주인장의 프로의식이 느껴지는집. 고기도 수준급
대왕암암소갈비,이미진,5.0,몇년 단골인데  질리지않고  늘 같은 마음으로~~~감사합니다‥
대왕암암소갈비,장기실,5.0,와 맛있네요 말이 필요없음...
대왕암암소갈비,할프정,5.0,암소갈비가 정말 맛있네요...  신규건물에 깨끗하고 위생적인 음식점...
대왕암암소갈비,김남수,5.0,"암소갈비를 처음 먹어 본 사람은 있어도, 한번만 먹어본 사람은 없을 듯..  최고의 소고기 맛집!!!!"
대왕암암소갈비,Chae-Eun Kim,3.0,"가격대비 고기 질이 좋은건 아님
키즈존이 있어서 아이들이 많이 와서 그런지 시끄러움"
대왕암암소갈비,정선희,5.0,친절함에 더욱 좋았네요ㆍ육회서비스까지^^
대왕암암소갈비,최경애,5.0,"맛있고 푸짐하여 좋았어요
아이들와두  놀이방에서  놀고
먹고 슬러시도 먹고 좋았어요."
대왕암암소갈비,김용현,5.0,분위기도괜찮고시설깔끔합니다.좋은사람들과즐거운시간이였습니다.
