place_id,user_id,score,comment
대왕해물문어보쌈 울산삼산점,JIN PK,5.0,검색해서 찾아가 처음방문한곳. 좌석이많고 저희는 제일안쪽자리~ 푸짐하게 잘먹었어요~이거어찌다먹을까했지만 다먹고 나왔네요😅 먹다가 술이생각나요😄 잘먹었습니다^^ 주차공간은 좁으니 참고하시길..…
대왕해물문어보쌈 울산삼산점,Minkyu Lee,4.0,해물과 보쌈을 같이 먹을 수 있어서 좋아요. 회전 접시에 나와서 먹기 편하게 되어 있구요. 음식은 나쁘지 않슴니다.  포만감도 있구요. 단지 가격대는 좀 높은걸 감안하세요.
대왕해물문어보쌈 울산삼산점,이미경,3.0,인터넷 검색으로 좋음 평을 믿고 간 곳인데.. 일단 내부가 너무 어두웠고 음식을 담는 그릇도 컬러가 어두워 위생상의 신뢰가 반감됨. 문어는 질기지 않고 잘 삶아졌으나 보쌈과 같은 접시에 담겨져 있어 찬음식과 더운 음식의 장점을 살리지 못함. 나머지 반찬류는 평균 이하
대왕해물문어보쌈 울산삼산점,Young Ha,5.0,"대왕문어해물찜 한상 가득. 푸짐하니까 맛나고 배부르게 먹을 수 있는 곳. 깔끔하게 나오고 직원분들 서비스도 좋습니다. 다만, 술 한 잔 하면서 즐기는 분들이 있기에 조용하게 식사를 즐기기엔 아쉬운 부분이 조~~~~금 있음."
대왕해물문어보쌈 울산삼산점,David Lee,4.0,80명이 넘는 단체 저녁 식사였지만 나름 열심히 서브해 줬고 맛도 상당히 좋은 편이였다.
대왕해물문어보쌈 울산삼산점,Steve Lee,4.0,"육고기와 해산물을 시원한 분위기에서 깔끔하게 즐길수 있습니다
해산물도 신선하고 보쌈도 부드러워 간단한 술자리로 추천합니다
단, 매뉴가 제한적이라 장시간 술을 즐기기에는 조금 아쉽습니다"
대왕해물문어보쌈 울산삼산점,강진규,4.0,음 다양한 맛을 한번에 볼 수 있다는 장점이 ㅎ 맛이 우와~~~이정도까진 아니에요
대왕해물문어보쌈 울산삼산점,JEONGA LEE,3.0,비쥬얼이 다한곳이다 실제 양은 작다 식사보단 술한잔하기에 좋은듯하다 하단반찬은 화려해보이나 실질적으로 빈약한듯하다 서브로 나오는 시래기된장국이 맛있다 ㅋㅋ
대왕해물문어보쌈 울산삼산점,반백,3.0,"모듬 사진임.
테이블을 가득 채우는 사이즈.
그릇과 조개껍대기로 커보이나 양이 많은건 아님.
수육에 누린내가 나서 얘기하니 바로 수육 교체해줌."
대왕해물문어보쌈 울산삼산점,김억년,5.0,음식이 좋고 맛있었습니다.
대왕해물문어보쌈 울산삼산점,박영기,4.0,푸짐하고 다양해서 좋아요.  손님 너무 많아 좀 시끄럽네요.
대왕해물문어보쌈 울산삼산점,고종주,3.0,문어는 활문어 추천 보쌈은 일단 호불호가...머든지  입 맛은  개인 판다
대왕해물문어보쌈 울산삼산점,최현수,4.0,가성비 좋네요
대왕해물문어보쌈 울산삼산점,Yuloh Kim,5.0,"문어숙회 보쌈
2차로 괜찮은 집.
밥먹으러는 가성비 꽝!…"
대왕해물문어보쌈 울산삼산점,김성윤,5.0,"솔직히 보쌈집 재료소진이라 해서 못가고 급 검색해서 갔는데 매우 만족했습니다
추가 안했어도 됐는데 굳이 고기 추가했어요"
