place_id,user_id,score,comment
대한상회 울산삼산점,박하림ᄉ111,4.0,"맛은 기대이상이었어요!
늦게까지 하는 소고기집도 잘없는데 늦은시간에 방문하기 좋았습니다.
근데 직원분들이 묘하게 불친전하게 느껴집니다."
대한상회 울산삼산점,고종주,3.0,소찌개는 보통이고 차라리 전 육회가 더 맛난거 같습니다 친구도 같은생각 입니다  그러나 어디까지나 입맛은 개인 호불호가 있다는거
대한상회 울산삼산점,Alex Kim,5.0,가성비 좋은 한우집이다. 구워주고 토치로 불향을 더한다.
대한상회 울산삼산점,김짱구,3.0,맛있다고 찾아서 간건데 그냥 쏘쏘였어요. 부과세 별도로 받는건~~~ 그냥 메뉴판에 부과세포함 가격으로 표기하세요
대한상회 울산삼산점,이강훈,4.0,고기 괜찮아요. 다 구워줘서 편하네요.
대한상회 울산삼산점,ism 5715,5.0,"최고의 분위기, 최고의 친절함, 최고의 맛이었어요
돌판된장찌개는 포장해 올 정도로 맛있었음.
육회도 추천하고 싶음
또 먹고 싶당"
대한상회 울산삼산점,꾸이,4.0,고기 구워 주기까지도 하였으나 가격대비 고기질이 별로인지 딱히 맛있다 못느낌
대한상회 울산삼산점,고주앙,5.0,비싼거 빼면 최고의 고깃집
대한상회 울산삼산점,박석준,3.0,가격이 다소 비싸다
대한상회 울산삼산점,이인숙,5.0,"친구모임에, 부모님모시고 가기에도,
손님접대에도 괜찬은 분위기였어요
물론 맛도 최고!"
대한상회 울산삼산점,이상직,5.0,한우와 돌판된장찌개가 쥑입니다
대한상회 울산삼산점,seungheon son,5.0,👍…
대한상회 울산삼산점,박정언,5.0,한우 전문점인데 그냥 먹을만합니다
대한상회 울산삼산점,권병규,4.0,고기는 맛이 좋으나 가격에서 부가세별도로 표시되어 착시현상이 생김!
대한상회 울산삼산점,박세윤,4.0,모임하기에 좋은 장소인거같아요 고기질은 가격에 딱 맞는거같아요
대한상회 울산삼산점,김홍시,4.0,"울산간김에 먹었는데 그냥반반이었습니다~
부가세별도에 좀 충격먹었음~"
대한상회 울산삼산점,김창호,5.0,고기도 맛있지만 돌판된장 강추합니다.
대한상회 울산삼산점,서주현,3.0,고기맛이 예전보다 못함.
