place_id,user_id,score,comment
더데판,곰덩치,5.0,"연인가 가족이 가면 좋은곳입니다~  화려한 불쇼와 쉐프님의 재밋는 이야기와  좋아요~~  음식 하나하나가 너무 맛있습니다ㅠㅠ 또 가고싶어라 ...
마지막에 나오는 볶음밥이 진리입니다 꼬옥 드셔야합니다!👍…"
더데판,커피,5.0,친절하고 맛있습니다. 코스 메뉴가 다양하고 하나하나가 다 정성이 보이고 맛도 좋습니다. 퍼포먼스도 만족스럽습니다.
더데판,bellagio,3.0,"가게 들어갈때부터 기름냄새로 불편했다, 바닥 또한 매우 미끄러웠으나 테이블 section은 잘 나눠져있었다. 음식 자체는 가격대비 만족은 못하였다. 재료들 자체가 신선도 떨어져 보이고 맛도 그냥 그저 그랬다. 마지막 디저트가 제일 맛있음. 그래도 쉐프님 접객이 괜찮았고 불쇼도 볼 수 있고 한 번쯤 가보는것도 한편으론 괜찮았다고 생각한다"
더데판,트레비C TreviC,4.0,철판요리라는 새로운 경험을 할수 있는곳 금액은 비싼감이 있지만 특별한날 가볼만하며 주차공간도 있음
더데판,SO GOOD FEEL,5.0,훌륭합니다. 잘먹고 왔습니다.
더데판,Som Lim,5.0,"너무 맛있어요
울산에서는 맛 볼 수 없는 맛이예요
특별한 날 특별하게 보내보세요 :)"
더데판,ヤンウェンリー,5.0,시작부터 마지막까지 황홀한 경험이었다. 불꽃도 아름다웠고 순서대로 나오는 모든 요리가 맛있었다. 깨알같은 계란톡톡쇼도 즐거웠다.  다음에 또 이곳에 올 일이 있으면 좋겠다.
더데판,Chevalier 1005,5.0,"분위기, 맛, 서비스 다 좋은곳이네요"
더데판,최우식,5.0,가성비 좋은 데판야끼집
더데판,이재섭,5.0,최고 굿입니다.매장직원사장님 모두친절합니다.
더데판,David Kim (survlv0r),5.0,맛나고 배부르게 먹을 수 있습니다.
더데판,블랙말랑카우,4.0,"불쇼도 보고 아이 있다고 아이한테 말씀도 걸어주시고 좋았어요
아이 먹으라고 아이용 밥이랑 소바도 주시네요"
더데판,J-Hyeun Ko,4.0,매우 맛있고 친절하며 고급진 철판구이집. 근데 가격은 무척 비싼 편. 1인분 8만원
더데판,루나,5.0,"친절한 대표쉐프님의 심심한아재 개그와 함께한 남편과의 저녁식사..
쉐프님의 음식 먹는법 설명과 함께 핫한 불쇼... 맛난식사 했어요.
다음을 기약합니다."
