place_id,user_id,score,comment
더바베큐캠프,김경미,5.0,"친구들과 생파로 갔는데 안주도 맛있지만
사장님이 주신 센스 생일선물과 서비스 너무 만족합니다
추억으로  남는 좋은 시간이 되었네요"
더바베큐캠프,이언주,5.0,"찐 맛집이죠~~~
맛도 맛이지만 사장님께서 항상 반갑게 맞이해주셔서
좋아요~~다음엔 다른메뉴로 도전전"
더바베큐캠프,소원,5.0,사장님도 너무너무 친절하시고 맛있어요! 양도 많아서 세명이서 배부르게 잘 먹었습니다!
더바베큐캠프,최성원,5.0,진짜 제대로 맛잇게 먹었습니다. 사장님도 친절하시고. 적극 추천합니다.꼭가세요.
더바베큐캠프,이은경,5.0,"특별한 시간
특별한 맛
행복한 저녁시간 찾아갈수 있었네요"
더바베큐캠프,최동규,5.0,"맛있는훈제바베큐세트
4가지소스
양배추샐러드+식빵…"
더바베큐캠프,Siri Jean,2.0,ㄴㅇㅂ 평점이 많고 높아서 왜 그러나 했는데 방문객들한테 에이드 서비스로 주면서 영수증 같이 주고 리뷰 좋게 적어달라고 부탁하더라구요.. 맛은 진짜 애기들만 좋아할 맛... 직원들 전부 외국인들 같았는데 외국인분들이 친절해서 괜찮았지만 재방문 의사는 없습니다..
더바베큐캠프,김재성,5.0,"너무 맛있어요.
깜빠스 먹고 만들어주는 파스타는 정말 별미네요. 그리고 이벤트 마지막에 나온 라면은 예술이었습니다. 덤으로 직원들의 친철이 참으로 기분 좋게하는 경험이네요."
더바베큐캠프,긍정쏠,5.0,한번가면 다시갈수밖에없는 맛집
더바베큐캠프,조웅희,5.0,프랜차이즈 아님 진짜 존맛탱이다. 서비스가 끝이없다. 감바스시켜서 다 먹으면 파스타 넣어서 만들어줌... 해초라면 서비스로 준다..이정도면 진짜..울산에서 이런데가 있는것은 축복이다.
더바베큐캠프,john lee,1.0,"회사 근처 2층에 눈에 띄어 올라갓다 감바스및 고기,해산물들을 불판에 초벌로 구워준뒤 가스토치로 고기를 익혀준다 첨에 문어가 들어간요리를 먹고싶엇으나 재료가 다 소진되어 안된단다 우린 소고기와 새우,소세지꼬지와 야채구이를 시켯다 내심 기대를 안고 먹기시작..고기에서 누린내가 난다 수입고기 특유의 누린내..물론 수입고기가 다 누린내가 나는게 아니지만 난 그 특유의 냄새를 잘안다 실망~~소주를 시켯으나 집어먹을게 없다ㅠ…"
더바베큐캠프,Guhnwoo Baek (Jack),5.0,"소고기 부드럽고 맛있어요~
해장라면도 시원하네요
사장님은 매우 친절하고 전체적으로 괜찮군요^^"
더바베큐캠프,트레이더스,4.0,성남동에서 먹기좋은 고기집. 가격은 조금 있으나 사장님이 직접 구워주고 불쇼도 해주면서 심심하지 않음. 그리고 2층에 위치하여서 예약을 하면 테라스에서 밖을 보면서 식사할 수 있음. 주차는 강변주차장을 이용하면 도보 3분 거리에 위치함
더바베큐캠프,오른발왼발,5.0,직원분들이 다들 친절하고 분위기가 좋아요!
더바베큐캠프,soogyoung k,5.0,직원분들도 친절하고 음식도 맛있고 양도 괜찮아요
더바베큐캠프,치료빛,5.0,서비스도 많이 챙겨주시고 직원들이 모두 친절하게 응대해 주십니다
더바베큐캠프,정의현,5.0,"베리굿이었심다^^
사장님,종업원분들도 다 친철하시고..."
더바베큐캠프,심심한동동이,5.0,여기는 설명이 필요하지가 않아요 직접가보세요 후회안할거에요
더바베큐캠프,hyeonsik nam,5.0,맛있음 다들 친절하시고 추천!!
더바베큐캠프,수저,1.0,"고기 냄새나고 별루..  캠핑감성 전혀 아님
버너에 그냥 불판에 구워줌"
더바베큐캠프,J Han,4.0,어린 친구들이 좋아할듯! 달달하고 전반적으로 먹을만 함
더바베큐캠프,윤종현 (Wily),5.0,불쇼 보는 재미가 있고 창가자리 특히 좋음
더바베큐캠프,김군,5.0,데이트장소로 좋은 고기집. 남자들끼리는 가지마라.
더바베큐캠프,수현,5.0,푸짐하고 친절합니다 2층 입니다
더바베큐캠프,이지원,5.0,불쇼에 고기맛도 최고!!
더바베큐캠프,SN_ Origami (yesutis1),5.0,"최고였습니다
사장님 많이 파세요"
더바베큐캠프,홍관영,5.0,깔끔하고 친절해서 만족 했습니다
더바베큐캠프,박대헌,5.0,친절하고 맛났어요
더바베큐캠프,김문진,4.0,데이트코스
더바베큐캠프,뚤땁땁,3.0,평에 비해 부족한 맛입니다. 정성과 서비스는 좋지만 맛은 그냥저냥. 재방문 의사는 없습니다.
더바베큐캠프,전한규,4.0,
더바베큐캠프,푸른평창돌고래,5.0,
더바베큐캠프,chuja do,5.0,
더바베큐캠프,Jaewook Choi,5.0,
더바베큐캠프,김창용,5.0,
더바베큐캠프,김기찬,5.0,
더바베큐캠프,DongYoung Kim,5.0,
더바베큐캠프,Seokhyeon Jeong,5.0,
더바베큐캠프,윤쓰으,5.0,
더바베큐캠프,건이,5.0,
더바베큐캠프,G,5.0,
더바베큐캠프,angry lee,5.0,
더바베큐캠프,김민종,5.0,내부가 캠프파이어 근처에 앉아있는 것처럼 아늑하고 깨끗했습니다. 음식은 스테이크가 정말 부드럽고 맛있었어요. 직원분들께서도 친절해서 매우 좋았습니다.
더바베큐캠프,홍민종,5.0,맛있어용 ㅎㅎ 화려한 서비스도 덤으로
더바베큐캠프,쟈기쪽,5.0,너무 맛나요. 볼거리 최고 맛 최고
더바베큐캠프,화이트컨슈머,5.0,넘 마쉬썽 느끼하다싶음 김찌와 주먹밥으로 입가심 ㅋㅋㅋ
더바베큐캠프,토리,5.0,친절하고 눈앞에서 해주시는 요리도 맛있어요
더바베큐캠프,Amita,5.0,스테이크 최고👍👍👍‼️
더바베큐캠프,🤍,5.0,
더바베큐캠프,es,5.0,"친절하고 메뉴도 잘 나옵니다.다만 메인메뉴가 맛없는건 아니지만, 메인메뉴 그 자체보다는 다양한 사이드메뉴로 승부보려는 느낌이기도 합니다. 배부르게 먹었지만 무언가 공허한...샹그리아는 추천합니다. 와인보다는 복분자 느낌이 강한데 맛있어요."
