place_id,user_id,score,comment
더짬뽕,아주 개인적인 리뷰,4.0,"더짬뽕 이름 그대로 짬뽕맛집입니다
국물이 진하고 먹으면서 해장되는 느낌입니다
요리류를 5가지 시켜서 먹어봤는데…"
더짬뽕,이예신,5.0,"짬뽕도 맛있었고, 짜장면, 탕수육 모두 맛이 좋았습니다. 짬뽕맛집이어서 가봤는데, 맛있더라고요. 늦은밤에 생각나서 사진 찍어 온 것 올려보네요. 조만간 먹으러 가야겠습니다."
더짬뽕,양강호,5.0,"국물이 시원하고 건더기 양이 많다.
탕수육 바삭바삭 해서 식감이 즐겁다.
다양한 짬뽕을 즐길수 있다."
더짬뽕,보노보노,2.0,"저녁먹을시간에 가성비 중국집 찾아서 갔다가
혼밥이라고 하니
손님도 두명뿐이던데 좁은 1인석으로 내어주더군요…"
더짬뽕,김용술,3.0,"육짬뽕 먹었는데
조금만 덜 짜면 좋겠다.
중화비빔밥은 너무 자극적…"
더짬뽕,도비비,4.0,전체적인 맛은 가볍지않고 감칠맛있는맛이었어요 별점한개는 마늘을 너무 많이넣어요 마늘향이 너무강합니다 그외의 전체적 밸런스는 좋음
더짬뽕,Chae-Eun Kim,4.0,"적은 사이즈+저렴한가격 구성으로 다양한 메뉴를 접할 수 있는곳인데 맛있기도한곳!!

콩국수는 계절메뉴인데 너무 맛있네요..
콩국수 맛집이였나봅니다..♡"
더짬뽕,서태환,4.0,맛있어요. 하지만 개인적으로 기본음식량이가 조금 많다고 생각해요.
더짬뽕,lovely0hon,5.0,"와우 비주얼 죽이죠? 비주얼못지않게 맛도 엄청 있습니다. 꼭 가보세요
사진은 우짬뽕입니다."
더짬뽕,유대영,5.0,정말 푸짐하고 맛있어요. 종업원분들도 친절하세요
더짬뽕,성보경,5.0,"울산에 새로운 짬뽕 맛집을 발견했네요!
적극 추천입니다♥♥"
더짬뽕,갓겜히오스 (트매 tv),5.0,상호명은 더짬뽕이나.. 다른메뉴들도 다 맛있답니다 ㅎㅎ 중화비빔밥 짜장면도 추천해여
더짬뽕,우국현,4.0,"낚지짬뽕,  콩나물짬뽕, 우짬뽕 먹고 갑니다.
짬뽕 종류가 많아요."
더짬뽕,김종보,5.0,맛있게 잘 먹었습니다~
더짬뽕,KPOP DANCE,3.0,보통짬뽕 1000원정도 싸고 공기밥 무료 맛은 여느집이랑 비슷함.
더짬뽕,정우연,4.0,모든 음식이 맛있는 집.특히 짬뽕이 더 맛있는 집.가격도 저렴하고 양이많아서 좋아요.
더짬뽕,김명진,5.0,와~ 양이 진짜 어마 어마 해요~~ㅎㅎㅎ
더짬뽕,mg kim德昊,4.0,"더 짬뽕 이름 처럼 짬뽕이 특히
맛있고 가성비 좋구요.
새우요리와 탕수육은 부드럽고
맛있어요."
더짬뽕,김태윤,4.0,짜장도맛있어요
더짬뽕,Gkoon,5.0,진정한맛집!
더짬뽕,도희자,4.0,음식은 맛있는데 장소가 협소해 불편해요~
더짬뽕,남이선근,5.0,짬뽕 칼칼 하면서 맛있네요.
더짬뽕,Youngkeun Kim,4.0,옹기쟁반짜장  강추합니다 매콤달콤한 맛!
더짬뽕,SOOYOUNG KO (RAY),3.0,"다양한 토핑의 짬뽕을 즐길수 있는곳으로, 짬뽕의 국물을 증요시하는 저에게는 국물맛이 깊이가 없고 조미료 맛이 많이 나서 별 3개 입니다."
더짬뽕,어버버버버버,5.0,우짬뽕 일반짬뽕
더짬뽕,휴tv산과여행,5.0,맛있어요
더짬뽕,윤종현 (Wily),5.0,가성비 킹 밥무한리필 강추
더짬뽕,ᅲᅲ,5.0,싸고 맛있고 양도 많음
더짬뽕,전정화,5.0,맛있어요
더짬뽕,슈오방,5.0,국물아 좋네
더짬뽕,게임방송,5.0,맛나요
더짬뽕,천현석,4.0,"가격저렴
맛최고"
더짬뽕,김동균,5.0,가격저렴 맛난곳
더짬뽕,tom shin,5.0,자주감
더짬뽕,KI DUCK Kim,5.0,싸고 맛나네요
더짬뽕,박하림ᄉ111,4.0,짬뽕맛집.
더짬뽕,neon “네온82” n,5.0,찐맛집
더짬뽕,이창혁,5.0,최곱니다
더짬뽕,송명현,5.0,우짬뽕 짱입니다!!!^^
더짬뽕,간식,5.0,짜장면 좋아해서 먹으러 다님
더짬뽕,내가해도되나,5.0,여기 은근 다 맛잇쯈
더짬뽕,Soung-jae Hyun,5.0,좋아요
더짬뽕,Shi Min Ng,5.0,Jjajangmyeon was so good I ate all of it though it was a big plate of it
더짬뽕,최현수,4.0,다음~
더짬뽕,박성우,5.0,Good~!!!
더짬뽕,국신성,5.0,
더짬뽕,정홍재,4.0,
더짬뽕,SY For me,5.0,
더짬뽕,하정우,5.0,
더짬뽕,Yongju Choi,4.0,
더짬뽕,장ᄃᄌᄃᄂᄉ창균,1.0,
더짬뽕,서영민,5.0,
더짬뽕,김지환,4.0,
더짬뽕,Eunju Lee,5.0,
더짬뽕,모시치마mo si chi ma,5.0,
더짬뽕,리세미,5.0,
더짬뽕,오서방,5.0,
더짬뽕,Yunhi Kim,4.0,
더짬뽕,김형욱,4.0,
더짬뽕,HJ L,5.0,
더짬뽕,황영우 (Wooyar),5.0,
더짬뽕,Taeung Kim,5.0,
더짬뽕,권용식,5.0,
더짬뽕,박정식,4.0,
더짬뽕,이연우,5.0,
더짬뽕,김민호,1.0,
더짬뽕,加藤千春,5.0,
더짬뽕,쪼쪼,5.0,
더짬뽕,축색돌기,5.0,
더짬뽕,윤윤,5.0,
더짬뽕,삼베치마,5.0,
더짬뽕,티비손스,4.0,
더짬뽕,이은용,5.0,
더짬뽕,ㅇㅇ,3.0,"그냥 평범한 동네 중국집.. 탕수육 10,900원으로 가성비는 괜찮은 듯"
더짬뽕,맛집오함마,5.0,미쳤음
더짬뽕,ssokeu,5.0,
더짬뽕,하이,5.0,The 잠뽕 end
